r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,72022,1483856,88/87/16/90,0/0/0/-2,0/0/0/0,28/-679/71,0/0,-2029/-992/-14682,-682/298/469,-1661/-109/883,# sy
r,72023,1483877,88/87/16/90,0/0/0/1,0/0/0/0,28/-679/71,0/0,-2016/-1012/-14694,-684/300/467,-1661/-109/883,# sy
r,72024,1483896,88/87/16/90,0/0/0/-1,0/0/0/0,28/-679/71,0/0,-2018/-1014/-14698,-686/302/465,-1661/-109/883,# sy
r,72025,1483916,88/87/16/90,0/0/0/1,0/0/0/0,28/-679/71,0/0,-2006/-1018/-14684,-686/304/465,-1661/-109/883,# sy
r,72026,1483935,88/87/16/90,0/0/0/-1,0/0/0/0,28/-679/71,0/0,-1987/-1014/-14639,-683/304/463,-1661/-109/883,# sy
r,72027,1483954,88/87/16/90,0/0/0/1,0/0/0/0,28/-679/71,0/0,-1958/-1024/-14612,-678/303/460,-1661/-109/883,# sy
r,72028,1483974,88/87/16/90,0/0/0/-1,0/0/0/0,28/-679/71,0/0,-1934/-1036/-14566,-674/303/455,-1661/-109/883,# sy
r,72029,1483994,88/87/16/90,0/0/0/2,0/0/0/0,28/-679/71,0/0,-1910/-1042/-14474,-665/302/446,-1661/-109/883,# sy
r,72030,1484016,88/87/16/90,0/0/0/-3,0/0/0/0,28/-679/71,0/0,-1866/-1038/-14382,-657/303/440,-1661/-109/883,# sy
r,72031,1484035,88/87/16/90,0/0/0/1,0/0/0/0,28/-679/71,0/0,-1820/-1066/-14260,-636/295/427,-1661/-109/883,# sy
r,72032,1484056,88/87/16/90,0/0/0/-1,0/0/0/0,28/-679/71,0/0,-1771/-1040/-14124,-621/289/420,-1661/-109/883,# sy
r,72033,1484074,88/87/16/90,0/0/0/1,0/0/0/0,28/-679/71,0/0,-1708/-996/-13996,-618/293/413,-1661/-109/883,# sy
r,72034,1484095,88/87/16/90,0/0/0/-1,0/0/0/0,28/-679/71,0/0,-1632/-992/-13884,-610/296/402,-1661/-109/883,# sy
r,72035,1484114,88/87/16/90,-1/0/0/2,0/0/0/0,28/-679/71,0/0,-1570/-1076/-13742,-587/292/377,-1661/-109/883,# sy
r,72036,1484134,88/87/16/90,-1/0/0/-2,0/0/0/0,28/-679/71,0/0,-1522/-1102/-13616,-576/290/361,-1661/-109/883,# sy
r,72037,1484156,88/87/16/90,-10/0/0/0,0/0/0/0,28/-679/71,0/0,-1506/-1108/-13510,-569/289/368,-1661/-109/883,# sy
r,72038,1484182,88/87/16/90,-18/0/0/1,0/0/0/0,29/-679/71,0/0,-1488/-1236/-13478,-561/292/340,-1661/-109/882,# sy
r,72039,1484202,88/87/16/90,-47/0/0/-1,0/0/0/0,30/-679/71,0/0,-1500/-1322/-13474,-560/295/327,-1661/-109/881,# sy
r,72040,1484224,88/87/16/90,-42/0/0/1,0/0/0/0,31/-679/71,0/0,-1508/-1410/-13422,-551/291/318,-1661/-109/881,# sy
r,72041,1484243,88/87/16/90,-33/0/0/-4,0/0/0/0,32/-679/71,0/0,-1526/-1420/-13388,-535/281/325,-1660/-109/880,# sy
r,72042,1484268,88/87/16/90,-51/0/0/1,0/0/0/0,32/-678/71,0/0,-1548/-1426/-13324,-519/271/331,-1660/-108/879,# sy
r,72043,1484289,88/87/16/90,-74/0/0/-4,0/0/0/0,33/-678/71,0/0,-1590/-1438/-13310,-515/268/341,-1660/-108/878,# sy
r,72044,1484317,88/87/16/90,-47/0/0/2,0/0/0/0,35/-678/71,0/0,-1626/-1542/-13372,-526/279/337,-1660/-108/876,# sy
r,72045,1484337,88/87/16/90,-76/0/0/-1,0/0/0/0,36/-678/71,0/0,-1610/-1608/-13410,-534/288/325,-1660/-107/875,# sy
r,72046,1484356,87/87/16/90,-68/0/0/1,0/0/0/0,37/-678/71,0/0,-1604/-1642/-13472,-546/298/322,-1659/-107/874,# sy
r,72047,1484377,87/87/16/90,-100/0/0/-1,0/0/0/0,39/-678/71,0/0,-1596/-1648/-13464,-540/295/318,-1659/-107/872,# sy
r,72048,1484397,87/87/16/90,-99/0/0/2,0/0/0/0,41/-678/71,0/0,-1560/-1654/-13424,-527/288/308,-1659/-106/870,# sy
r,72049,1484418,87/87/16/90,-121/0/0/-1,0/0/0/0,43/-678/71,0/0,-1556/-1572/-13416,-531/290/322,-1658/-106/868,# sy
r,72050,1484437,87/87/16/90,-109/0/0/1,0/0/0/0,46/-678/71,0/0,-1546/-1542/-13474,-539/295/328,-1658/-105/866,# sy
r,72051,1484457,86/87/16/90,-90/0/0/-1,0/0/0/0,48/-678/71,0/0,-1532/-1594/-13542,-550/302/309,-1657/-105/863,# sy
r,72052,1484477,86/87/16/90,-141/0/0/1,0/0/0/0,51/-677/71,0/0,-1520/-1598/-13550,-553/304/310,-1657/-104/861,# sy
r,72053,1484497,86/87/16/90,-144/0/0/-1,0/0/0/0,54/-677/71,0/0,-1534/-1548/-13546,-555/302/334,-1656/-103/858,# sy
r,72054,1484516,86/87/16/90,-143/0/0/2,0/0/0/0,56/-677/71,0/0,-1534/-1540/-13520,-546/296/335,-1656/-102/855,# sy
r,72055,1484536,85/87/16/90,-126/0/0/-2,0/0/0/0,59/-677/71,0/0,-1534/-1566/-13520,-543/295/326,-1655/-102/852,# sy
r,72056,1484557,85/87/16/90,-181/0/0/1,0/0/0/0,63/-676/71,0/0,-1534/-1554/-13566,-561/306/336,-1655/-101/849,# sy
r,72057,1484577,85/87/16/90,-167/0/0/-1,0/0/0/0,66/-676/71,0/0,-1490/-1558/-13658,-576/318/323,-1654/-100/845,# sy
r,72058,1484597,84/87/16/90,-181/0/0/1,0/0/0/0,70/-675/71,0/0,-1458/-1596/-13628,-559/311/314,-1654/-99/842,# sy
r,72059,1484616,84/87/16/90,-162/0/0/-1,0/0/0/0,74/-675/71,0/0,-1488/-1542/-13594,-551/303/339,-1653/-98/838,# sy
r,72060,1484637,83/87/16/90,-178/0/0/1,0/0/0/0,77/-674/71,0/0,-1502/-1518/-13672,-573/314/351,-1652/-97/834,# sy
r,72061,1484657,83/87/16/90,-191/0/0/-1,0/0/0/0,81/-674/71,0/0,-1538/-1594/-13742,-575/317/337,-1652/-96/830,# sy
r,72062,1484677,83/87/16/90,-238/0/0/1,0/0/0/0,86/-673/71,0/0,-1518/-1720/-13856,-582/327/293,-1651/-95/826,# sy
r,72063,1484696,82/87/16/90,-247/0/0/-2,0/0/0/0,91/-673/71,0/0,-1524/-1632/-13812,-571/315/337,-1650/-94/822,# sy
r,72064,1484717,82/87/16/90,-244/0/0/1,0/0/0/0,95/-672/71,0/0,-1588/-1512/-13778,-566/303/391,-1649/-93/817,# sy
r,72065,1484738,81/87/16/90,-254/0/0/-1,0/0/0/0,100/-671/71,0/0,-1588/-1556/-13822,-577/309/369,-1649/-91/812,# sy
r,72066,1484757,81/87/16/90,-250/0/0/1,0/0/0/0,104/-670/71,0/0,-1484/-1690/-13882,-578/323/296,-1648/-90/808,# sy
r,72067,1484777,80/87/16/90,-264/0/0/-2,0/0/0/0,109/-669/71,0/0,-1514/-1574/-13800,-575/315/360,-1647/-89/803,# sy
r,72068,1484797,80/87/16/90,-234/0/0/2,0/0/0/0,114/-668/71,0/0,-1562/-1392/-13792,-577/306/433,-1646/-87/798,# sy
r,72069,1484817,79/87/16/90,-253/0/0/-1,0/0/0/0,119/-667/71,0/0,-1482/-1558/-13920,-608/332/345,-1646/-86/792,# sy
r,72070,1484837,79/87/16/90,-285/0/0/1,0/0/0/0,125/-665/71,0/0,-1356/-1621/-13906,-581/331/296,-1645/-85/787,# sy
r,72071,1484850,78/87/16/90,-263/0/0/-1,0/0/0/0,131/-664/71,0/0,-1452/-1416/-13767,-571/311/409,-1644/-83/781,# sy
r,72072,1484870,77/87/16/90,-306/0/0/2,0/0/0/0,136/-663/71,0/0,-1480/-1326/-13928,-625/334/430,-1643/-82/776,# sy
r,72073,1484896,77/87/16/90,-302/0/0/-4,0/0/0/0,142/-661/71,0/0,-1308/-1520/-14067,-626/358/302,-1642/-80/770,# sy
r,72074,1484916,76/87/16/90,-311/0/0/0,0/0/0/0,148/-659/71,0/0,-1414/-1494/-13828,-564/319/357,-1642/-78/764,# sy
r,72075,1484936,76/87/16/90,-316/0/0/0,0/0/0/0,154/-658/71,0/0,-1424/-1294/-14003,-619/334/449,-1641/-77/758,# sy
r,72076,1484957,75/87/16/90,-335/0/0/-1,0/0/0/0,160/-656/71,0/0,-1276/-1492/-14214,-666/381/326,-1640/-75/752,# sy
r,72077,1484976,74/87/16/90,-332/0/0/0,0/0/0/0,167/-654/71,0/0,-1436/-1566/-13888,-552/315/347,-1639/-73/746,# sy
r,72078,1484996,74/87/16/90,-338/0/0/0,0/0/0/0,173/-652/71,0/0,-1488/-1388/-14053,-596/324/420,-1638/-71/739,# sy
r,72079,1485016,73/87/16/90,-343/0/0/3,0/0/0/0,179/-649/71,0/0,-1368/-1456/-14366,-687/385/360,-1638/-69/733,# sy
r,72080,1485036,72/87/16/90,-339/0/0/-2,0/0/0/0,185/-647/71,0/0,-1488/-1542/-13998,-561/310/386,-1637/-68/726,# sy
r,72081,1485056,72/87/16/90,-347/0/0/2,0/0/0/0,192/-644/71,0/0,-1450/-1606/-14128,-598/340/364,-1636/-66/720,# sy
