r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,24766,510485,33/50/3/90,0/0/-2/1,0/0/0/0,396/-290/-430,0/0,-252/1316/-13672,-493/177/514,1689/-372/325,# hw
r,24767,510504,33/50/3/90,0/0/2/-2,0/0/0/0,396/-290/-430,0/0,-258/1338/-13639,-516/188/521,1689/-372/325,# hw
r,24768,510524,33/50/3/90,0/0/-2/1,0/0/0/0,396/-290/-430,0/0,-250/1370/-13524,-481/170/518,1689/-372/325,# hw
r,24769,510545,33/50/3/90,0/0/2/-3,0/0/0/0,396/-290/-430,0/0,-258/1400/-13444,-497/177/527,1689/-372/325,# hw
r,24770,510565,33/50/3/90,0/0/-3/1,0/0/0/0,396/-290/-430,0/0,-258/1416/-13312,-457/155/523,1689/-372/325,# hw
r,24771,510585,33/50/3/90,0/0/2/-2,0/0/0/0,396/-290/-430,0/0,-268/1460/-13208,-467/159/531,1689/-372/325,# hw
r,24772,510606,33/50/3/90,0/0/-2/1,0/0/0/0,396/-290/-430,0/0,-276/1470/-12998,-418/130/527,1689/-372/325,# hw
r,24773,510632,33/50/3/90,0/0/4/-2,0/0/0/0,396/-290/-430,0/0,-312/1500/-12902,-417/128/536,1689/-372/325,# hw
r,24774,510652,33/50/3/90,0/0/-2/1,0/0/0/0,396/-290/-430,0/0,-310/1510/-12786,-385/111/530,1689/-372/325,# hw
r,24775,510672,33/50/3/90,0/0/3/-3,0/0/0/0,396/-290/-430,0/0,-324/1560/-12718,-394/113/539,1689/-372/325,# hw
r,24776,510693,33/50/3/90,0/0/-1/1,0/0/0/0,396/-290/-430,0/0,-322/1584/-12590,-363/95/533,1689/-372/325,# hw
r,24777,510712,33/50/3/90,0/0/2/-2,0/0/0/0,396/-290/-430,0/0,-330/1616/-12546,-379/102/544,1689/-372/325,# hw
r,24778,510732,33/50/3/90,0/0/-1/1,0/0/0/0,396/-290/-430,0/0,-318/1629/-12404,-343/84/537,1689/-372/325,# hw
r,24779,510752,33/50/3/90,0/0/2/-3,0/0/0/0,396/-290/-430,0/0,-334/1662/-12286,-345/82/550,1689/-372/325,# hw
r,24780,510771,33/50/3/90,0/0/-2/1,0/0/0/0,396/-290/-430,0/0,-314/1684/-12146,-311/63/548,1689/-372/325,# hw
r,24781,510792,33/50/3/90,0/2/4/-4,0/0/0/0,396/-290/-430,0/0,-336/1708/-12042,-315/61/559,1689/-372/325,# hw
r,24782,510811,33/50/3/90,0/16/-1/2,0/0/0/0,396/-290/-430,0/0,-330/1710/-11938,-289/48/555,1689/-372/325,# hw
r,24783,510832,33/50/3/90,0/12/2/-4,0/0/0/0,396/-290/-429,0/0,-366/1706/-11912,-303/53/566,1689/-372/325,# hw
r,24784,510851,33/50/3/90,0/16/-2/1,0/0/0/0,396/-290/-429,0/0,-372/1682/-11868,-288/46/561,1689/-372/325,# hw
r,24785,510872,33/50/3/90,0/26/7/-4,0/0/0/0,396/-291/-429,0/0,-406/1670/-11874,-307/54/571,1690/-371/325,# hw
r,24786,510892,33/50/3/90,0/27/-2/2,0/0/0/0,397/-291/-428,0/0,-417/1650/-11842,-289/45/568,1690/-371/325,# hw
r,24787,510911,33/50/3/90,0/42/3/-6,0/0/0/0,397/-291/-427,0/0,-438/1640/-11812,-296/46/577,1691/-370/325,# hw
r,24788,510932,33/50/3/90,0/36/-1/2,0/0/0/0,398/-291/-427,0/0,-436/1621/-11744,-274/36/572,1691/-369/324,# hw
r,24789,510953,33/50/3/90,0/50/2/-1,0/0/0/0,398/-292/-426,0/0,-452/1620/-11704,-279/37/578,1692/-369/324,# hw
r,24790,510973,33/50/3/90,0/54/0/4,0/0/0/0,398/-292/-425,0/0,-454/1608/-11636,-263/30/575,1692/-368/324,# hw
r,24791,510994,33/50/3/90,0/58/0/-5,0/0/0/0,399/-293/-423,0/0,-464/1602/-11650,-278/36/581,1693/-367/324,# hw
r,24792,511014,33/51/3/90,0/81/0/2,0/0/0/0,400/-293/-422,0/0,-458/1586/-11620,-273/36/575,1694/-365/323,# hw
r,24793,511041,33/51/3/90,0/94/0/1,0/0/0/0,402/-295/-419,0/0,-458/1596/-11654,-285/40/583,1697/-362/323,# hw
r,24794,511060,33/51/3/90,0/108/0/-1,0/0/0/0,403/-296/-417,0/0,-464/1588/-11636,-283/40/582,1698/-361/322,# hw
r,24795,511081,33/51/3/90,0/114/0/2,0/0/0/0,403/-296/-415,0/0,-440/1612/-11620,-280/39/581,1699/-359/322,# hw
r,24796,511101,33/52/3/90,0/140/0/-1,0/0/0/0,405/-297/-412,0/0,-438/1637/-11592,-272/34/587,1701/-357/322,# hw
r,24797,511120,33/52/3/90,0/104/0/1,0/0/0/0,406/-298/-410,0/0,-423/1640/-11564,-274/36/582,1702/-355/321,# hw
r,24798,511141,33/52/3/90,0/153/0/-1,0/0/0/0,408/-299/-407,0/0,-421/1642/-11558,-282/42/588,1704/-353/321,# hw
r,24799,511160,33/52/3/90,0/169/0/2,0/0/0/0,409/-301/-404,0/0,-423/1610/-11590,-295/51/585,1706/-350/320,# hw
r,24800,511180,33/53/3/90,0/150/0/-1,0/0/0/0,411/-302/-401,0/0,-446/1552/-11668,-314/65/588,1708/-348/320,# hw
r,24801,511201,33/53/3/90,0/174/0/1,0/0/0/0,413/-303/-398,0/0,-452/1484/-11732,-328/73/581,1710/-345/319,# hw
r,24802,511220,33/53/3/90,0/168/0/-1,0/0/0/0,414/-304/-395,0/0,-471/1458/-11698,-318/69/588,1712/-342/319,# hw
r,24803,511241,33/54/3/90,0/196/0/1,0/0/0/0,416/-306/-391,0/0,-466/1414/-11634,-305/63/577,1715/-339/318,# hw
r,24804,511261,33/54/3/90,0/195/0/-1,0/0/0/0,418/-307/-387,0/0,-467/1402/-11558,-287/54/580,1717/-336/317,# hw
r,24805,511281,33/55/3/90,0/216/0/1,0/0/0/0,420/-308/-383,0/0,-466/1376/-11586,-295/58/577,1719/-332/317,# hw
r,24806,511300,33/55/3/90,0/225/0/-1,0/0/0/0,422/-310/-379,0/0,-478/1316/-11670,-314/71/578,1722/-329/316,# hw
r,24807,511321,33/55/3/90,0/240/0/1,0/0/0/0,424/-311/-375,0/0,-498/1254/-11734,-331/83/573,1725/-325/316,# hw
r,24808,511340,33/56/3/90,0/226/0/-1,0/0/0/0,425/-313/-370,0/0,-538/1250/-11786,-352/93/584,1727/-322/315,# hw
r,24809,511361,33/56/3/90,0/247/0/1,0/0/0/0,428/-315/-366,0/0,-542/1240/-11748,-347/91/577,1730/-318/315,# hw
r,24810,511381,33/57/3/90,0/234/0/-1,0/0/0/0,430/-316/-361,0/0,-590/1232/-11708,-333/80/590,1733/-314/314,# hw
r,24811,511400,33/57/3/90,0/243/0/1,0/0/0/0,432/-318/-356,0/0,-580/1220/-11664,-316/70/585,1736/-310/314,# hw
r,24812,511420,33/58/3/90,0/275/0/-1,0/0/0/0,435/-320/-350,0/0,-602/1194/-11672,-325/74/592,1739/-305/313,# hw
r,24813,511441,33/58/3/90,0/266/0/1,0/0/0/0,436/-321/-345,0/0,-596/1180/-11746,-344/87/584,1742/-301/312,# hw
r,24814,511461,33/59/3/90,0/250/0/-1,0/0/0/0,439/-323/-339,0/0,-642/1144/-11814,-359/95/589,1745/-296/312,# hw
r,24815,511480,33/59/3/90,0/286/0/1,0/0/0/0,442/-325/-333,0/0,-632/1098/-11874,-375/105/579,1748/-292/311,# hw
r,24816,511500,33/60/3/90,0/272/0/-1,0/0/0/0,444/-327/-328,0/0,-656/1092/-11928,-394/116/585,1752/-287/311,# hw
r,24817,511520,33/61/3/90,0/308/0/1,0/0/0/0,446/-328/-321,0/0,-644/1054/-11918,-383/111/573,1755/-282/311,# hw
r,24818,511541,33/61/3/90,0/285/0/-1,0/0/0/0,448/-330/-315,0/0,-692/1016/-11870,-357/95/582,1758/-277/310,# hw
r,24819,511561,33/62/3/90,0/299/0/1,0/0/0/0,451/-332/-309,0/0,-680/1040/-11924,-385/111/576,1762/-272/310,# hw
r,24820,511582,33/62/3/90,0/294/0/-1,0/0/0/0,453/-333/-302,0/0,-730/964/-11926,-387/113/576,1765/-267/309,# hw
r,24821,511602,33/63/3/90,0/323/0/1,0/0/0/0,455/-335/-296,0/0,-768/943/-11966,-403/122/585,1769/-262/309,# hw
r,24822,511626,33/64/3/90,0/331/0/-1,0/0/0/0,458/-337/-289,0/0,-766/980/-12116,-449/147/585,1772/-257/309,# hw
