r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,129606,2677043,-6/43/27/88,0/8/0/0,0/0/0/0,290/464/-354,0/0,1694/3080/-14424,-757/419/403,1708/-207/-550,#
r,129607,2677063,-6/44/27/88,0/11/0/0,0/0/0/0,290/464/-354,0/0,1766/3134/-14472,-776/433/400,1709/-207/-550,#
r,129608,2677084,-6/44/27/88,0/9/0/0,0/0/0/0,290/464/-353,0/0,1862/3176/-14448,-780/440/388,1709/-207/-550,#
r,129609,2677103,-6/44/27/88,1/14/0/0,0/0/0/0,290/464/-353,0/0,1929/3160/-14332,-757/430/368,1709/-207/-550,#
r,129610,2677130,-6/44/27/88,4/17/0/0,0/0/0/0,290/465/-353,0/0,1979/3160/-14250,-730/419/352,1709/-207/-550,#
r,129611,2677150,-6/44/27/88,1/23/0/0,0/0/0/0,290/465/-352,0/0,2029/3144/-14189,-703/407/339,1710/-206/-550,#
r,129612,2677172,-6/44/27/88,1/29/0/0,0/0/0/0,291/465/-352,0/0,2088/3140/-14160,-707/411/328,1710/-206/-549,#
r,129613,2677191,-6/44/27/88,1/39/0/0,0/0/0/0,291/465/-351,0/0,2078/3098/-14156,-709/412/326,1711/-205/-549,#
r,129614,2677211,-5/44/27/88,0/48/3/0,0/0/0/0,291/466/-350,0/0,2058/3086/-14239,-729/422/332,1712/-205/-549,#
r,129615,2677231,-5/44/27/88,2/73/0/0,0/0/0/0,292/466/-349,0/0,2062/3068/-14266,-740/430/337,1713/-204/-549,#
r,129616,2677252,-5/44/27/88,2/81/0/0,0/0/0/0,292/467/-348,0/0,2070/3072/-14286,-747/437/339,1714/-204/-549,#
r,129617,2677272,-5/44/27/88,1/74/-1/0,0/0/0/0,293/467/-347,0/0,2021/3020/-14192,-720/422/342,1715/-203/-549,#
r,129618,2677291,-5/44/27/88,1/65/0/0,0/0/0/0,293/468/-345,0/0,1987/3000/-14132,-704/412/347,1716/-202/-549,#
r,129619,2677312,-5/44/27/88,1/104/1/0,0/0/0/0,294/469/-344,0/0,1934/2958/-14067,-685/400/344,1717/-201/-549,#
r,129620,2677332,-5/45/27/88,1/103/3/0,0/0/0/0,294/470/-342,0/0,1878/2936/-14114,-692/402/345,1718/-200/-548,#
r,129621,2677362,-5/45/27/88,1/81/2/0,0/0/0/0,295/471/-338,0/0,1776/2866/-14188,-701/404/351,1722/-198/-548,#
r,129622,2677387,-5/45/27/88,2/117/0/0,0/0/0/0,295/472/-336,0/0,1692/2770/-14317,-730/419/351,1724/-197/-548,#
r,129623,2677410,-5/45/27/88,0/118/0/0,0/0/0/0,296/473/-334,0/0,1596/2706/-14438,-750/426/360,1725/-196/-547,#
r,129624,2677433,-5/46/27/88,5/120/0/0,0/0/0/0,297/474/-332,0/0,1486/2596/-14512,-767/432/356,1727/-194/-547,#
r,129625,2677465,-5/46/27/88,5/92/-1/0,0/0/0/0,299/476/-328,0/0,1376/2486/-14532,-767/428/357,1730/-192/-547,#
r,129626,2677486,-5/46/27/88,8/77/-4/0,0/0/0/0,299/477/-326,0/0,1314/2424/-14572,-769/426/360,1732/-191/-546,#
r,129627,2677508,-5/46/27/88,4/111/-2/0,0/0/0/0,299/478/-324,0/0,1240/2334/-14630,-773/426/361,1734/-190/-546,#
r,129628,2677528,-5/47/27/88,5/112/-2/0,0/0/0/0,300/479/-322,0/0,1168/2272/-14632,-769/422/370,1735/-188/-546,#
r,129629,2677548,-5/47/27/88,5/70/0/0,0/0/0/0,301/479/-320,0/0,1116/2226/-14664,-770/422/373,1737/-187/-546,#
r,129630,2677567,-5/47/27/88,20/122/0/0,0/0/0/0,301/480/-318,0/0,1080/2190/-14717,-784/429/374,1739/-186/-545,#
r,129631,2677588,-5/47/27/88,7/114/0/0,0/0/0/0,302/481/-316,0/0,1010/2162/-14780,-790/430/384,1740/-185/-545,#
r,129632,2677608,-5/47/27/88,13/84/0/0,0/0/0/0,303/481/-314,0/0,950/2100/-14808,-799/433/390,1742/-184/-545,#
r,129633,2677628,-5/48/27/88,7/91/0/0,0/0/0/0,304/482/-312,0/0,935/2056/-14789,-795/431/387,1743/-183/-544,#
r,129634,2677648,-5/48/27/88,7/74/0/0,0/0/0/0,304/482/-311,0/0,939/2021/-14764,-796/433/375,1745/-182/-544,#
r,129635,2677667,-5/48/27/88,11/51/0/0,0/0/0/0,305/483/-309,0/0,920/2004/-14766,-797/432/377,1746/-181/-544,#
r,129636,2677687,-5/48/27/88,5/54/0/0,0/0/0/0,305/483/-308,0/0,942/1994/-14725,-794/429/368,1747/-181/-543,#
r,129637,2677707,-5/48/27/88,3/48/0/0,0/0/0/0,305/484/-307,0/0,964/1974/-14696,-788/429/351,1748/-180/-543,#
r,129638,2677728,-5/48/27/88,3/79/0/0,0/0/0/0,306/484/-305,0/0,962/1954/-14648,-776/422/350,1749/-179/-543,#
r,129639,2677747,-5/48/27/88,4/45/0/0,0/0/0/0,306/485/-304,0/0,939/1936/-14678,-785/426/353,1750/-179/-543,#
r,129640,2677768,-5/48/27/88,4/40/0/0,0/0/0/0,306/485/-303,0/0,930/1910/-14698,-786/426/353,1751/-178/-543,#
r,129641,2677788,-5/49/27/88,1/58/0/0,0/0/0/0,307/485/-302,0/0,912/1876/-14684,-785/427/355,1751/-178/-543,#
r,129642,2677808,-5/49/27/88,0/27/-1/0,0/0/0/0,307/486/-302,0/0,858/1845/-14703,-786/426/363,1752/-177/-543,#
r,129643,2677832,-5/49/27/88,0/27/0/0,0/0/0/0,307/486/-301,0/0,826/1829/-14762,-790/427/375,1752/-177/-542,#
r,129644,2677851,-5/49/27/88,0/15/0/0,0/0/0/0,307/486/-301,0/0,796/1818/-14760,-784/424/383,1753/-177/-542,#
r,129645,2677873,-5/49/27/88,0/5/0/0,0/0/0/0,307/486/-300,0/0,808/1808/-14732,-770/419/383,1753/-176/-542,#
r,129646,2677893,-5/49/27/88,0/2/0/0,0/0/0/0,307/486/-300,0/0,818/1810/-14739,-771/421/384,1753/-176/-542,#
r,129647,2677913,-5/49/27/88,0/0/2/0,0/0/0/0,307/486/-300,0/0,808/1776/-14772,-777/424/382,1753/-176/-542,#
r,129648,2677933,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-300,0/0,780/1721/-14794,-770/420/388,1753/-176/-542,#
r,129649,2677954,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-300,0/0,748/1650/-14867,-781/430/382,1753/-176/-542,#
r,129650,2677974,-5/49/27/88,0/-1/0/0,0/0/0/0,307/486/-300,0/0,722/1586/-14928,-790/436/388,1753/-176/-542,#
r,129651,2677993,-5/49/27/88,0/-4/-1/0,0/0/0/0,307/486/-300,0/0,682/1510/-14994,-789/436/387,1753/-176/-542,#
r,129652,2678013,-5/49/27/88,0/-8/0/0,0/0/0/0,307/486/-300,0/0,656/1444/-14988,-788/436/387,1753/-176/-542,#
r,129653,2678039,-5/49/27/88,0/-8/-2/0,0/0/0/0,307/486/-301,0/0,618/1404/-14928,-764/421/392,1753/-177/-542,#
r,129654,2678060,-5/49/27/88,0/-8/-1/0,0/0/0/0,307/486/-301,0/0,588/1376/-14902,-758/417/390,1753/-177/-542,#
r,129655,2678079,-5/49/27/88,0/-5/-1/0,0/0/0/0,307/486/-301,0/0,562/1368/-14846,-740/405/400,1752/-177/-542,#
r,129656,2678100,-5/49/27/88,0/-4/0/0,0/0/0/0,307/486/-301,0/0,542/1360/-14856,-744/408/406,1752/-177/-542,#
r,129657,2678120,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,536/1352/-14860,-744/409/414,1752/-177/-542,#
r,129658,2678140,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,554/1324/-14817,-736/407/415,1752/-177/-542,#
r,129659,2678160,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,598/1320/-14788,-730/407/408,1752/-177/-542,#
r,129660,2678180,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,642/1326/-14730,-714/400/400,1752/-177/-542,#
r,129661,2678200,-5/49/27/88,0/0/2/0,0/0/0/0,307/486/-301,0/0,652/1326/-14630,-697/386/391,1752/-177/-542,#
r,129662,2678220,-5/49/27/88,0/0/-1/0,0/0/0/0,307/486/-301,0/0,692/1302/-14530,-673/374/378,1752/-177/-542,#
r,129663,2678239,-5/49/27/88,0/1/1/0,0/0/0/0,307/486/-301,0/0,724/1280/-14486,-663/369/364,1752/-177/-542,#
r,129664,2678260,-5/49/27/88,0/4/-3/0,0/0/0/0,307/486/-301,0/0,702/1246/-14470,-664/370/364,1752/-177/-542,#
r,129665,2678280,-5/49/27/88,0/1/2/0,0/0/0/0,307/486/-301,0/0,670/1242/-14514,-677/377/370,1753/-177/-542,#
r,129666,2678300,-5/49/27/88,0/0/-4/0,0/0/0/0,307/486/-301,0/0,646/1212/-14532,-679/378/371,1752/-177/-542,#
r,129667,2678320,-5/49/27/88,0/0/3/0,0/0/0/0,307/486/-301,0/0,608/1198/-14624,-704/392/376,1753/-177/-542,#
r,129668,2678340,-5/49/27/88,0/0/-2/0,0/0/0/0,307/486/-301,0/0,540/1208/-14632,-700/386/394,1752/-177/-542,#
r,129669,2678360,-5/49/27/88,0/0/4/0,0/0/0/0,307/486/-301,0/0,518/1190/-14682,-713/394/395,1752/-177/-542,#
r,129670,2678380,-5/49/27/88,0/0/-2/0,0/0/0/0,307/486/-301,0/0,508/1176/-14614,-689/379/399,1752/-177/-542,#
r,129671,2678400,-5/49/27/88,0/0/4/0,0/0/0/0,307/486/-301,0/0,492/1176/-14614,-692/380/403,1752/-177/-542,#
r,129672,2678420,-5/49/27/88,0/0/-2/0,0/0/0/0,307/486/-301,0/0,471/1156/-14567,-674/369/405,1752/-177/-542,#
r,129673,2678439,-5/49/27/88,0/0/3/0,0/0/0/0,307/486/-301,0/0,458/1126/-14589,-679/372/401,1752/-177/-542,#
r,129674,2678460,-5/49/27/88,0/0/-4/0,0/0/0/0,307/486/-301,0/0,432/1062/-14596,-675/369/399,1752/-177/-542,#
r,129675,2678480,-5/49/27/88,0/0/4/0,0/0/0/0,307/486/-301,0/0,392/1030/-14642,-691/377/401,1752/-177/-542,#
r,129676,2678501,-5/49/27/88,0/0/-2/0,0/0/0/0,307/486/-301,0/0,360/966/-14666,-690/377/399,1752/-177/-542,#
r,129677,2678520,-5/49/27/88,0/0/3/0,0/0/0/0,307/486/-301,0/0,330/935/-14722,-707/386/400,1752/-177/-542,#
r,129678,2678540,-5/49/27/88,0/0/-3/0,0/0/0/0,307/486/-301,0/0,284/902/-14712,-696/379/406,1752/-177/-542,#
r,129679,2678560,-5/49/27/88,0/0/2/0,0/0/0/0,307/486/-301,0/0,266/902/-14730,-702/381/407,1752/-177/-542,#
r,129680,2678580,-5/49/27/88,0/0/-2/0,0/0/0/0,307/486/-301,0/0,250/902/-14656,-683/370/410,1752/-177/-542,#
r,129681,2678603,-5/49/27/88,0/0/-1/0,0/0/0/0,307/486/-301,0/0,248/932/-14612,-675/363/417,1752/-177/-542,#
r,129682,2678623,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,294/992/-14560,-676/365/422,1752/-177/-542,#
r,129683,2678647,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,366/1028/-14510,-674/368/410,1752/-177/-542,#
r,129684,2678668,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,460/1118/-14462,-674/371/409,1752/-177/-542,#
r,129685,2678687,-5/49/27/88,0/0/2/0,0/0/0/0,307/486/-301,0/0,588/1182/-14396,-673/375/390,1752/-177/-542,#
r,129686,2678707,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,682/1240/-14286,-659/369/377,1753/-177/-542,#
r,129687,2678728,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,742/1264/-14166,-637/358/362,1753/-177/-542,#
r,129688,2678749,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,798/1298/-14046,-618/346/343,1753/-177/-542,#
r,129689,2678768,-5/49/27/88,0/0/-2/0,0/0/0/0,307/486/-301,0/0,798/1316/-14000,-612/342/332,1753/-177/-542,#
r,129690,2678793,-5/49/27/88,0/0/-1/0,0/0/0/0,307/486/-301,0/0,754/1340/-13996,-619/341/340,1753/-177/-542,#
r,129691,2678815,-5/49/27/88,0/0/-1/0,0/0/0/0,307/486/-301,0/0,656/1304/-14060,-636/347/347,1753/-177/-542,#
r,129692,2678835,-5/49/27/88,0/0/-1/0,0/0/0/0,307/486/-301,0/0,576/1286/-14156,-656/355/358,1752/-177/-542,#
r,129693,2678862,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,467/1244/-14217,-665/357/374,1752/-177/-542,#
r,129694,2678882,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,368/1202/-14306,-676/360/386,1752/-177/-542,#
r,129695,2678909,-5/49/27/88,0/0/2/0,0/0/0/0,307/486/-301,0/0,304/1170/-14322,-668/352/389,1752/-177/-542,#
r,129696,2678934,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,268/1124/-14289,-651/341/387,1753/-177/-542,#
r,129697,2678953,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,242/1062/-14234,-632/330/380,1753/-177/-542,#
r,129698,2678975,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,211/984/-14232,-625/324/365,1753/-177/-542,#
r,129699,2679001,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,160/928/-14272,-627/323/364,1753/-177/-542,#
r,129700,2679020,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,105/876/-14310,-635/327/363,1753/-177/-542,#
r,129701,2679040,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,64/826/-14358,-646/332/362,1753/-177/-542,#
r,129702,2679060,-5/49/27/88,0/0/-2/0,0/0/0/0,307/486/-301,0/0,16/812/-14382,-653/334/368,1752/-177/-542,#
r,129703,2679080,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-14/834/-14428,-660/338/375,1752/-177/-542,#
r,129704,2679100,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-36/868/-14442,-653/332/383,1752/-177/-542,#
r,129705,2679121,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-40/904/-14456,-644/326/387,1752/-177/-542,#
r,129706,2679140,-5/49/27/88,0/0/-1/0,0/0/0/0,307/486/-301,0/0,-42/942/-14452,-632/319/392,1752/-177/-542,#
r,129707,2679160,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-50/942/-14472,-629/318/392,1752/-177/-542,#
r,129708,2679181,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-76/910/-14489,-627/317/394,1752/-177/-542,#
r,129709,2679201,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-100/856/-14532,-631/320/394,1752/-177/-542,#
r,129710,2679221,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,-122/812/-14610,-645/328/394,1752/-177/-542,#
r,129711,2679242,-5/49/27/88,0/0/2/0,0/0/0/0,307/486/-301,0/0,-130/744/-14656,-654/336/389,1752/-177/-542,#
r,129712,2679262,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-152/676/-14628,-647/332/392,1753/-177/-542,#
r,129713,2679282,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-150/650/-14575,-629/324/388,1753/-177/-542,#
r,129714,2679302,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-36/702/-14632,-652/340/371,1752/-177/-542,#
r,129715,2679323,-5/49/27/88,0/0/0/0,0/0/0/0,307/486/-301,0/0,-8/788/-14672,-674/351/383,1752/-177/-542,#
r,129716,2679342,-5/49/27/88,0/0/-1/0,0/0/0/0,307/486/-301,0/0,-22/820/-14612,-649/334/394,1752/-177/-542,#
r,129717,2679362,-5/49/27/88,0/0/1/0,0/0/0/0,307/486/-301,0/0,-26/830/-14575,-638/330/396,1752/-177/-542,#
