r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,68781,1423147,17/61/11/90,0/0/0/-2,0/0/0/0,522/-182/-273,0/0,-1100/646/-14956,-567/227/595,-1739/-207/139,#
r,68782,1423168,17/61/11/90,0/0/0/1,0/0/0/0,522/-182/-273,0/0,-1092/696/-14902,-558/221/603,-1739/-207/139,#
r,68783,1423187,17/61/11/90,0/0/0/-1,0/0/0/0,522/-182/-273,0/0,-1102/746/-14886,-564/220/620,-1739/-207/139,#
r,68784,1423207,17/61/11/90,0/0/0/1,0/0/0/0,522/-182/-273,0/0,-1120/780/-14839,-554/211/632,-1739/-207/139,#
r,68785,1423227,17/61/11/90,0/0/0/0,0/0/0/0,522/-182/-273,0/0,-1174/830/-14802,-560/209/652,-1739/-207/139,#
r,68786,1423247,17/61/11/90,0/0/0/1,0/0/0/0,522/-182/-273,0/0,-1178/858/-14762,-551/202/656,-1739/-207/139,#
r,68787,1423267,17/61/11/90,0/0/0/-1,0/0/0/0,522/-182/-273,0/0,-1180/910/-14728,-557/202/676,-1739/-207/139,#
r,68788,1423287,17/61/11/90,0/0/0/1,0/0/0/0,522/-182/-273,0/0,-1202/939/-14692,-557/200/684,-1739/-207/139,#
r,68789,1423308,17/61/11/90,0/0/0/0,0/0/0/0,522/-182/-273,0/0,-1230/978/-14642,-558/195/697,-1739/-207/139,#
r,68790,1423328,17/61/11/90,0/0/0/2,0/0/0/0,522/-182/-273,0/0,-1224/1020/-14610,-558/191/705,-1739/-207/139,#
r,68791,1423348,17/61/11/90,0/0/0/1,0/0/0/0,522/-182/-273,0/0,-1226/1070/-14574,-561/189/721,-1739/-207/139,#
r,68792,1423367,17/61/11/90,1/0/0/4,0/0/0/0,522/-183/-273,0/0,-1226/1070/-14546,-556/185/719,-1739/-207/139,#
r,68793,1423387,17/61/11/90,13/0/0/4,0/0/0/0,522/-183/-273,0/0,-1224/1080/-14558,-554/182/716,-1739/-207/139,#
r,68794,1423408,17/61/11/90,16/0/0/6,0/0/0/0,521/-183/-273,0/0,-1210/1136/-14534,-556/179/731,-1739/-207/140,#
r,68795,1423428,17/61/11/90,19/0/0/11,0/0/0/0,521/-184/-273,0/0,-1200/1214/-14464,-551/172/751,-1739/-207/141,#
r,68796,1423447,17/61/11/90,40/0/0/7,0/0/0/0,521/-185/-273,0/0,-1174/1202/-14420,-543/168/744,-1740/-207/141,#
