r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,158607,3274636,-6/65/34/32,0/0/0/-1,0/0/0/0,37/575/-104,0/0,-1192/160/-13870,-500/225/443,-1770/-52/-1125,#
r,158608,3274657,-6/65/34/32,0/0/0/2,0/0/0/0,37/575/-104,0/0,-1184/226/-13830,-506/221/465,-1770/-52/-1125,#
r,158609,3274677,-6/65/34/32,0/0/0/-1,0/0/0/0,37/575/-104,0/0,-1174/276/-13802,-509/219/480,-1770/-52/-1125,#
r,158610,3274697,-6/65/34/32,0/0/0/1,0/0/0/0,37/575/-104,0/0,-1206/336/-13756,-504/211/509,-1770/-52/-1125,#
r,158611,3274717,-6/65/34/32,0/0/0/-2,0/0/0/0,37/575/-104,0/0,-1212/384/-13708,-501/207/526,-1770/-52/-1125,#
r,158612,3274737,-6/65/34/32,0/0/0/1,0/0/0/0,37/575/-104,0/0,-1208/452/-13658,-503/204/544,-1770/-52/-1125,#
r,158613,3274757,-6/65/34/32,0/0/0/-2,0/0/0/0,37/575/-104,0/0,-1184/516/-13588,-508/204/556,-1770/-52/-1125,#
r,158614,3274777,-6/65/34/32,0/0/0/1,0/0/0/0,37/575/-104,0/0,-1180/586/-13496,-503/196/570,-1770/-52/-1125,#
r,158615,3274796,-6/65/34/32,-1/0/0/-1,0/0/0/0,37/575/-104,0/0,-1154/626/-13382,-493/187/576,-1770/-52/-1125,#
r,158616,3274817,-6/65/34/32,-4/0/0/1,0/0/0/0,37/575/-104,0/0,-1120/654/-13267,-482/177/579,-1770/-52/-1125,#
r,158617,3274837,-6/65/34/32,-8/0/0/-1,0/0/0/0,37/575/-104,0/0,-1082/702/-13189,-482/174/577,-1770/-52/-1125,#
r,158618,3274857,-6/65/34/32,-10/2/0/1,0/0/0/0,37/575/-104,0/0,-1062/780/-13128,-492/175/588,-1770/-52/-1125,#
r,158619,3274877,-6/65/34/32,-10/2/0/-1,0/0/0/0,36/575/-104,0/0,-1010/874/-13088,-511/182/596,-1770/-52/-1125,#
r,158620,3274897,-6/65/34/32,-13/0/0/1,0/0/0/0,36/575/-104,0/0,-976/968/-13052,-528/189/599,-1770/-52/-1126,#
r,158621,3274917,-6/65/34/32,-22/0/0/-1,0/0/0/0,36/575/-104,0/0,-934/1018/-13008,-551/201/597,-1770/-52/-1126,#
r,158622,3274937,-6/65/34/32,-23/0/0/1,0/0/0/0,35/575/-104,0/0,-922/1098/-12953,-574/212/607,-1770/-52/-1127,#
r,158623,3274957,-6/65/34/32,-27/0/0/-1,0/0/0/0,34/575/-104,0/0,-912/1196/-12914,-608/228/633,-1770/-52/-1127,#
r,158624,3274977,-6/65/34/32,-31/0/0/1,0/0/0/0,34/575/-104,0/0,-934/1310/-12870,-639/242/679,-1770/-52/-1128,#
r,158625,3274997,-6/65/34/32,-40/0/0/-4,0/0/0/0,33/575/-104,0/0,-950/1408/-12842,-675/252/729,-1770/-52/-1129,#
r,158626,3275017,-7/65/34/32,-84/0/0/1,0/0/0/0,32/575/-104,0/0,-980/1494/-12828,-704/259/771,-1770/-52/-1130,#
r,158627,3275037,-7/65/34/32,-52/0/0/-1,0/0/0/0,31/575/-104,0/0,-982/1566/-12846,-724/265/816,-1771/-52/-1132,#
r,158628,3275057,-7/65/34/32,-77/0/0/1,0/0/0/0,29/575/-104,0/0,-1044/1612/-12832,-719/258/872,-1771/-52/-1133,#
r,158629,3275076,-7/65/34/32,-104/0/0/-2,0/0/0/0,27/575/-104,0/0,-1092/1648/-12808,-702/248/925,-1771/-52/-1136,#
r,158630,3275097,-7/65/34/32,-92/0/0/0,0/0/0/0,26/575/-104,0/0,-1090/1618/-12780,-671/236/937,-1771/-52/-1138,#
r,158631,3275117,-8/65/34/32,-106/0/0/-3,0/0/0/0,23/575/-104,0/0,-1042/1624/-12802,-641/227/936,-1771/-52/-1141,#
r,158632,3275137,-8/65/34/32,-149/0/0/-7,0/0/0/0,21/576/-104,0/0,-1054/1602/-12792,-590/205/952,-1772/-53/-1144,#
