r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,24316,500746,26/68/27/65,0/11/-118/-7,0/0/0/0,548/-139/-91,0/0,-1478/198/-12726,-258/78/465,-1664/40/22,#
r,24317,500766,26/68/27/65,0/12/-127/-2,0/0/0/0,548/-139/-93,0/0,-1496/209/-12858,-285/91/476,-1665/38/21,#
r,24318,500787,26/68/27/65,0/9/-148/-2,0/0/0/0,548/-139/-94,0/0,-1518/144/-12922,-272/85/468,-1666/36/21,#
r,24319,500812,26/68/26/65,0/9/-146/0,0/0/0/0,549/-139/-95,0/0,-1556/76/-12972,-245/69/476,-1667/34/20,#
r,24320,500837,26/68/26/65,0/16/-111/0,0/0/0/0,549/-139/-96,0/0,-1572/132/-13000,-238/63/499,-1668/32/20,#
r,24321,500859,26/68/26/65,0/13/-79/0,0/0/0/0,549/-139/-97,0/0,-1560/162/-12975,-216/52/505,-1669/30/20,#
r,24322,500879,26/68/25/65,0/14/-89/0,0/0/0/0,549/-139/-99,0/0,-1546/140/-12966,-199/45/495,-1671/27/19,#
r,24323,500904,26/68/25/65,0/20/-76/0,0/0/0/0,549/-139/-100,0/0,-1524/150/-13032,-212/53/492,-1671/26/19,#
r,24324,500926,26/68/25/65,0/15/-83/0,0/0/0/0,549/-139/-100,0/0,-1508/117/-13082,-217/58/478,-1672/25/18,#
r,24325,500946,26/68/25/65,0/20/-87/0,0/0/0/0,549/-139/-101,0/0,-1506/38/-13102,-215/60/464,-1672/24/18,#
r,24326,500970,26/68/25/65,0/26/-86/0,0/0/0/0,549/-139/-101,0/0,-1506/0/-13144,-214/62/454,-1673/23/18,#
r,24327,500990,26/68/25/65,0/20/-54/0,0/0/0/0,550/-139/-101,0/0,-1526/-10/-13136,-229/57/461,-1673/22/18,#
r,24328,501012,26/68/25/65,0/27/-52/0,0/0/0/0,550/-139/-101,0/0,-1540/-26/-13096,-184/46/469,-1673/22/18,#
r,24329,501031,26/68/24/65,0/23/-32/0,0/0/0/0,550/-139/-101,0/0,-1558/-60/-13132,-185/47/468,-1673/21/18,#
r,24330,501051,26/68/24/65,0/31/-51/0,0/0/0/0,550/-139/-101,0/0,-1572/-82/-13178,-193/52/463,-1673/21/18,#
r,24331,501072,26/68/24/65,0/30/-15/0,0/0/0/0,550/-139/-101,0/0,-1598/-100/-13232,-203/56/469,-1673/21/18,#
r,24332,501091,26/69/24/65,0/40/-13/0,0/0/0/0,550/-140/-100,0/0,-1620/-122/-13272,-210/58/474,-1673/22/18,#
r,24333,501111,26/69/24/65,0/29/-4/0,0/0/0/0,550/-140/-100,0/0,-1604/-146/-13278,-208/58/467,-1673/22/18,#
r,24334,501131,26/69/24/65,0/28/0/0,0/0/0/0,550/-140/-99,0/0,-1594/-170/-13266,-198/54/458,-1673/22/18,#
r,24335,501152,26/69/24/65,0/32/2/0,0/0/0/0,550/-140/-98,0/0,-1602/-164/-13230,-182/43/466,-1673/23/18,#
r,24336,501171,26/69/24/65,0/24/4/0,0/0/0/0,551/-140/-98,0/0,-1626/-130/-13216,-175/36/475,-1672/24/18,#
r,24337,501191,26/69/24/65,0/38/25/0,0/0/0/0,551/-140/-97,0/0,-1629/-136/-13206,-179/38/470,-1672/24/18,#
r,24338,501219,26/69/24/65,0/24/19/0,0/0/0/0,551/-140/-96,0/0,-1654/-186/-13212,-189/44/457,-1671/25/18,#
r,24339,501239,26/69/24/65,0/35/38/0,0/0/0/0,551/-140/-95,0/0,-1712/-284/-13202,-190/43/450,-1671/26/19,#
r,24340,501258,26/69/24/65,0/18/36/0,0/0/0/0,551/-140/-94,0/0,-1787/-356/-13150,-169/27/447,-1670/27/19,#
r,24341,501278,26/69/25/65,0/35/32/0,0/0/0/0,551/-140/-93,0/0,-1862/-388/-13092,-156/15/456,-1670/28/19,#
r,24342,501299,26/69/25/65,0/24/49/0,0/0/0/0,551/-140/-92,0/0,-1884/-384/-13012,-138/4/465,-1669/29/19,#
r,24343,501318,26/69/25/65,0/22/49/0,0/0/0/0,551/-140/-91,0/0,-1894/-412/-12925,-121/-3/469,-1669/30/20,#
r,24344,501339,26/69/25/65,0/17/51/0,0/0/0/0,551/-140/-90,0/0,-1906/-442/-12924,-120/-3/468,-1668/32/20,#
r,24345,501358,26/69/25/65,0/35/81/0,0/0/0/0,551/-140/-89,0/0,-1906/-458/-12992,-142/7/466,-1667/33/20,#
r,24346,501378,26/69/25/65,0/35/60/0,0/0/0/0,551/-140/-87,0/0,-1894/-460/-13108,-178/23/469,-1666/35/21,#
r,24347,501398,26/69/25/65,0/18/62/0,0/0/0/0,551/-140/-86,0/0,-1874/-438/-13224,-216/41/479,-1666/36/21,#
r,24348,501420,26/69/25/65,0/9/58/0,0/0/0/0,551/-140/-84,0/0,-1850/-400/-13275,-233/47/494,-1664/39/22,#
r,24349,501444,26/69/26/65,0/4/90/0,0/0/0/0,551/-140/-83,0/0,-1864/-378/-13260,-227/38/511,-1663/41/22,#
r,24350,501466,26/69/26/65,0/1/90/0,0/0/0/0,551/-140/-82,0/0,-1910/-320/-13300,-233/32/538,-1663/42/22,#
r,24351,501486,26/69/26/65,0/0/82/0,0/0/0/0,551/-140/-81,0/0,-1924/-278/-13339,-259/43/540,-1662/44/23,#
r,24352,501510,26/69/26/65,0/0/112/0,0/0/0/0,551/-140/-80,0/0,-1912/-288/-13366,-288/60/539,-1661/45/23,#
r,24353,501532,26/69/26/65,0/-1/108/0,0/0/0/0,551/-140/-79,0/0,-1918/-346/-13388,-300/67/544,-1660/47/23,#
r,24354,501551,26/69/26/65,0/0/113/0,0/0/0/0,551/-140/-78,0/0,-1956/-392/-13392,-282/55/546,-1659/48/24,#
r,24355,501577,26/69/27/65,0/-1/88/0,0/0/0/0,550/-140/-77,0/0,-1971/-396/-13303,-250/35/552,-1659/50/24,#
r,24356,501599,26/69/27/65,0/0/102/0,0/0/0/0,550/-140/-74,0/0,-1984/-370/-13114,-197/0/568,-1657/53/25,#
r,24357,501619,26/69/27/65,0/2/124/0,0/0/0/0,550/-139/-73,0/0,-1995/-316/-13044,-157/-29/599,-1656/55/26,#
r,24358,501644,26/69/27/65,0/0/80/0,0/0/0/0,550/-139/-72,0/0,-1992/-276/-13025,-138/-45/622,-1655/57/26,#
r,24359,501666,26/69/28/65,0/0/119/0,0/0/0/0,550/-139/-70,0/0,-1960/-300/-13080,-156/-37/613,-1653/59/27,#
r,24360,501691,26/69/28/65,0/0/135/0,0/0/0/0,550/-139/-69,0/0,-1928/-312/-13252,-204/-18/610,-1652/62/27,#
r,24361,501717,26/69/28/65,0/0/141/0,0/0/0/0,549/-139/-67,0/0,-1908/-246/-13364,-231/-12/640,-1651/64/28,#
r,24362,501738,26/69/29/65,0/0/151/0,0/0/0/0,549/-139/-66,0/0,-1898/-174/-13375,-222/-25/668,-1650/66/29,#
r,24363,501760,26/69/29/65,0/0/124/0,0/0/0/0,549/-139/-62,0/0,-1894/-98/-13317,-203/-45/691,-1647/71/30,#
r,24364,501784,26/69/29/65,0/0/151/0,0/0/0/0,549/-139/-60,0/0,-1898/-36/-13238,-185/-60/705,-1645/74/31,#
r,24365,501804,26/69/30/65,0/0/155/0,0/0/0/0,548/-139/-58,0/0,-1890/16/-13144,-168/-77/720,-1644/77/32,#
r,24366,501826,26/69/30/65,0/0/179/0,0/0/0/0,548/-138/-56,0/0,-1902/44/-13130,-186/-75/738,-1642/80/33,#
r,24367,501845,26/69/30/65,0/0/193/0,0/0/0/0,548/-138/-54,0/0,-1904/32/-13203,-219/-58/736,-1640/83/33,#
r,24368,501867,26/69/31/65,5/0/217/0,0/0/0/0,547/-138/-52,0/0,-1864/0/-13238,-256/-43/713,-1639/86/34,#
r,24369,501886,26/69/31/65,12/0/168/0,0/0/0/0,547/-138/-50,0/0,-1812/0/-13238,-295/-30/708,-1637/90/36,#
r,24370,501906,26/69/32/65,19/0/226/0,0/0/0/0,546/-139/-48,0/0,-1745/140/-13203,-334/-21/746,-1635/93/37,#
r,24371,501925,26/69/32/65,21/0/213/0,0/0/0/0,546/-139/-45,0/0,-1679/292/-13117,-359/-17/786,-1633/96/39,#
r,24372,501945,26/69/32/65,17/0/242/0,0/0/0/0,545/-139/-43,0/0,-1632/372/-13000,-364/-24/799,-1631/100/40,#
r,24373,501965,26/69/33/65,23/0/195/10,0/0/0/0,545/-140/-40,0/0,-1590/414/-12932,-400/-11/802,-1628/103/42,#
r,24374,501985,27/69/33/65,28/0/217/23,0/0/0/0,545/-140/-38,0/0,-1576/480/-13020,-460/12/821,-1626/107/44,#
r,24375,502005,27/69/34/65,51/0/199/17,0/0/0/0,544/-141/-35,0/0,-1602/566/-13134,-534/38/867,-1624/110/46,#
