r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,88560,1823355,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-1016/-144/-14796,-594/250/583,-1679/-15/55,#
r,88561,1823374,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-992/-156/-14792,-592/250/576,-1679/-15/55,#
r,88562,1823399,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-962/-176/-14798,-593/252/570,-1679/-15/55,#
r,88563,1823421,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-943/-182/-14839,-595/251/572,-1679/-15/55,#
r,88564,1823441,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-954/-176/-14866,-596/250/578,-1679/-15/55,#
r,88565,1823467,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-985/-158/-14894,-600/247/590,-1679/-15/55,#
r,88566,1823488,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-1036/-122/-14930,-603/242/609,-1679/-15/55,#
r,88567,1823507,63/87/0/80,0/0/0/0,0/0/0/0,584/-113/-33,0/0,-1108/-88/-14978,-605/233/631,-1679/-15/55,#
r,88568,1823528,63/87/0/80,-2/0/0/0,0/0/0/0,584/-113/-33,0/0,-1204/-76/-14996,-599/218/652,-1679/-15/55,#
r,88569,1823555,63/87/0/80,-4/0/0/0,0/0/0/0,584/-113/-33,0/0,-1348/-78/-14988,-587/192/684,-1679/-15/54,#
r,88570,1823574,63/87/0/80,-11/0/0/0,0/0/0/0,584/-113/-33,0/0,-1418/-70/-15010,-586/179/708,-1679/-15/54,#
r,88571,1823594,63/87/0/80,-14/0/0/0,0/0/0/0,584/-113/-33,0/0,-1476/-30/-15016,-591/169/729,-1679/-15/54,#
r,88572,1823614,63/87/0/80,-30/0/0/-1,0/0/0/0,584/-112/-33,0/0,-1466/12/-15036,-591/155/757,-1679/-15/54,#
r,88573,1823635,63/87/0/80,-29/0/0/-4,0/0/0/0,584/-111/-33,0/0,-1620/117/-15038,-570/128/812,-1679/-15/53,#
r,88574,1823654,62/87/0/80,-44/0/0/-4,0/0/0/0,584/-110/-33,0/0,-1621/166/-15028,-576/124/813,-1680/-15/52,#
r,88575,1823675,62/87/0/80,-60/0/0/-13,0/0/0/0,584/-109/-33,0/0,-1594/240/-14986,-590/129/808,-1680/-16/51,#
r,88576,1823695,62/87/0/80,-57/0/0/-19,0/0/0/0,585/-107/-33,0/0,-1668/342/-14932,-597/124/833,-1680/-16/49,#
r,88577,1823715,62/87/0/80,-57/0/0/-33,0/0/0/0,585/-106/-33,0/0,-1710/419/-14924,-614/128/845,-1680/-16/48,#
r,88578,1823735,62/87/0/80,-98/0/0/-31,0/0/0/0,585/-103/-33,0/0,-1686/428/-14870,-613/128/824,-1680/-17/45,#
r,88579,1823755,62/87/0/80,-81/0/0/-33,0/0/0/0,586/-101/-33,0/0,-1714/392/-14820,-600/121/810,-1680/-17/43,#
r,88580,1823775,62/87/0/80,-106/0/0/-46,0/0/0/0,586/-98/-33,0/0,-1770/384/-14820,-600/119/816,-1680/-18/40,#
r,88581,1823797,61/87/0/80,-127/0/0/-38,0/0/0/0,586/-95/-33,0/0,-1714/404/-14846,-615/130/791,-1680/-18/37,#
r,88582,1823816,61/87/0/80,-117/0/0/-80,0/0/0/0,587/-91/-33,0/0,-1676/398/-14832,-604/128/780,-1680/-19/34,#
r,88583,1823837,61/87/0/80,-158/0/0/-49,0/0/0/0,587/-87/-33,0/0,-1662/394/-14832,-599/129/778,-1680/-20/30,#
r,88584,1823857,61/87/0/80,-150/0/0/-55,0/0/0/0,588/-83/-33,0/0,-1634/428/-14866,-597/132/772,-1680/-21/26,#
r,88585,1823877,60/87/0/79,-159/0/0/-94,0/0/0/0,588/-79/-33,0/0,-1556/446/-14858,-574/127/752,-1680/-22/22,#
r,88586,1823896,60/87/0/79,-152/0/0/-54,0/0/0/0,589/-74/-33,0/0,-1470/482/-14892,-535/112/742,-1680/-23/17,#
r,88587,1823917,60/87/0/79,-163/0/0/-73,0/0/0/0,589/-69/-33,0/0,-1368/514/-14970,-506/105/742,-1680/-24/13,#
r,88588,1823937,59/87/0/79,-181/0/0/-105,0/0/0/0,589/-64/-33,0/0,-1274/508/-14986,-488/103/727,-1680/-25/7,#
