r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,123365,2548562,2/122/11/90,0/0/0/1,0/0/0/0,328/386/426,0/0,-1744/-1596/-12092,-228/59/507,-1386/192/-577,#
r,123366,2548582,2/122/11/90,0/0/0/-1,0/0/0/0,328/386/426,0/0,-1742/-1586/-12114,-241/65/512,-1386/192/-577,#
r,123367,2548601,2/122/11/90,0/0/0/1,0/0/0/0,328/386/426,0/0,-1768/-1606/-12112,-242/64/519,-1386/192/-577,#
r,123368,2548622,2/122/11/90,0/0/-1/-1,0/0/0/0,328/386/426,0/0,-1782/-1618/-12072,-235/62/523,-1386/192/-577,#
r,123369,2548642,2/122/11/90,0/0/0/2,0/0/0/0,328/386/426,0/0,-1779/-1654/-12062,-239/66/517,-1386/192/-577,#
r,123370,2548661,2/122/11/90,0/0/-1/-1,0/0/0/0,328/386/426,0/0,-1776/-1668/-12030,-231/61/515,-1386/192/-577,#
r,123371,2548681,2/122/11/90,0/0/2/1,0/0/0/0,328/386/426,0/0,-1779/-1666/-11984,-221/55/514,-1386/192/-577,#
r,123372,2548702,2/122/11/90,0/0/-4/-1,0/0/0/0,328/386/426,0/0,-1758/-1674/-11958,-208/46/509,-1386/192/-577,#
r,123373,2548721,2/122/11/90,0/0/3/1,0/0/0/0,328/386/426,0/0,-1732/-1676/-11986,-229/60/503,-1386/192/-577,#
r,123374,2548742,2/122/11/90,0/0/-3/-1,0/0/0/0,328/386/426,0/0,-1720/-1662/-11956,-221/55/507,-1386/192/-577,#
r,123375,2548763,2/122/11/90,0/0/1/2,0/0/0/0,328/386/426,0/0,-1716/-1695/-11928,-221/58/505,-1386/192/-577,#
r,123376,2548783,2/122/11/90,0/0/-2/-2,0/0/0/0,328/386/426,0/0,-1682/-1718/-11904,-212/55/496,-1386/192/-577,#
r,123377,2548803,2/122/11/90,0/0/4/2,0/0/0/0,328/386/426,0/0,-1634/-1714/-11920,-221/63/492,-1386/192/-577,#
r,123378,2548823,2/122/11/90,0/0/-4/-2,0/0/0/0,328/386/426,0/0,-1604/-1724/-11882,-205/57/484,-1386/192/-577,#
r,123379,2548843,2/122/11/90,0/0/2/2,0/0/0/0,328/386/426,0/0,-1544/-1704/-11886,-220/68/475,-1386/192/-577,#
r,123380,2548863,2/122/11/90,0/0/-4/-3,0/0/0/0,328/386/426,0/0,-1482/-1728/-11836,-206/63/455,-1386/192/-577,#
r,123381,2548883,2/122/11/90,0/0/4/2,0/0/0/0,328/386/426,0/0,-1440/-1704/-11816,-222/75/453,-1386/192/-577,#
r,123382,2548903,2/122/11/90,0/0/-4/-2,0/0/0/0,328/386/426,0/0,-1366/-1718/-11790,-203/69/436,-1386/192/-577,#
r,123383,2548923,2/122/11/90,0/0/4/2,0/0/0/0,328/386/426,0/0,-1274/-1644/-11902,-249/101/418,-1386/192/-577,#
r,123384,2548943,2/122/11/90,0/0/-2/-1,0/0/0/0,328/386/426,0/0,-1160/-1624/-11900,-242/99/384,-1386/192/-577,#
r,123385,2548963,2/122/11/90,0/0/3/2,0/0/0/0,328/386/426,0/0,-1098/-1552/-11918,-267/117/379,-1386/192/-577,#
r,123386,2548983,2/122/11/90,0/0/-3/-3,0/0/0/0,328/386/426,0/0,-1060/-1590/-11848,-234/101/365,-1386/192/-577,#
r,123387,2549003,2/122/11/90,0/0/4/2,0/0/0/0,328/386/426,0/0,-1004/-1562/-11906,-270/127/358,-1386/192/-577,#
r,123388,2549023,2/122/11/90,0/0/-4/-1,0/0/0/0,328/386/426,0/0,-924/-1592/-11878,-249/120/331,-1386/192/-577,#
r,123389,2549043,2/122/11/90,1/0/5/2,0/0/0/0,328/386/426,0/0,-878/-1572/-11918,-274/138/321,-1386/192/-577,#
r,123390,2549063,2/122/11/90,10/0/-5/-1,0/0/0/0,328/386/426,0/0,-856/-1586/-11902,-249/124/318,-1386/192/-577,#
r,123391,2549083,2/122/11/90,20/0/5/2,0/0/0/0,329/386/426,0/0,-880/-1556/-11966,-280/142/329,-1386/192/-576,#
r,123392,2549103,2/122/11/90,19/0/-4/-2,0/0/0/0,329/385/426,0/0,-904/-1554/-11962,-264/130/330,-1387/192/-576,#
r,123393,2549123,2/122/11/90,20/0/4/2,0/0/0/0,329/385/426,0/0,-932/-1550/-11980,-273/138/336,-1387/193/-576,#
r,123394,2549147,2/122/11/90,20/0/-4/-2,0/0/0/0,330/385/426,0/0,-956/-1568/-11980,-256/127/341,-1387/193/-575,#
r,123395,2549169,2/122/11/90,23/0/4/2,0/0/0/0,330/384/426,0/0,-932/-1598/-12050,-289/145/324,-1387/193/-575,#
r,123396,2549189,2/122/11/90,49/0/-4/-1,0/0/0/0,330/384/426,0/0,-938/-1636/-12030,-281/139/316,-1387/194/-574,#
r,123397,2549209,2/122/11/90,35/0/4/2,0/0/0/0,331/384/426,0/0,-934/-1658/-12030,-285/144/318,-1387/194/-574,#
r,123398,2549238,3/122/11/90,44/0/1/1,0/0/0/0,332/382/426,0/0,-914/-1679/-12028,-284/147/305,-1388/195/-572,#
r,123399,2549258,3/122/11/90,59/0/0/0,0/0/0/0,332/382/426,0/0,-912/-1658/-12014,-275/139/300,-1388/196/-571,#
r,123400,2549279,3/122/11/90,62/0/1/2,0/0/0/0,332/381/426,0/0,-939/-1614/-12018,-289/143/311,-1388/197/-571,#
r,123401,2549298,3/122/11/90,74/0/0/0,0/0/0/0,333/380/426,0/0,-943/-1604/-12006,-288/141/319,-1389/198/-570,#
r,123402,2549319,3/122/11/90,64/0/0/0,0/0/0/0,334/379/426,0/0,-908/-1634/-12032,-296/148/308,-1389/198/-568,#
r,123403,2549338,3/122/11/90,98/0/-2/0,0/0/0/0,335/378/426,0/0,-926/-1671/-12048,-288/145/294,-1390/199/-567,#
r,123404,2549358,3/122/11/90,74/0/-1/-1,0/0/0/0,336/377/426,0/0,-997/-1650/-12102,-299/145/303,-1390/200/-566,#
r,123405,2549378,4/122/11/90,98/0/0/-2,0/0/0/0,337/376/426,0/0,-1074/-1664/-12118,-304/143/322,-1391/201/-565,#
r,123406,2549399,4/122/11/90,81/0/1/0,0/0/0/0,338/375/426,0/0,-1104/-1714/-12076,-295/139/322,-1391/203/-563,#
r,123407,2549420,4/122/11/90,111/0/1/0,0/0/0/0,339/373/426,0/0,-1112/-1764/-12060,-289/136/306,-1392/204/-562,#
r,123408,2549439,4/122/11/90,120/0/2/0,0/0/0/0,340/372/426,0/0,-1148/-1782/-12080,-297/138/311,-1392/205/-560,#
r,123409,2549459,4/122/11/90,97/0/1/3,0/0/0/0,341/371/426,0/0,-1222/-1764/-12100,-295/134/331,-1393/207/-558,#
r,123410,2549479,5/122/11/90,97/0/0/1,0/0/0/0,343/369/426,0/0,-1278/-1794/-12120,-288/129/335,-1393/208/-556,#
r,123411,2549499,5/122/11/90,133/0/0/0,0/0/0/0,343/368/426,0/0,-1288/-1840/-12142,-290/131/320,-1394/210/-555,#
r,123412,2549519,5/122/11/90,133/0/0/0,0/0/0/0,345/366/426,0/0,-1314/-1866/-12122,-289/130/322,-1395/211/-553,#
r,123413,2549539,5/122/11/90,130/0/0/0,0/0/0/0,346/364/426,0/0,-1420/-1892/-12160,-300/131/352,-1395/213/-551,#
r,123414,2549559,6/122/11/90,119/0/-1/-1,0/0/0/0,348/363/426,0/0,-1498/-1926/-12200,-297/124/366,-1396/214/-549,#
r,123415,2549579,6/122/11/90,100/0/0/0,0/0/0/0,349/361/426,0/0,-1498/-1976/-12228,-304/131/348,-1397/216/-547,#
r,123416,2549600,6/122/11/90,153/0/1/-1,0/0/0/0,350/359/426,0/0,-1496/-2018/-12242,-301/129/338,-1398/217/-545,#
r,123417,2549619,6/122/11/90,139/0/2/-1,0/0/0/0,352/357/426,0/0,-1552/-1994/-12310,-324/138/359,-1398/219/-543,#
r,123418,2549639,7/122/11/90,139/0/0/0,0/0/0/0,353/355/426,0/0,-1608/-1990/-12350,-325/135/376,-1399/221/-540,#
r,123419,2549659,7/122/11/90,162/0/0/0,0/0/0/0,354/353/426,0/0,-1624/-1987/-12356,-331/139/374,-1400/223/-538,#
r,123420,2549679,7/122/11/90,140/0/-1/0,0/0/0/0,356/351/426,0/0,-1629/-1964/-12330,-327/135/371,-1401/224/-536,#
r,123421,2549700,7/122/11/90,162/0/-1/0,0/0/0/0,358/349/426,0/0,-1652/-1968/-12356,-336/139/372,-1402/226/-533,#
r,123422,2549719,8/122/11/90,169/0/-1/0,0/0/0/0,359/347/426,0/0,-1687/-1987/-12404,-339/137/381,-1403/228/-531,#
r,123423,2549739,8/122/11/90,156/0/-1/1,0/0/0/0,360/345/426,0/0,-1702/-2014/-12456,-356/147/381,-1404/230/-528,#
r,123424,2549759,8/122/11/90,116/0/-2/0,0/0/0/0,362/343/426,0/0,-1656/-2037/-12512,-371/158/358,-1405/232/-526,#
r,123425,2549779,9/122/11/90,122/0/-1/1,0/0/0/0,364/341/426,0/0,-1648/-2050/-12530,-380/163/345,-1406/234/-523,#
r,123426,2549799,9/122/11/90,175/0/0/0,0/0/0/0,365/339/426,0/0,-1704/-2021/-12532,-373/155/371,-1407/236/-520,#
r,123427,2549820,9/122/11/90,146/0/0/0,0/0/0/0,367/336/426,0/0,-1736/-2026/-12550,-374/154/381,-1408/238/-518,#
r,123428,2549840,10/122/11/90,165/0/0/0,0/0/0/0,368/334/426,0/0,-1704/-2018/-12594,-382/161/360,-1409/240/-515,#
r,123429,2549859,10/122/11/90,171/0/0/5,0/0/0/0,370/332/426,0/0,-1714/-2032/-12630,-389/165/359,-1410/242/-512,#
r,123430,2549879,10/122/11/90,182/0/0/-1,0/0/0/0,371/329/426,0/0,-1770/-2056/-12706,-404/171/373,-1411/244/-510,#
