r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,33854,696227,36/46/23/65,0/1/-123/-1,0/0/0/0,460/-190/-345,0/0,-2104/1450/-12710,-421/130/423,1789/-191/92,#
r,33855,696247,36/46/23/65,0/8/-98/-1,0/0/0/0,459/-190/-346,0/0,-2070/1468/-12756,-423/129/416,1788/-193/92,#
r,33856,696267,36/46/23/65,0/6/-85/-3,0/0/0/0,459/-190/-347,0/0,-2042/1518/-12770,-423/129/421,1787/-194/92,#
r,33857,696286,36/46/23/65,0/13/-64/-7,0/0/0/0,459/-190/-348,0/0,-2036/1486/-12754,-412/125/425,1786/-196/91,#
r,33858,696306,36/46/23/65,0/14/-109/-10,0/0/0/0,459/-189/-348,0/0,-2026/1402/-12718,-383/113/417,1785/-197/91,#
r,33859,696327,36/46/22/65,0/11/-59/-10,0/0/0/0,458/-189/-349,0/0,-2048/1366/-12686,-358/99/426,1785/-198/91,#
r,33860,696347,36/46/22/65,0/20/-80/-11,0/0/0/0,458/-189/-349,0/0,-2072/1350/-12638,-344/91/431,1784/-199/91,#
r,33861,696366,36/46/22/65,0/17/-67/-8,0/0/0/0,458/-189/-350,0/0,-2052/1338/-12620,-353/101/427,1783/-200/91,#
r,33862,696387,36/46/22/65,0/26/-67/-16,0/0/0/0,458/-188/-350,0/0,-2029/1328/-12646,-372/115/431,1783/-200/91,#
r,33863,696407,36/46/22/65,0/21/-47/-16,0/0/0/0,458/-188/-350,0/0,-2042/1300/-12646,-363/111/437,1782/-201/90,#
r,33864,696426,36/46/22/65,0/37/-37/-13,0/0/0/0,458/-188/-350,0/0,-2052/1238/-12688,-360/110/427,1782/-201/90,#
r,33865,696447,36/46/22/65,0/27/-29/-16,0/0/0/0,459/-188/-350,0/0,-2028/1200/-12750,-375/121/423,1782/-201/90,#
r,33866,696468,36/46/22/65,0/29/-32/-17,0/0/0/0,459/-188/-350,0/0,-2002/1200/-12774,-384/129/432,1782/-202/90,#
r,33867,696488,36/46/22/65,0/21/-28/-14,0/0/0/0,459/-188/-350,0/0,-1995/1186/-12750,-375/125/444,1782/-202/89,#
r,33868,696507,36/46/22/65,0/19/-19/-19,0/0/0/0,459/-188/-350,0/0,-1986/1158/-12774,-375/125/445,1782/-202/89,#
r,33869,696527,36/46/21/65,0/21/-16/-10,0/0/0/0,459/-188/-350,0/0,-1964/1158/-12828,-381/129/450,1782/-202/89,#
r,33870,696554,36/46/21/65,0/27/-13/-9,0/0/0/0,460/-188/-349,0/0,-1940/1148/-12852,-389/135/460,1782/-201/88,#
r,33871,696574,36/46/21/65,0/28/-7/-16,0/0/0/0,460/-188/-348,0/0,-1928/1122/-12916,-411/152/464,1782/-201/88,#
r,33872,696594,36/46/21/65,0/20/-2/-17,0/0/0/0,460/-188/-348,0/0,-1906/1098/-12996,-430/164/464,1782/-200/87,#
r,33873,696614,36/46/21/65,0/15/-2/-16,0/0/0/0,461/-188/-347,0/0,-1895/1084/-13042,-437/168/471,1783/-200/87,#
r,33874,696629,36/46/21/65,0/24/-1/-13,0/0/0/0,461/-188/-347,0/0,-1870/1078/-13050,-435/166/476,1783/-199/87,#
