r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,48438,999667,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-906/48/-15036,-698/317/546,-1695/39/-216,#
r,48439,999687,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-902/56/-15034,-697/317/547,-1695/39/-216,#
r,48440,999711,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-897/60/-15020,-694/316/547,-1695/39/-216,#
r,48441,999730,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-892/58/-14998,-692/315/546,-1695/39/-216,#
r,48442,999754,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-870/84/-15022,-696/319/546,-1695/39/-216,#
r,48443,999779,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-800/130/-15075,-705/331/539,-1695/39/-216,#
r,48444,999804,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-760/146/-15117,-717/343/527,-1695/39/-216,#
r,48445,999831,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-710/162/-15148,-725/351/515,-1695/39/-216,#
r,48446,999851,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-688/166/-15148,-723/351/511,-1695/39/-216,#
r,48447,999871,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-670/158/-15136,-720/353/503,-1695/39/-216,#
r,48448,999891,19/38/51/49,0/0/0/0,0/0/0/0,461/74/-251,0/0,-636/152/-15125,-719/357/492,-1695/39/-216,#
r,48449,999912,19/38/51/49,-1/0/0/0,0/0/0/0,461/74/-251,0/0,-590/174/-15144,-725/367/482,-1695/39/-216,#
r,48450,999931,19/38/51/49,-4/0/0/0,0/0/0/0,461/74/-251,0/0,-578/184/-15175,-738/375/476,-1695/39/-216,#
r,48451,999951,19/38/51/49,-6/0/0/0,0/0/0/0,461/74/-251,0/0,-584/192/-15206,-755/384/473,-1695/39/-216,#
r,48452,999967,19/38/51/49,-4/0/0/0,0/0/0/0,461/74/-251,0/0,-574/209/-15216,-768/395/462,-1695/39/-216,#
r,48453,999993,19/38/51/49,-4/0/0/0,0/0/0/0,461/74/-251,0/0,-522/222/-15246,-779/409/432,-1695/39/-216,#
r,48454,1000014,19/38/51/49,-2/0/0/0,0/0/0/0,461/75/-251,0/0,-488/252/-15214,-780/416/414,-1695/39/-216,#
r,48455,1000034,19/38/51/49,-2/0/0/0,0/0/0/0,461/75/-251,0/0,-430/304/-15188,-780/421/399,-1695/39/-216,#
r,48456,1000054,19/38/51/49,-2/0/0/0,0/0/0/0,461/75/-251,0/0,-354/362/-15198,-785/431/381,-1695/39/-216,#
r,48457,1000074,19/38/51/49,-4/0/0/0,0/0/0/0,461/75/-251,0/0,-270/408/-15175,-778/439/350,-1695/39/-216,#
r,48458,1000094,19/38/51/49,-7/0/0/0,0/0/0/0,461/75/-251,0/0,-200/412/-15112,-774/444/312,-1695/39/-216,#
r,48459,1000113,19/38/51/49,-14/0/0/0,0/0/0/0,461/75/-251,0/0,-84/498/-15132,-808/471/279,-1695/40/-217,#
r,48460,1000134,19/38/51/49,-16/0/0/-11,0/0/0/0,461/75/-251,0/0,38/634/-15132,-828/487/265,-1695/40/-217,#
r,48461,1000154,19/38/51/49,-35/0/0/-9,0/0/0/0,461/76/-251,0/0,116/710/-15022,-793/473/252,-1695/40/-218,#
r,48462,1000174,18/38/51/49,-63/0/0/-11,0/0/0/0,461/77/-251,0/0,222/738/-14910,-758/461/228,-1695/40/-219,#
r,48463,1000194,18/38/51/49,-73/0/0/-10,0/0/0/0,460/78/-251,0/0,284/814/-14842,-750/460/227,-1695/40/-220,#
r,48464,1000214,18/38/51/49,-55/0/0/-22,0/0/0/0,460/79/-251,0/0,318/885/-14812,-748/459/236,-1695/40/-222,#
r,48465,1000234,18/38/51/49,-80/1/0/-19,0/0/0/0,460/81/-251,0/0,332/906/-14794,-727/450/233,-1695/41/-223,#
r,48466,1000254,18/38/51/49,-114/5/0/-21,0/0/0/0,459/83/-251,0/0,338/884/-14756,-706/440/222,-1695/41/-226,#
r,48467,1000274,18/38/51/49,-80/4/0/-27,0/0/0/0,459/85/-251,0/0,328/897/-14708,-700/436/222,-1696/42/-228,#
r,48468,1000294,18/38/51/49,-104/0/0/-33,0/0/0/0,459/87/-251,0/0,312/910/-14666,-703/436/226,-1696/42/-231,#
r,48469,1000314,17/38/51/49,-133/0/0/-35,0/0/0/0,458/90/-251,0/0,384/928/-14628,-692/435/195,-1696/43/-234,#
