r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,41119,845929,63/48/60/64,0/-47/0/1,0/0/0/0,348/-418/-113,0/0,-1687/-1136/-13720,-663/303/307,-1551/9/384,#
r,41120,845950,63/48/60/64,0/-38/0/-1,0/0/0/0,348/-418/-114,0/0,-1710/-1066/-13658,-650/294/322,-1552/8/384,#
r,41121,845970,63/48/60/64,0/-36/0/0,0/0/0/0,348/-417/-115,0/0,-1702/-1004/-13636,-649/292/327,-1553/8/384,#
r,41122,845990,63/48/60/64,0/-53/0/-1,0/0/0/0,348/-417/-116,0/0,-1706/-956/-13630,-649/291/332,-1554/8/383,#
r,41123,846010,63/48/60/64,0/-62/0/0,0/0/0/0,348/-417/-117,0/0,-1690/-962/-13646,-648/291/332,-1555/7/383,#
r,41124,846029,63/47/60/64,0/-64/0/0,0/0/0/0,348/-417/-118,0/0,-1686/-964/-13678,-651/294/326,-1556/7/383,#
r,41125,846050,63/47/60/64,0/-58/0/0,0/0/0/0,348/-417/-119,0/0,-1686/-947/-13698,-656/297/325,-1557/6/383,#
r,41126,846070,63/47/60/64,0/-67/0/0,0/0/0/0,348/-416/-120,0/0,-1700/-920/-13662,-646/289/334,-1558/6/383,#
r,41127,846090,63/47/60/64,0/-65/0/0,0/0/0/0,348/-416/-122,0/0,-1736/-908/-13610,-627/272/345,-1559/5/382,#
r,41128,846110,63/47/60/64,0/-86/0/0,0/0/0/0,348/-416/-123,0/0,-1762/-876/-13536,-595/245/362,-1561/5/382,#
r,41129,846130,63/47/60/64,0/-73/0/3,0/0/0/0,347/-416/-124,0/0,-1758/-804/-13360,-570/226/373,-1562/4/382,#
r,41130,846150,63/47/60/64,0/-60/0/4,0/0/0/0,347/-415/-126,0/0,-1716/-730/-13170,-546/214/369,-1563/3/382,#
r,41131,846170,63/46/60/64,0/-57/0/3,0/0/0/0,347/-415/-127,0/0,-1682/-690/-13028,-507/190/365,-1564/3/381,#
r,41132,846190,63/46/60/64,0/-45/0/0,0/0/0/0,347/-415/-128,0/0,-1710/-624/-12875,-453/150/385,-1566/2/381,#
r,41133,846213,63/46/60/64,0/-80/0/0,0/0/0/0,347/-415/-130,0/0,-1748/-550/-12684,-402/110/405,-1567/2/381,#
r,41134,846233,63/46/60/64,0/-39/0/0,0/0/0/0,347/-414/-131,0/0,-1760/-562/-12490,-361/82/380,-1568/1/381,#
r,41135,846264,63/46/60/64,0/-62/0/0,0/0/0/0,347/-414/-132,0/0,-1787/-582/-12368,-314/50/370,-1569/1/381,#
r,41136,846285,63/46/60/64,0/-48/0/0,0/0/0/0,346/-414/-132,0/0,-1845/-536/-12346,-288/27/405,-1569/0/380,#
r,41137,846305,63/46/60/64,0/-21/0/0,0/0/0/0,346/-414/-133,0/0,-1871/-508/-12322,-275/15/421,-1570/0/380,#
r,41138,846325,63/46/60/64,0/-23/0/0,0/0/0/0,346/-414/-133,0/0,-1908/-546/-12276,-256/1/417,-1570/0/380,#
r,41139,846345,63/46/60/64,0/-21/0/0,0/0/0/0,346/-414/-134,0/0,-1978/-558/-12218,-237/-18/440,-1571/0/380,#
r,41140,846365,63/46/60/64,0/-8/0/0,0/0/0/0,346/-414/-134,0/0,-2044/-510/-12180,-241/-33/480,-1571/0/380,#
r,41141,846386,63/46/60/64,0/-1/0/0,0/0/0/0,346/-414/-134,0/0,-2060/-430/-12142,-259/-35/513,-1571/0/380,#
r,41142,846406,63/46/60/64,0/0/0/1,0/0/0/0,346/-414/-134,0/0,-2018/-312/-12132,-288/-35/541,-1571/0/380,#
r,41143,846426,63/46/60/64,0/0/0/2,0/0/0/0,346/-414/-134,0/0,-1984/-154/-12164,-321/-30/583,-1571/0/380,#
r,41144,846445,63/46/60/64,0/8/0/2,0/0/0/0,346/-414/-134,0/0,-1964/-48/-12178,-352/-25/624,-1571/0/380,#
r,41145,846465,63/46/60/64,0/10/0/2,0/0/0/0,346/-414/-134,0/0,-1940/40/-12218,-400/-8/655,-1571/0/380,#
r,41146,846486,63/46/60/64,0/5/0/2,0/0/0/0,346/-414/-134,0/0,-1960/188/-12378,-497/35/709,-1570/0/381,#
r,41147,846499,63/46/60/64,1/3/0/1,0/0/0/0,346/-414/-133,0/0,-1984/374/-12566,-609/89/762,-1570/0/381,#
r,41148,846519,63/46/60/64,13/0/0/2,0/0/0/0,346/-414/-133,0/0,-2010/572/-12676,-695/124/824,-1570/0/381,#
r,41149,846539,63/46/60/64,18/0/0/4,0/0/0/0,346/-414/-133,0/0,-2056/760/-12846,-780/166/883,-1570/0/381,#
r,41150,846565,63/46/60/64,42/-1/0/7,0/0/0/0,345/-415/-134,0/0,-2000/736/-13017,-830/198/863,-1570/0/382,#
r,41151,846584,63/46/60/64,62/-1/0/7,0/0/0/0,345/-415/-134,0/0,-1964/780/-13110,-869/225/873,-1570/0/382,#
r,41152,846604,63/46/60/64,48/-6/0/14,0/0/0/0,344/-416/-134,0/0,-1871/818/-13253,-920/256/862,-1571/0/384,#
r,41153,846625,63/46/60/64,80/-8/0/11,0/0/0/0,343/-417/-134,0/0,-1682/788/-13342,-950/285/807,-1571/-1/385,#
r,41154,846645,63/46/60/64,61/-5/0/27,0/0/0/0,343/-418/-134,0/0,-1540/786/-13266,-933/288/781,-1571/-2/387,#
r,41155,846665,64/46/60/64,69/-3/0/30,0/0/0/0,342/-419/-134,0/0,-1450/748/-13166,-904/285/758,-1571/-2/388,#
r,41156,846685,64/46/60/64,49/-2/0/17,0/0/0/0,340/-421/-134,0/0,-1396/720/-13158,-916/299/748,-1571/-3/390,#
r,41157,846705,64/46/60/64,78/-1/0/34,0/0/0/0,339/-422/-134,0/0,-1406/718/-13182,-952/320/757,-1571/-4/392,#
r,41158,846725,64/46/60/64,67/-1/0/24,0/0/0/0,338/-423/-134,0/0,-1496/762/-13232,-998/344/795,-1571/-4/394,#
r,41159,846745,64/46/60/64,87/-1/0/26,0/0/0/0,337/-425/-134,0/0,-1604/792/-13280,-1026/357/823,-1572/-5/396,#
r,41160,846765,64/46/60/64,118/-3/0/39,0/0/0/0,336/-426/-134,0/0,-1679/796/-13324,-1052/371/834,-1572/-6/399,#
r,41161,846785,65/46/60/64,71/-6/0/44,0/0/0/0,334/-428/-134,0/0,-1716/824/-13330,-1062/375/858,-1572/-7/401,#
r,41162,846805,65/46/60/64,97/-9/0/51,0/0/0/0,332/-430/-134,0/0,-1670/846/-13338,-1076/385/850,-1572/-8/404,#
r,41163,846825,65/46/60/65,106/-10/0/58,0/0/0/0,331/-432/-134,0/0,-1516/784/-13353,-1091/409/779,-1573/-9/407,#
r,41164,846845,65/46/60/65,87/-8/0/87,0/0/0/0,328/-434/-134,0/0,-1362/736/-13352,-1104/433/711,-1573/-10/410,#
