r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,88332,1829517,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-964/-340/-13867,-513/274/465,-1684/21/-17,#
r,88333,1829539,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-966/-364/-13828,-511/276/458,-1684/21/-17,#
r,88334,1829563,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-966/-378/-13794,-507/277/456,-1684/21/-17,#
r,88335,1829583,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-942/-404/-13770,-501/279/450,-1684/21/-17,#
r,88336,1829606,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-888/-440/-13716,-497/283/439,-1684/21/-17,#
r,88337,1829625,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-892/-464/-13682,-499/288/436,-1684/21/-17,#
r,88338,1829646,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-868/-490/-13644,-495/288/429,-1684/21/-17,#
r,88339,1829665,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-838/-506/-13584,-493/291/422,-1684/21/-17,#
r,88340,1829686,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-802/-488/-13532,-492/295/421,-1684/21/-17,#
r,88341,1829705,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-756/-480/-13466,-492/301/413,-1684/21/-17,#
r,88342,1829726,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-704/-480/-13386,-487/304/405,-1684/21/-17,#
r,88343,1829745,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-668/-466/-13336,-492/311/399,-1684/21/-17,#
r,88344,1829770,6/72/20/82,0/0/0/0,0/0/0/0,579/-19/-90,0/0,-600/-480/-13252,-485/313/386,-1684/21/-17,#
r,88345,1829791,6/72/20/82,-10/0/0/0,0/0/0/0,579/-18/-90,0/0,-584/-514/-13139,-470/308/388,-1684/21/-17,#
r,88346,1829810,6/72/20/82,-15/0/0/0,0/0/0/0,579/-18/-90,0/0,-538/-536/-13078,-475/316/379,-1684/21/-17,#
r,88347,1829830,6/72/20/82,-19/0/0/0,0/0/0/0,579/-18/-90,0/0,-510/-550/-13025,-481/322/371,-1684/21/-18,#
r,88348,1829850,6/72/20/82,-21/0/0/0,0/0/0/0,579/-17/-90,0/0,-496/-548/-12960,-477/321/371,-1684/21/-18,#
r,88349,1829871,6/72/20/82,-29/0/0/0,0/0/0/0,579/-17/-90,0/0,-490/-522/-12839,-465/315/381,-1684/21/-19,#
r,88350,1829890,6/72/20/82,-20/0/0/0,0/0/0/0,579/-16/-90,0/0,-442/-476/-12742,-465/318/381,-1684/21/-19,#
r,88351,1829910,6/72/20/82,-43/0/0/0,0/0/0/0,579/-15/-90,0/0,-428/-464/-12666,-464/320/385,-1684/21/-20,#
r,88352,1829930,6/72/20/82,-29/0/0/0,0/0/0/0,579/-14/-90,0/0,-416/-432/-12578,-462/318/393,-1684/21/-20,#
r,88353,1829951,6/72/20/82,-34/0/0/0,0/0/0/0,579/-14/-90,0/0,-398/-426/-12456,-462/318/402,-1684/21/-21,#
r,88354,1829978,6/72/20/82,-29/0/0/0,0/0/0/0,579/-13/-90,0/0,-336/-478/-12380,-457/321/384,-1684/22/-22,#
r,88355,1829997,6/72/20/82,-40/0/0/0,0/0/0/0,579/-12/-90,0/0,-314/-480/-12322,-458/325/378,-1684/22/-23,#
r,88356,1830018,6/72/20/82,-32/0/0/0,0/0/0/0,579/-11/-90,0/0,-334/-444/-12228,-452/319/392,-1684/22/-23,#
r,88357,1830037,5/72/20/82,-67/0/0/0,0/0/0/0,579/-10/-90,0/0,-298/-467/-12118,-439/314/382,-1684/22/-24,#
r,88358,1830057,5/72/20/82,-66/0/0/0,0/0/0/0,579/-8/-90,0/0,-278/-498/-12060,-437/315/367,-1684/22/-25,#
r,88359,1830077,5/72/20/82,-44/0/0/0,0/0/0/0,579/-7/-90,0/0,-326/-417/-12026,-443/315/391,-1684/22/-27,#
r,88360,1830097,5/72/20/82,-58/0/0/0,0/0/0/0,579/-6/-90,0/0,-322/-352/-11944,-443/312/406,-1684/23/-28,#
r,88361,1830117,5/72/20/82,-61/0/0/0,0/0/0/0,579/-4/-90,0/0,-310/-362/-11888,-444/314/395,-1684/23/-29,#
r,88362,1830137,5/72/20/82,-68/0/0/0,0/0/0/0,579/-2/-90,0/0,-320/-328/-11842,-446/312/405,-1684/23/-30,#
r,88363,1830158,5/72/20/82,-73/0/0/0,0/0/0/0,579/-1/-90,0/0,-352/-260/-11744,-439/304/423,-1685/24/-32,#
r,88364,1830177,5/72/20/82,-48/0/0/0,0/0/0/0,579/0/-90,0/0,-338/-266/-11648,-427/299/416,-1685/24/-33,#
r,88365,1830197,4/72/20/82,-71/0/0/0,0/0/0/0,579/2/-90,0/0,-296/-264/-11580,-424/299/402,-1685/24/-35,#
r,88366,1830218,4/72/20/82,-73/0/0/0,0/0/0/0,579/3/-90,0/0,-298/-209/-11502,-426/298/417,-1685/24/-36,#
r,88367,1830238,4/72/20/82,-56/0/0/0,0/0/0/0,579/5/-90,0/0,-268/-172/-11408,-424/297/425,-1685/25/-38,#
r,88368,1830263,4/72/20/82,-68/0/0/0,0/0/0/0,579/10/-90,0/0,-232/-156/-11338,-434/304/415,-1685/26/-41,#
r,88369,1830283,4/72/20/82,-86/0/0/0,0/0/0/0,579/12/-90,0/0,-274/-117/-11244,-425/296/430,-1685/26/-43,#
r,88370,1830303,3/72/20/82,-100/0/0/0,0/0/0/0,579/14/-90,0/0,-292/-54/-11142,-423/291/449,-1685/26/-45,#
r,88371,1830323,3/72/20/82,-112/1/0/0,0/0/0/0,579/16/-90,0/0,-284/-10/-11078,-429/293/458,-1685/27/-47,#
r,88372,1830344,3/72/20/82,-90/5/0/0,0/0/0/0,579/18/-90,0/0,-290/28/-11040,-438/293/465,-1685/27/-48,#
r,88373,1830363,3/72/20/82,-86/17/0/0,0/0/0/0,579/20/-89,0/0,-330/76/-11002,-442/291/481,-1685/28/-50,#
r,88374,1830384,3/72/20/82,-79/22/0/0,0/0/0/0,579/22/-89,0/0,-314/82/-10964,-447/293/484,-1685/28/-52,#
r,88375,1830403,2/72/20/82,-78/25/0/0,0/0/0/0,579/24/-88,0/0,-286/78/-10912,-453/295/477,-1685/29/-53,#
r,88376,1830423,2/72/20/82,-118/40/0/0,0/0/0/0,579/26/-88,0/0,-304/114/-10848,-455/291/485,-1686/30/-55,#
r,88377,1830443,2/72/20/82,-58/39/0/0,0/0/0/0,579/29/-87,0/0,-342/130/-10750,-442/278/498,-1686/31/-57,#
r,88378,1830463,2/72/20/82,-91/54/0/0,0/0/0/0,579/31/-85,0/0,-346/124/-10658,-428/268/497,-1686/33/-58,#
r,88379,1830483,2/72/20/82,-92/49/0/0,0/0/0/0,579/33/-84,0/0,-372/138/-10612,-429/268/511,-1686/34/-60,#
r,88380,1830504,2/72/20/82,-102/97/0/0,0/0/0/0,579/35/-82,0/0,-408/136/-10624,-433/269/515,-1686/36/-61,#
r,88381,1830523,1/72/20/82,-105/95/0/0,0/0/0/0,579/37/-80,0/0,-502/110/-10626,-442/269/538,-1686/38/-62,#
r,88382,1830543,1/73/20/82,-85/84/0/0,0/0/0/0,580/38/-78,0/0,-524/28/-10628,-433/266/533,-1686/40/-63,#
