r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,46478,957940,9/72/30/40,0/0/4/3,0/0/0/0,498/195/-48,0/0,-1444/-266/-13708,-634/290/475,-1689/192/-381,#
r,46479,957961,9/72/30/40,0/0/-2/-2,0/0/0/0,498/196/-48,0/0,-1428/-252/-13684,-619/281/465,-1689/192/-381,#
r,46480,957980,9/72/30/40,0/0/4/3,0/0/0/0,498/195/-48,0/0,-1408/-252/-13670,-618/279/448,-1689/192/-381,#
r,46481,958001,9/72/30/40,0/0/-4/-5,0/0/0/0,498/196/-48,0/0,-1472/-211/-13694,-623/276/465,-1689/192/-381,#
r,46482,958020,9/72/30/40,0/0/4/5,0/0/0/0,498/195/-48,0/0,-1522/-188/-13658,-617/266/495,-1689/192/-381,#
r,46483,958041,9/72/30/40,0/0/-3/-1,0/0/0/0,498/195/-48,0/0,-1520/-216/-13624,-604/260/492,-1689/192/-381,#
r,46484,958061,9/72/30/40,0/0/0/1,0/0/0/0,498/195/-48,0/0,-1470/-286/-13646,-598/263/464,-1689/192/-381,#
r,46485,958081,9/72/30/40,0/0/-4/-6,0/0/0/0,498/196/-48,0/0,-1438/-302/-13725,-605/269/454,-1689/192/-381,#
r,46486,958102,9/72/30/40,0/0/0/2,0/0/0/0,498/195/-48,0/0,-1446/-296/-13760,-609/267/468,-1689/192/-381,#
r,46487,958121,9/72/30/40,0/0/0/-2,0/0/0/0,498/196/-48,0/0,-1460/-248/-13775,-607/261/479,-1689/192/-381,#
r,46488,958141,9/72/30/40,0/0/5/3,0/0/0/0,498/195/-48,0/0,-1436/-218/-13748,-584/247/481,-1689/192/-381,#
r,46489,958161,9/72/30/40,0/0/-4/-2,0/0/0/0,498/196/-48,0/0,-1416/-188/-13688,-553/225/478,-1689/192/-381,#
r,46490,958182,9/72/30/40,0/0/4/4,0/0/0/0,498/195/-48,0/0,-1392/-172/-13610,-509/196/482,-1689/192/-381,#
r,46491,958201,9/72/30/40,0/0/-4/-4,0/0/0/0,498/196/-48,0/0,-1394/-102/-13588,-485/174/505,-1689/192/-381,#
r,46492,958221,9/72/30/40,0/0/3/6,0/0/0/0,498/195/-48,0/0,-1406/-54/-13653,-484/163/525,-1689/192/-381,#
r,46493,958241,9/72/30/40,0/0/-2/-2,0/0/0/0,498/195/-48,0/0,-1382/-24/-13722,-473/147/533,-1689/192/-381,#
r,46494,958261,9/72/30/40,0/0/3/2,0/0/0/0,498/195/-48,0/0,-1394/-32/-13722,-456/128/560,-1689/192/-381,#
r,46495,958281,9/72/30/40,0/0/-1/-1,0/0/0/0,498/195/-48,0/0,-1420/10/-13678,-452/116/597,-1689/192/-381,#
r,46496,958302,9/72/30/40,0/0/2/2,0/0/0/0,498/195/-48,0/0,-1438/12/-13666,-442/104/612,-1689/192/-381,#
r,46497,958322,9/72/30/40,0/0/-1/-1,0/0/0/0,498/195/-48,0/0,-1468/8/-13675,-427/88/609,-1689/192/-381,#
r,46498,958341,9/72/30/40,0/0/1/2,0/0/0/0,498/195/-48,0/0,-1504/92/-13767,-434/79/630,-1689/192/-381,#
r,46499,958362,9/72/30/40,0/0/-1/-1,0/0/0/0,498/195/-48,0/0,-1566/298/-13920,-473/79/694,-1689/192/-381,#
r,46500,958381,9/72/30/40,1/0/0/2,0/0/0/0,498/195/-48,0/0,-1645/480/-14014,-508/85/744,-1689/192/-381,#
r,46501,958402,9/72/30/40,2/0/-2/0,0/0/0/0,498/195/-48,0/0,-1692/504/-14006,-489/69/754,-1689/192/-381,#
r,46502,958421,9/72/30/40,12/0/0/4,0/0/0/0,498/195/-48,0/0,-1728/471/-13996,-442/39/752,-1689/192/-381,#
r,46503,958441,9/72/30/40,16/0/0/4,0/0/0/0,498/195/-48,0/0,-1760/532/-14014,-405/8/771,-1689/192/-380,#
