r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,62414,1287026,9/124/20/77,0/0/0/14,0/0/0/0,418/5/474,0/0,-2764/-2780/-13170,-271/46/460,-1486/514/175,#
r,62415,1287046,9/124/20/77,0/0/0/13,0/0/0/0,418/4/474,0/0,-2752/-2702/-13136,-280/46/459,-1486/514/175,#
r,62416,1287066,9/124/20/77,0/0/0/23,0/0/0/0,418/4/474,0/0,-2774/-2658/-13130,-282/43/475,-1486/514/175,#
r,62417,1287086,9/124/20/77,0/0/0/13,0/0/0/0,418/4/474,0/0,-2780/-2574/-13139,-294/47/491,-1486/514/176,#
r,62418,1287106,9/124/20/77,0/0/0/13,0/0/0/0,418/4/474,0/0,-2798/-2512/-13174,-282/51/510,-1486/514/176,#
r,62419,1287127,9/124/20/77,0/0/0/11,0/0/0/0,418/4/474,0/0,-2816/-2498/-13189,-308/49/512,-1486/513/176,#
r,62420,1287147,9/124/20/77,0/0/0/10,0/0/0/0,418/3/474,0/0,-2848/-2494/-13180,-307/45/514,-1486/513/176,#
r,62421,1287166,9/124/20/77,1/0/0/13,0/0/0/0,418/3/474,0/0,-2874/-2480/-13167,-304/41/520,-1486/513/177,#
r,62422,1287186,9/124/20/77,3/0/0/13,0/0/0/0,418/3/474,0/0,-2878/-2452/-13139,-300/37/521,-1486/513/177,#
r,62423,1287207,9/124/20/77,3/0/0/11,0/0/0/0,418/3/474,0/0,-2874/-2434/-13136,-298/32/523,-1486/513/177,#
r,62424,1287226,9/124/20/77,5/0/0/7,0/0/0/0,418/3/474,0/0,-2866/-2406/-13138,-304/33/528,-1486/513/178,#
r,62425,1287246,9/124/20/77,7/0/0/13,0/0/0/0,418/2/474,0/0,-2890/-2348/-13132,-314/27/536,-1486/513/178,#
r,62426,1287267,9/124/20/77,5/0/0/9,0/0/0/0,418/2/474,0/0,-2906/-2324/-13110,-316/33/546,-1486/513/178,#
r,62427,1287292,9/124/20/77,5/0/0/11,0/0/0/0,418/2/474,0/0,-2918/-2292/-13098,-324/36/555,-1486/513/179,#
r,62428,1287311,10/124/20/77,11/0/0/14,0/0/0/0,418/1/474,0/0,-2928/-2256/-13080,-332/36/556,-1486/513/179,#
r,62429,1287331,10/124/20/77,10/0/0/20,0/0/0/0,418/1/475,0/0,-2926/-2188/-13058,-341/38/562,-1485/512/180,#
r,62430,1287352,10/124/20/77,14/0/0/21,0/0/0/0,418/0/475,0/0,-2928/-2156/-13034,-346/37/571,-1485/512/181,#
r,62431,1287372,10/124/20/77,19/0/0/18,0/0/0/0,418/0/475,0/0,-2930/-2144/-13022,-352/38/572,-1485/512/182,#
r,62432,1287391,10/124/20/77,23/0/0/22,0/0/0/0,418/0/475,0/0,-2944/-2146/-13032,-367/44/579,-1484/511/183,#
r,62433,1287412,10/124/20/78,43/0/0/27,0/0/0/0,418/-1/475,0/0,-2944/-2124/-13036,-388/54/592,-1484/511/184,#
r,62434,1287432,10/124/20/78,33/0/0/17,0/0/0/0,418/-1/475,0/0,-2954/-2058/-13034,-392/53/609,-1483/511/185,#
r,62435,1287452,10/124/20/78,52/0/0/21,0/0/0/0,418/-2/475,0/0,-2940/-2024/-13002,-387/49/619,-1482/510/187,#
r,62436,1287471,10/124/20/78,32/0/0/38,0/0/0/0,418/-4/475,0/0,-2940/-2004/-13008,-386/46/625,-1481/510/189,#
r,62437,1287492,10/124/20/78,68/0/0/24,0/0/0/0,418/-5/475,0/0,-2920/-2018/-13016,-389/49/625,-1481/509/190,#
r,62438,1287512,10/124/20/78,41/0/0/37,0/0/0/0,418/-6/475,0/0,-2884/-2062/-12996,-381/49/614,-1480/508/193,#
r,62439,1287531,10/124/20/78,46/0/0/34,0/0/0/0,418/-7/475,0/0,-2870/-2110/-12982,-378/51/608,-1478/508/195,#
r,62440,1287552,10/124/20/78,75/0/0/27,0/0/0/0,418/-9/475,0/0,-2846/-2130/-13002,-382/56/605,-1477/507/197,#
r,62441,1287572,10/124/20/78,60/0/0/32,0/0/0/0,417/-11/475,0/0,-2838/-2138/-12994,-382/60/605,-1476/506/200,#
r,62442,1287592,11/124/20/78,95/0/0/32,0/0/0/0,417/-12/475,0/0,-2848/-2150/-12980,-377/60/607,-1475/505/202,#
r,62443,1287612,11/124/20/78,68/0/0/40,0/0/0/0,417/-14/476,0/0,-2832/-2166/-12962,-378/64/603,-1473/504/205,#
r,62444,1287631,11/124/20/78,98/0/0/33,0/0/0/0,417/-16/476,0/0,-2822/-2188/-12960,-358/69/600,-1472/503/208,#
r,62445,1287652,11/124/20/78,84/0/0/40,0/0/0/0,417/-18/476,0/0,-2810/-2202/-12944,-385/73/595,-1470/502/211,#
r,62446,1287672,11/124/20/79,61/0/0/46,0/0/0/0,417/-20/476,0/0,-2806/-2232/-12922,-385/76/592,-1469/501/214,#
r,62447,1287693,11/124/20/79,89/0/0/47,0/0/0/0,417/-22/476,0/0,-2804/-2232/-12916,-387/79/590,-1467/500/217,#
r,62448,1287712,12/124/20/79,106/0/0/45,0/0/0/0,417/-25/476,0/0,-2798/-2226/-12912,-393/84/593,-1465/498/221,#
r,62449,1287733,12/124/20/79,86/0/0/55,0/0/0/0,417/-27/476,0/0,-2802/-2232/-12939,-406/91/594,-1464/497/224,#
r,62450,1287752,12/124/20/79,83/0/0/46,0/0/0/0,416/-29/476,0/0,-2798/-2260/-12970,-417/98/591,-1462/496/228,#
r,62451,1287772,12/124/20/79,115/0/0/56,0/0/0/0,416/-32/476,0/0,-2774/-2288/-12972,-418/102/581,-1460/495/231,#
r,62452,1287793,12/124/20/79,118/0/0/88,0/0/0/0,416/-34/477,0/0,-2750/-2310/-12978,-417/105/574,-1458/493/235,#
r,62453,1287814,13/124/20/79,112/0/0/80,0/0/0/0,416/-37/477,0/0,-2758/-2290/-12988,-423/109/581,-1456/492/239,#
r,62454,1287834,13/124/20/80,77/0/0/78,0/0/0/0,416/-40/477,0/0,-2778/-2288/-12992,-429/112/589,-1454/490/243,#
r,62455,1287853,13/124/20/80,87/0/0/70,0/0/0/0,415/-42/477,0/0,-2806/-2290/-13010,-437/116/591,-1453/489/247,#
r,62456,1287874,13/124/20/80,99/0/0/57,0/0/0/0,415/-45/477,0/0,-2818/-2274/-13010,-445/121/597,-1451/487/251,#
r,62457,1287893,14/124/20/80,143/0/0/95,0/0/0/0,415/-48/477,0/0,-2824/-2272/-12994,-444/122/600,-1449/486/256,#
r,62458,1287913,14/124/20/80,115/0/0/57,0/0/0/0,414/-51/477,0/0,-2804/-2290/-12972,-445/124/590,-1447/484/260,#
r,62459,1287939,14/124/20/80,118/0/0/115,0/0/0/0,414/-55/478,0/0,-2756/-2352/-12953,-451/133/564,-1445/482/265,#
r,62460,1287959,14/124/20/81,145/0/0/108,0/0/0/0,414/-58/478,0/0,-2728/-2410/-12956,-463/147/548,-1443/480/270,#
r,62461,1287979,15/124/20/81,127/0/0/122,0/0/0/0,414/-61/478,0/0,-2738/-2448/-12938,-478/161/548,-1441/479/274,#
r,62462,1287999,15/124/20/81,143/0/0/100,0/0/0/0,414/-65/478,0/0,-2772/-2480/-12924,-488/170/549,-1439/477/279,#
