r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,40477,836070,26/41/24/87,0/0/-1/88,0/0/0/0,436/-222/-390,0/0,-1306/776/-14548,-666/298/308,-1795/-259/204,# hw
r,40478,836090,26/41/24/87,0/0/1/54,0/0/0/0,436/-223/-390,0/0,-1306/800/-14558,-708/305/312,-1795/-260/205,# hw
r,40479,836110,26/41/24/87,0/0/1/51,0/0/0/0,436/-223/-390,0/0,-1302/818/-14522,-704/300/318,-1795/-260/206,# hw
r,40480,836131,26/41/24/88,0/0/2/36,0/0/0/0,436/-224/-390,0/0,-1306/866/-14528,-725/307/333,-1795/-260/208,# hw
r,40481,836150,26/41/24/88,0/0/2/38,0/0/0/0,436/-225/-390,0/0,-1290/876/-14508,-725/306/337,-1795/-260/208,# hw
r,40482,836171,26/41/24/88,0/0/0/46,0/0/0/0,436/-225/-390,0/0,-1290/896/-14514,-745/315/350,-1795/-260/209,# hw
r,40483,836195,26/41/24/88,0/0/0/42,0/0/0/0,436/-226/-390,0/0,-1262/928/-14482,-742/312/361,-1795/-260/210,# hw
r,40484,836211,26/41/24/88,0/0/-1/23,0/0/0/0,435/-226/-390,0/0,-1244/947/-14480,-747/312/370,-1795/-261/211,# hw
r,40485,836231,26/41/24/88,0/0/0/29,0/0/0/0,435/-226/-390,0/0,-1234/954/-14482,-744/311/373,-1795/-261/211,# hw
r,40486,836251,26/41/24/88,0/0/-2/16,0/0/0/0,435/-226/-390,0/0,-1232/989/-14492,-753/314/389,-1795/-261/211,# hw
r,40487,836271,26/41/24/88,0/0/0/16,0/0/0/0,435/-227/-390,0/0,-1220/980/-14502,-759/318/388,-1795/-261/212,# hw
r,40488,836291,26/41/24/88,0/0/-1/5,0/0/0/0,435/-227/-390,0/0,-1204/970/-14498,-763/322/391,-1795/-261/212,# hw
r,40489,836310,26/41/24/88,0/0/0/3,0/0/0/0,435/-227/-390,0/0,-1198/982/-14525,-793/325/395,-1795/-261/212,# hw
r,40490,836338,26/41/24/88,0/0/2/0,0/0/0/0,435/-227/-390,0/0,-1178/939/-14538,-766/327/390,-1795/-261/212,# hw
r,40491,836358,26/41/24/88,0/0/-1/-1,0/0/0/0,435/-227/-390,0/0,-1158/892/-14510,-746/319/383,-1795/-261/212,# hw
r,40492,836379,26/41/24/88,0/0/0/-10,0/0/0/0,435/-227/-390,0/0,-1176/880/-14503,-755/322/391,-1795/-261/212,# hw
r,40493,836398,26/41/24/88,0/0/-1/-10,0/0/0/0,435/-227/-390,0/0,-1160/838/-14488,-739/315/380,-1795/-261/212,# hw
r,40494,836418,26/41/24/88,0/0/0/-17,0/0/0/0,435/-226/-390,0/0,-1158/810/-14514,-754/324/378,-1795/-261/211,# hw
r,40495,836438,26/41/24/88,0/0/0/-16,0/0/0/0,435/-226/-390,0/0,-1156/832/-14512,-745/319/382,-1795/-261/211,# hw
r,40496,836458,26/41/24/88,0/0/0/-15,0/0/0/0,435/-226/-390,0/0,-1196/870/-14506,-750/317/407,-1795/-261/211,# hw
r,40497,836478,26/41/24/88,0/0/0/-14,0/0/0/0,435/-226/-390,0/0,-1196/902/-14500,-740/310/392,-1795/-261/211,# hw
r,40498,836498,26/41/24/88,0/0/0/-12,0/0/0/0,435/-226/-390,0/0,-1204/914/-14512,-732/303/380,-1795/-261/210,# hw
r,40499,836518,26/41/24/88,0/0/2/-9,0/0/0/0,435/-226/-390,0/0,-1230/968/-14488,-709/285/379,-1795/-261/210,# hw
r,40500,836538,26/41/24/88,0/0/3/-18,0/0/0/0,436/-225/-390,0/0,-1274/984/-14460,-700/277/369,-1795/-260/210,# hw
r,40501,836558,26/41/24/88,0/0/3/-16,0/0/0/0,436/-225/-390,0/0,-1310/943/-14412,-669/258/346,-1795/-260/209,# hw
r,40502,836578,26/41/24/88,0/0/5/-23,0/0/0/0,436/-225/-390,0/0,-1346/947/-14372,-650/245/339,-1795/-260/209,# hw
r,40503,836598,26/41/24/88,0/0/4/-19,0/0/0/0,436/-225/-390,0/0,-1400/918/-14298,-615/224/322,-1795/-260/209,# hw
r,40504,836618,26/41/24/88,0/0/4/-14,0/0/0/0,436/-225/-390,0/0,-1430/870/-14192,-585/211/307,-1795/-260/208,# hw
r,40505,836638,26/41/24/88,0/0/10/-15,0/0/0/0,436/-224/-390,0/0,-1466/824/-14044,-554/196/301,-1795/-260/208,# hw
r,40506,836658,26/41/25/88,0/0/8/-24,0/0/0/0,436/-224/-390,0/0,-1494/774/-13880,-523/181/296,-1795/-259/207,# hw
r,40507,836679,26/41/25/88,0/0/5/-25,0/0/0/0,436/-224/-390,0/0,-1484/668/-13736,-497/174/263,-1795/-259/207,# hw
r,40508,836698,26/41/25/87,0/0/8/-45,0/0/0/0,436/-223/-390,0/0,-1508/566/-13662,-479/169/257,-1795/-259/206,# hw
r,40509,836718,26/41/25/87,0/0/15/-33,0/0/0/0,436/-223/-389,0/0,-1556/476/-13592,-462/161/246,-1794/-258/206,# hw
r,40510,836741,26/41/25/87,0/0/7/-53,0/0/0/0,436/-223/-389,0/0,-1650/286/-13450,-419/140/220,-1794/-258/205,# hw
r,40511,836760,26/41/25/87,0/0/15/-49,0/0/0/0,437/-222/-389,0/0,-1694/218/-13400,-403/134/201,-1794/-258/204,# hw
r,40512,836781,26/41/25/87,0/0/7/-39,0/0/0/0,437/-222/-389,0/0,-1745/194/-13303,-381/122/195,-1794/-257/203,# hw
r,40513,836801,26/41/25/87,0/0/12/-51,0/0/0/0,437/-221/-389,0/0,-1778/168/-13232,-359/111/182,-1794/-257/202,# hw
r,40514,836820,26/41/25/87,0/1/12/-81,0/0/0/0,438/-220/-388,0/0,-1800/156/-13192,-356/110/179,-1793/-256/200,# hw
r,40515,836841,26/41/25/87,0/8/11/-90,0/0/0/0,438/-219/-388,0/0,-1795/150/-13172,-357/112/173,-1793/-256/199,# hw
r,40516,836861,26/42/25/87,0/7/23/-79,0/0/0/0,439/-218/-388,0/0,-1808/108/-13138,-358/115/172,-1793/-255/197,# hw
r,40517,836882,26/42/25/86,0/10/23/-117,0/0/0/0,439/-218/-387,0/0,-1818/72/-13096,-350/112/165,-1792/-254/195,# hw
r,40518,836901,26/42/25/86,0/7/22/-65,0/0/0/0,440/-217/-387,0/0,-1816/42/-13028,-336/102/162,-1792/-253/194,# hw
r,40519,836921,26/42/25/86,0/10/17/-95,0/0/0/0,441/-215/-387,0/0,-1806/48/-12917,-308/84/164,-1792/-252/191,# hw
r,40520,836941,26/42/25/86,0/13/15/-77,0/0/0/0,441/-214/-386,0/0,-1798/62/-12800,-284/70/164,-1791/-251/189,# hw
r,40521,836961,26/42/25/86,0/19/17/-112,0/0/0/0,442/-213/-385,0/0,-1798/58/-12684,-262/59/162,-1791/-250/187,# hw
r,40522,836980,26/42/25/85,0/32/31/-112,0/0/0/0,442/-212/-385,0/0,-1828/0/-12638,-250/53/158,-1790/-249/184,# hw
r,40523,837000,26/42/25/85,0/27/37/-134,0/0/0/0,443/-210/-384,0/0,-1856/-44/-12598,-241/47/165,-1790/-248/182,# hw
r,40524,837021,26/42/25/85,0/26/25/-158,0/0/0/0,444/-209/-383,0/0,-1852/-54/-12596,-250/51/174,-1789/-246/179,# hw
r,40525,837040,26/42/25/84,0/25/35/-160,0/0/0/0,446/-207/-382,0/0,-1834/-102/-12564,-237/45/172,-1788/-244/176,# hw
r,40526,837061,26/42/25/84,0/27/27/-155,0/0/0/0,447/-206/-381,0/0,-1836/-152/-12498,-218/34/183,-1787/-243/173,# hw
r,40527,837081,26/42/25/84,0/36/29/-156,0/0/0/0,447/-204/-379,0/0,-1840/-104/-12404,-205/25/210,-1787/-241/170,# hw
r,40528,837101,26/42/25/83,0/39/26/-194,0/0/0/0,449/-202/-378,0/0,-1814/-110/-12344,-191/20/215,-1786/-239/166,# hw
r,40529,837121,26/42/25/83,0/45/46/-165,0/0/0/0,450/-200/-377,0/0,-1818/-126/-12316,-192/23/220,-1785/-236/163,# hw
r,40530,837141,26/42/26/83,0/50/56/-183,0/0/0/0,452/-199/-375,0/0,-1774/-86/-12324,-217/35/239,-1784/-234/159,# hw
r,40531,837161,26/42/26/82,0/77/58/-219,0/0/0/0,453/-197/-373,0/0,-1744/-80/-12334,-205/43/248,-1782/-231/155,# hw
r,40532,837181,26/43/26/82,0/73/59/-179,0/0/0/0,454/-195/-371,0/0,-1720/-114/-12336,-242/50/259,-1781/-228/151,# hw
r,40533,837201,26/43/26/82,0/68/39/-214,0/0/0/0,456/-193/-369,0/0,-1698/-130/-12352,-244/54/274,-1780/-225/147,# hw
r,40534,837221,26/43/26/81,0/93/49/-194,0/0/0/0,458/-191/-366,0/0,-1645/-150/-12304,-236/51/286,-1779/-222/143,# hw
r,40535,837240,26/43/26/81,0/93/75/-245,0/0/0/0,459/-188/-364,0/0,-1637/-190/-12298,-230/50/310,-1777/-218/139,# hw
r,40536,837261,26/43/26/80,0/99/46/-216,0/0/0/0,461/-186/-361,0/0,-1608/-264/-12298,-225/50/315,-1776/-215/134,# hw
r,40537,837281,26/43/26/80,0/91/94/-208,0/0/0/0,463/-184/-358,0/0,-1610/-354/-12370,-238/61/313,-1774/-211/130,# hw
r,40538,837300,26/44/27/79,0/115/66/-275,0/0/0/0,465/-182/-355,0/0,-1556/-412/-12478,-258/76/318,-1772/-207/125,# hw
r,40539,837320,26/44/27/79,0/85/80/-229,0/0/0/0,467/-180/-352,0/0,-1570/-498/-12546,-265/83/317,-1771/-203/121,# hw
r,40540,837341,26/44/27/78,0/93/55/-238,0/0/0/0,469/-177/-349,0/0,-1536/-564/-12548,-255/79/317,-1769/-199/116,# hw
r,40541,837361,26/44/27/78,0/106/83/-245,0/0/0/0,470/-175/-346,0/0,-1494/-558/-12534,-248/77/323,-1767/-195/111,# hw
r,40542,837382,26/44/27/77,0/81/79/-249,0/0/0/0,473/-172/-343,0/0,-1440/-524/-12478,-235/70/332,-1766/-190/106,# hw
r,40543,837402,26/45/27/77,0/102/90/-257,0/0/0/0,474/-169/-340,0/0,-1424/-548/-12486,-233/71/336,-1764/-186/101,# hw
r,40544,837421,26/45/27/76,0/129/88/-264,0/0/0/0,476/-167/-336,0/0,-1370/-554/-12466,-242/78/339,-1762/-182/96,# hw
r,40545,837442,26/45/28/76,0/142/105/-284,0/0/0/0,478/-164/-333,0/0,-1348/-592/-12538,-264/91/338,-1760/-177/91,# hw
r,40546,837462,26/45/28/75,0/124/112/-269,0/0/0/0,480/-161/-329,0/0,-1330/-634/-12616,-287/102/344,-1758/-172/86,# hw
r,40547,837481,26/46/28/75,0/111/107/-295,0/0/0/0,482/-159/-325,0/0,-1310/-638/-12646,-300/108/360,-1757/-167/80,# hw
r,40548,837502,26/46/28/74,0/125/83/-269,0/0/0/0,484/-156/-322,0/0,-1292/-652/-12606,-292/108/364,-1755/-163/75,# hw
r,40549,837522,26/46/28/73,0/141/99/-297,0/0/0/0,485/-153/-318,0/0,-1254/-654/-12488,-269/97/369,-1753/-158/70,# hw
r,40550,837542,26/46/29/73,0/142/110/-306,0/0/0/0,487/-150/-314,0/0,-1242/-636/-12374,-238/77/383,-1751/-152/64,# hw
r,40551,837562,26/46/29/72,0/155/135/-276,0/0/0/0,489/-147/-310,0/0,-1222/-610/-12330,-231/72/399,-1749/-147/59,# hw
r,40552,837582,26/47/29/72,0/100/132/-303,0/0/0/0,491/-144/-306,0/0,-1194/-658/-12364,-243/79/396,-1747/-142/53,# hw
r,40553,837602,26/47/29/71,0/144/116/-313,0/0/0/0,493/-140/-301,0/0,-1188/-730/-12466,-266/94/395,-1744/-136/48,# hw
r,40554,837621,26/47/29/70,0/114/114/-304,0/0/0/0,495/-137/-297,0/0,-1204/-790/-12592,-287/104/405,-1742/-130/42,# hw
r,40555,837642,26/48/30/70,0/141/103/-313,0/0/0/0,496/-134/-293,0/0,-1190/-814/-12638,-290/104/410,-1740/-125/36,# hw
r,40556,837662,26/48/30/69,0/127/84/-327,0/0/0/0,498/-131/-288,0/0,-1160/-818/-12564,-267/92/412,-1738/-119/31,# hw
r,40557,837682,26/48/30/69,0/136/121/-309,0/0/0/0,499/-127/-284,0/0,-1140/-774/-12482,-246/79/428,-1736/-113/25,# hw
r,40558,837702,26/48/30/68,0/150/143/-316,0/0/0/0,501/-124/-279,0/0,-1104/-718/-12388,-218/60/441,-1734/-107/19,# hw
r,40559,837722,26/49/31/67,0/135/128/-313,0/0/0/0,502/-121/-275,0/0,-1080/-718/-12354,-217/57/452,-1731/-101/14,# hw
r,40560,837741,26/49/31/67,0/149/100/-320,0/0/0/0,504/-117/-270,0/0,-1070/-744/-12454,-246/76/451,-1729/-95/8,# hw
r,40561,837761,26/49/31/66,0/150/153/-329,0/0/0/0,505/-114/-265,0/0,-1070/-824/-12560,-283/97/438,-1727/-88/2,# hw
r,40562,837781,26/50/31/65,0/146/149/-321,0/0/0/0,507/-110/-260,0/0,-1054/-926/-12594,-283/97/427,-1724/-82/-3,# hw
r,40563,837802,26/50/32/65,0/169/132/-336,0/0/0/0,507/-107/-255,0/0,-1050/-918/-12538,-270/90/436,-1722/-76/-8,# hw
r,40564,837822,26/50/32/64,0/135/158/-340,0/0/0/0,509/-103/-251,0/0,-1042/-852/-12428,-249/74/451,-1720/-69/-14,# hw
