r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,48222,994963,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1416/-238/-13632,-427/167/598,-1751/23/-622,# hw
r,48223,994984,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1456/-248/-13539,-411/156/598,-1751/23/-622,# hw
r,48224,995005,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1470/-248/-13494,-401/148/600,-1751/23/-622,# hw
r,48225,995029,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1480/-248/-13472,-394/142/604,-1751/23/-622,# hw
r,48226,995055,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1492/-262/-13444,-387/138/603,-1751/23/-622,# hw
r,48227,995075,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1498/-266/-13420,-385/135/603,-1751/23/-622,# hw
r,48228,995096,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1514/-270/-13402,-381/131/604,-1751/23/-622,# hw
r,48229,995115,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1544/-284/-13348,-377/127/606,-1751/23/-622,# hw
r,48230,995135,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1552/-314/-13300,-362/120/608,-1751/23/-622,# hw
r,48231,995157,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1578/-332/-13225,-349/110/608,-1751/23/-622,# hw
r,48232,995183,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1604/-338/-13166,-337/101/615,-1751/23/-622,# hw
r,48233,995203,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1640/-356/-13112,-323/93/624,-1751/23/-622,# hw
r,48234,995222,3/54/28/25,0/0/0/0,0/0/0/0,376/312/-207,0/0,-1660/-386/-13042,-316/87/625,-1751/23/-622,# hw
