r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,67018,1381802,42/59/33/63,-294/0/0/-261,0/0/0/0,486/-279/-149,0/0,-724/232/-14770,-566/237/639,-1673/-11/149,# sy
r,67019,1381822,42/59/33/62,-304/0/1/-247,0/0/0/0,489/-270/-149,0/0,-774/288/-14732,-563/230/671,-1673/-9/138,# sy
r,67020,1381841,41/59/33/62,-304/0/1/-237,0/0/0/0,492/-261/-149,0/0,-710/380/-14800,-559/228/658,-1673/-6/127,# sy
r,67021,1381862,40/59/33/61,-270/0/5/-278,0/0/0/0,495/-252/-149,0/0,-706/428/-14836,-570/230/663,-1672/-4/117,# sy
r,67022,1381882,40/59/33/61,-302/0/5/-276,0/0/0/0,497/-243/-149,0/0,-758/524/-14736,-534/204/699,-1672/-2/107,# sy
r,67023,1381901,39/59/33/60,-280/0/0/-241,0/0/0/0,500/-235/-149,0/0,-716/550/-14732,-529/203/685,-1672/0/96,# sy
r,67024,1381923,39/59/33/60,-266/0/0/-260,0/0/0/0,502/-226/-149,0/0,-700/550/-14736,-546/215/682,-1672/2/86,# sy
r,67025,1381941,38/59/33/59,-283/0/0/-270,0/0/0/0,504/-217/-149,0/0,-688/584/-14675,-533/208/692,-1672/4/76,# sy
r,67026,1381961,38/59/33/59,-287/0/-1/-215,0/0/0/0,507/-209/-150,0/0,-716/568/-14664,-515/192/702,-1672/6/66,# sy
r,67027,1381982,37/59/33/58,-257/0/0/-225,0/0/0/0,508/-201/-150,0/0,-670/512/-14722,-544/216/674,-1672/8/57,# sy
r,67028,1382001,37/59/33/58,-248/0/-2/-269,0/0/0/0,510/-192/-150,0/0,-636/502/-14724,-558/231/663,-1672/10/47,# sy
r,67029,1382021,36/59/33/57,-275/0/0/-261,0/0/0/0,512/-184/-150,0/0,-704/524/-14622,-540/216/702,-1672/12/37,# sy
r,67030,1382042,36/59/33/57,-257/0/0/-240,0/0/0/0,513/-176/-150,0/0,-642/526/-14616,-539/218/680,-1672/14/28,# sy
r,67031,1382062,35/59/33/56,-243/0/2/-257,0/0/0/0,514/-168/-150,0/0,-596/516/-14680,-569/240/669,-1672/16/19,# sy
r,67032,1382082,35/59/33/56,-267/0/0/-260,0/0/0/0,515/-160/-150,0/0,-542/652/-14570,-555/233/700,-1672/18/9,# sy
r,67033,1382101,34/59/33/55,-213/0/0/-220,0/0/0/0,517/-152/-150,0/0,-592/668/-14420,-538/218/724,-1672/20/0,# sy
r,67034,1382122,34/59/33/55,-200/0/-1/-259,0/0/0/0,518/-144/-150,0/0,-496/620/-14470,-555/238/671,-1672/22/-8,# sy
r,67035,1382142,33/59/33/55,-229/0/-2/-253,0/0/0/0,518/-136/-150,0/0,-419/618/-14548,-576/254/666,-1672/24/-17,# sy
r,67036,1382166,33/59/33/54,-230/0/-2/-231,0/0/0/0,519/-128/-150,0/0,-522/782/-14438,-561/236/726,-1673/26/-26,# sy
r,67037,1382195,32/59/33/54,-195/0/0/-200,0/0/0/0,520/-121/-150,0/0,-442/782/-14446,-573/241/699,-1673/27/-35,# sy
r,67038,1382216,32/59/33/53,-245/0/0/-213,0/0/0/0,520/-113/-150,0/0,-338/738/-14536,-600/266/657,-1673/29/-44,# sy
r,67039,1382234,31/59/33/53,-231/0/0/-220,0/0/0/0,521/-105/-151,0/0,-332/838/-14500,-586/252/697,-1674/31/-52,# sy
r,67040,1382255,31/59/33/52,-231/0/1/-192,0/0/0/0,522/-98/-151,0/0,-428/997/-14374,-552/216/780,-1674/33/-61,# sy
r,67041,1382275,31/59/33/52,-212/0/0/-182,0/0/0/0,522/-91/-151,0/0,-390/985/-14374,-563/228/741,-1674/35/-69,# sy
r,67042,1382296,30/59/33/52,-241/0/2/-189,0/0/0/0,522/-84/-151,0/0,-272/920/-14475,-602/263/684,-1675/37/-77,# sy
r,67043,1382315,30/59/33/51,-221/0/0/-176,0/0/0/0,522/-76/-151,0/0,-268/1002/-14502,-601/260/712,-1675/38/-85,# sy
r,67044,1382335,29/59/33/51,-240/0/1/-212,0/0/0/0,523/-69/-151,0/0,-406/1128/-14416,-577/229/791,-1675/40/-94,# sy
r,67045,1382355,29/59/33/50,-206/0/0/-216,0/0/0/0,523/-62/-151,0/0,-440/1046/-14486,-594/241/749,-1676/42/-102,# sy
r,67046,1382375,28/59/33/50,-196/0/0/-216,0/0/0/0,523/-56/-151,0/0,-320/889/-14632,-630/279/671,-1676/43/-109,# sy
r,67047,1382395,28/59/33/50,-172/0/-2/-178,0/0/0/0,522/-49/-151,0/0,-352/924/-14646,-637/284/689,-1677/45/-117,# sy
r,67048,1382415,28/59/33/49,-187/0/0/-168,0/0/0/0,522/-42/-151,0/0,-498/1036/-14542,-602/248/781,-1677/47/-125,# sy
r,67049,1382435,27/59/33/49,-207/0/-1/-152,0/0/0/0,522/-36/-151,0/0,-516/1022/-14525,-595/241/769,-1678/48/-132,# sy
r,67050,1382455,27/59/33/48,-209/0/-1/-166,0/0/0/0,522/-29/-151,0/0,-426/828/-14617,-626/276/665,-1678/49/-139,# sy
r,67051,1382475,26/59/33/48,-180/0/0/-140,0/0/0/0,521/-23/-151,0/0,-408/790/-14656,-646/293/645,-1679/51/-147,# sy
r,67052,1382494,26/59/33/48,-200/0/0/-187,0/0/0/0,521/-17/-151,0/0,-534/922/-14558,-638/260/731,-1679/52/-154,# sy
r,67053,1382515,26/59/33/47,-194/0/0/-171,0/0/0/0,520/-11/-151,0/0,-646/970/-14517,-607/245/775,-1680/54/-161,# sy
r,67054,1382535,25/59/33/47,-204/0/0/-140,0/0/0/0,520/-5/-151,0/0,-530/862/-14622,-637/279/683,-1680/55/-168,# sy
r,67055,1382554,25/59/33/47,-171/0/1/-143,0/0/0/0,519/0/-152,0/0,-448/784/-14720,-674/311/628,-1681/57/-175,# sy
r,67056,1382575,25/59/33/47,-181/0/0/-124,0/0/0/0,518/6/-152,0/0,-534/897/-14639,-645/283/689,-1681/58/-181,# sy
r,67057,1382595,24/59/33/46,-171/0/0/-166,0/0/0/0,518/12/-152,0/0,-676/1060/-14522,-615/247/775,-1682/59/-188,# sy
r,67058,1382615,24/59/33/46,-194/0/-2/-125,0/0/0/0,518/17/-152,0/0,-638/1086/-14546,-627/254/756,-1683/61/-195,# sy
r,67059,1382635,23/59/33/46,-156/0/0/-156,0/0/0/0,517/22/-152,0/0,-478/980/-14648,-663/295/674,-1683/62/-201,# sy
r,67060,1382655,23/59/33/45,-158/0/0/-133,0/0/0/0,516/28/-152,0/0,-440/960/-14672,-690/300/674,-1684/63/-207,# sy
r,67061,1382675,23/59/33/45,-159/0/0/-150,0/0/0/0,515/33/-152,0/0,-528/1088/-14582,-629/263/740,-1684/64/-213,# sy
r,67062,1382695,22/59/33/45,-178/0/0/-101,0/0/0/0,515/38/-152,0/0,-596/1144/-14542,-621/249/762,-1685/65/-219,# sy
r,67063,1382714,22/59/33/45,-140/0/0/-147,0/0/0/0,514/43/-152,0/0,-516/1086/-14622,-648/273/708,-1685/67/-225,# sy
r,67064,1382735,22/59/33/44,-159/0/0/-118,0/0/0/0,513/48/-152,0/0,-444/1024/-14696,-667/290/671,-1686/68/-231,# sy
r,67065,1382755,21/59/33/44,-176/0/0/-98,0/0/0/0,513/53/-152,0/0,-510/1046/-14682,-656/276/710,-1687/69/-237,# sy
r,67066,1382769,21/59/33/44,-162/0/0/-137,0/0/0/0,512/58/-152,0/0,-616/1168/-14612,-637/253/765,-1687/70/-242,# sy
r,67067,1382789,21/59/33/44,-164/0/0/-96,0/0/0/0,511/62/-152,0/0,-636/1166/-14600,-630/251/749,-1688/71/-248,# sy
r,67068,1382814,20/59/33/43,-168/0/0/-135,0/0/0/0,510/67/-152,0/0,-586/1106/-14644,-637/260/714,-1688/72/-253,# sy
r,67069,1382835,20/59/33/43,-128/0/0/-77,0/0/0/0,509/71/-152,0/0,-612/1098/-14670,-635/254/731,-1689/73/-258,# sy
r,67070,1382855,20/59/33/43,-167/0/0/-89,0/0/0/0,508/75/-152,0/0,-662/1194/-14689,-652/254/768,-1689/74/-263,# sy
r,67071,1382874,20/59/33/43,-127/0/0/-100,0/0/0/0,507/79/-152,0/0,-636/1238/-14758,-675/268/762,-1690/75/-267,# sy
r,67072,1382895,19/59/33/43,-115/0/0/-58,0/0/0/0,507/83/-152,0/0,-596/1214/-14796,-671/267/742,-1690/75/-272,# sy
r,67073,1382915,19/59/33/42,-137/0/0/-59,0/0/0/0,506/87/-152,0/0,-592/1234/-14736,-644/246/755,-1691/76/-276,# sy
r,67074,1382934,19/59/33/42,-122/0/0/-78,0/0/0/0,505/90/-152,0/0,-648/1296/-14660,-625/228/784,-1691/77/-280,# sy
r,67075,1382955,19/59/33/42,-101/0/0/-92,0/0/0/0,504/94/-152,0/0,-684/1332/-14680,-635/233/797,-1692/78/-284,# sy
r,67076,1382976,18/59/33/42,-127/0/0/-45,0/0/0/0,504/97/-153,0/0,-682/1336/-14742,-648/242/784,-1692/78/-288,# sy
r,67077,1383002,18/59/33/42,-93/0/0/-62,0/0/0/0,502/103/-153,0/0,-722/1326/-14788,-650/236/793,-1693/80/-295,# sy
