r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,70876,1458337,86/104/0/76,39/0/0/0,0/0/0/0,122/-651/165,0/0,-1478/26/-13974,-684/246/572,-1625/-99/721,# dh
r,70877,1458357,87/104/0/76,58/0/0/0,0/0/0/0,121/-651/165,0/0,-1428/-16/-13982,-679/252/578,-1626/-100/722,# dh
r,70878,1458377,87/104/0/76,49/0/0/0,0/0/0/0,120/-651/165,0/0,-1368/-62/-13980,-670/255/576,-1626/-100/723,# dh
r,70879,1458405,87/104/0/76,55/0/0/0,0/0/0/0,119/-652/165,0/0,-1206/-262/-13925,-637/255/491,-1626/-101/725,# dh
r,70880,1458424,87/104/0/76,42/0/0/0,0/0/0/0,118/-652/165,0/0,-1242/-246/-13894,-633/250/504,-1626/-101/726,# dh
r,70881,1458445,87/104/0/76,31/0/0/0,0/0/0/0,117/-652/165,0/0,-1218/-209/-13882,-641/255/507,-1626/-101/726,# dh
r,70882,1458464,87/104/0/76,23/0/0/0,0/0/0/0,116/-652/165,0/0,-1140/-233/-13884,-635/260/481,-1627/-101/727,# dh
r,70883,1458485,87/104/0/76,27/0/0/0,0/0/0/0,116/-652/165,0/0,-1078/-180/-13892,-628/264/484,-1627/-101/728,# dh
r,70884,1458504,87/104/0/76,34/0/0/0,0/0/0/0,115/-653/165,0/0,-1016/-102/-13924,-634/272/497,-1627/-101/728,# dh
r,70885,1458525,87/104/0/76,16/0/0/0,0/0/0/0,115/-653/165,0/0,-918/-208/-14146,-626/264/461,-1627/-102/728,# dh
r,70886,1458544,87/104/0/76,4/0/0/0,0/0/0/0,114/-653/165,0/0,-835/-310/-13866,-590/262/413,-1627/-102/729,# dh
r,70887,1458564,87/104/0/76,-1/0/0/0,0/0/0/0,115/-653/165,0/0,-780/-478/-13906,-579/269/375,-1627/-102/729,# dh
r,70888,1458584,87/104/0/76,-3/0/0/0,0/0/0/0,115/-653/165,0/0,-708/-612/-13889,-567/272/323,-1627/-102/728,# dh
r,70889,1458604,87/104/0/76,-19/0/0/0,0/0/0/0,115/-653/165,0/0,-702/-612/-13874,-555/268/310,-1627/-101/728,# dh
r,70890,1458624,87/104/0/76,-26/0/0/0,0/0/0/0,115/-652/165,0/0,-750/-560/-13764,-533/249/317,-1627/-101/728,# dh
r,70891,1458644,87/104/0/76,-40/0/0/-5,0/0/0/0,116/-652/165,0/0,-716/-536/-13658,-526/247/299,-1627/-101/727,# dh
r,70892,1458664,87/104/0/76,-35/0/0/-10,0/0/0/0,117/-652/165,0/0,-618/-473/-13572,-519/253/273,-1626/-101/726,# dh
