r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,82126,1692128,-5/63/10/46,0/0/0/1,0/0/0/0,450/299/-224,0/0,-1262/1160/-13836,-506/218/605,-1709/-85/-502,# dh
r,82127,1692148,-5/63/10/46,0/0/0/-1,0/0/0/0,450/299/-224,0/0,-1264/1166/-13825,-501/214/601,-1709/-85/-502,# dh
r,82128,1692167,-5/63/10/46,0/0/0/2,0/0/0/0,450/299/-224,0/0,-1270/1168/-13824,-501/214/608,-1709/-85/-502,# dh
r,82129,1692188,-5/63/10/46,0/0/0/0,0/0/0/0,450/299/-224,0/0,-1270/1184/-13824,-499/211/607,-1709/-85/-502,# dh
r,82130,1692209,-5/63/10/46,0/0/0/3,0/0/0/0,450/299/-224,0/0,-1264/1182/-13825,-506/215/610,-1709/-85/-502,# dh
r,82131,1692230,-5/63/10/46,0/0/0/1,0/0/0/0,450/299/-224,0/0,-1270/1210/-13825,-507/214/610,-1709/-85/-502,# dh
r,82132,1692255,-5/63/10/46,0/0/0/-4,0/0/0/0,450/299/-224,0/0,-1278/1220/-13817,-511/215/618,-1709/-85/-502,# dh
r,82133,1692275,-5/63/10/46,0/0/0/2,0/0/0/0,450/299/-224,0/0,-1288/1202/-13786,-499/210/607,-1709/-85/-502,# dh
r,82134,1692296,-5/63/10/46,0/0/0/-3,0/0/0/0,450/299/-224,0/0,-1312/1198/-13753,-504/214/612,-1709/-85/-502,# dh
r,82135,1692322,-5/63/10/46,0/0/0/2,0/0/0/0,450/299/-224,0/0,-1338/1220/-13708,-503/211/612,-1709/-85/-502,# dh
r,82136,1692341,-5/63/10/46,0/0/0/-4,0/0/0/0,450/299/-224,0/0,-1374/1222/-13653,-519/212/627,-1709/-85/-502,# dh
r,82137,1692361,-5/63/10/46,0/0/0/2,0/0/0/0,450/299/-224,0/0,-1420/1236/-13586,-527/208/639,-1709/-85/-502,# dh
r,82138,1692382,-5/63/10/46,0/0/0/-4,0/0/0/0,450/299/-224,0/0,-1514/1266/-13506,-538/210/662,-1709/-85/-502,# dh
r,82139,1692401,-5/63/10/46,0/0/0/2,0/0/0/0,450/299/-224,0/0,-1574/1248/-13388,-518/197/663,-1709/-85/-502,# dh
r,82140,1692422,-5/63/10/46,0/0/0/-1,0/0/0/0,450/299/-224,0/0,-1620/1308/-13275,-507/188/678,-1709/-85/-502,# dh
r,82141,1692441,-5/63/10/46,0/0/0/2,0/0/0/0,450/299/-224,0/0,-1666/1366/-13075,-470/167/687,-1709/-85/-502,# dh
r,82142,1692462,-5/63/10/46,0/0/0/-1,0/0/0/0,450/299/-224,0/0,-1729/1424/-12846,-431/143/703,-1709/-85/-502,# dh
r,82143,1692482,-5/63/10/46,0/4/0/1,0/0/0/0,450/299/-224,0/0,-1744/1378/-12646,-384/122/692,-1709/-85/-502,# dh
r,82144,1692502,-5/63/10/46,0/17/2/-1,0/0/0/0,450/299/-223,0/0,-1742/1360/-12524,-370/118/687,-1709/-85/-502,# dh
r,82145,1692522,-5/63/10/46,0/16/8/1,0/0/0/0,450/299/-223,0/0,-1718/1330/-12500,-376/127/680,-1709/-84/-502,# dh
r,82146,1692543,-5/63/10/46,0/29/3/0,0/0/0/0,450/299/-222,0/0,-1720/1324/-12516,-391/138/689,-1709/-84/-502,# dh
r,82147,1692561,-5/63/10/46,0/28/2/1,0/0/0/0,451/299/-222,0/0,-1682/1280/-12466,-381/139/676,-1709/-83/-502,# dh
r,82148,1692582,-5/63/10/46,0/39/1/-1,0/0/0/0,451/299/-221,0/0,-1692/1250/-12350,-353/124/678,-1709/-83/-502,# dh
r,82149,1692602,-5/63/10/46,0/51/2/1,0/0/0/0,451/299/-221,0/0,-1702/1242/-12194,-319/108/683,-1709/-82/-502,# dh
r,82150,1692622,-5/64/10/46,0/42/3/0,0/0/0/0,451/299/-220,0/0,-1690/1262/-12054,-296/97/691,-1709/-81/-502,# dh
r,82151,1692642,-5/64/10/46,0/78/7/1,0/0/0/0,452/299/-219,0/0,-1686/1196/-11958,-277/94/676,-1709/-80/-501,# dh
r,82152,1692662,-5/64/10/46,0/58/8/-1,0/0/0/0,452/299/-217,0/0,-1670/1180/-11880,-279/100/666,-1710/-78/-501,# dh
r,82153,1692682,-5/64/10/46,0/72/9/1,0/0/0/0,452/299/-216,0/0,-1644/1134/-11786,-279/107/656,-1710/-77/-501,# dh
r,82154,1692702,-5/64/10/46,0/98/11/-1,0/0/0/0,453/299/-214,0/0,-1652/1120/-11660,-276/108/654,-1710/-75/-500,# dh
r,82155,1692722,-5/64/10/46,0/111/29/1,0/0/0/0,453/299/-212,0/0,-1629/1088/-11428,-256/105/640,-1710/-72/-500,# dh
r,82156,1692742,-5/65/10/46,0/92/36/-1,0/0/0/0,454/299/-210,0/0,-1584/1074/-11150,-233/101/632,-1710/-70/-500,# dh
r,82157,1692768,-5/65/10/46,0/130/36/1,0/0/0/0,455/299/-207,0/0,-1580/1004/-11026,-215/96/630,-1711/-67/-499,# dh
r,82158,1692789,-5/65/10/46,0/150/40/-2,0/0/0/0,456/300/-204,0/0,-1526/962/-10982,-217/100/617,-1711/-63/-499,# dh
r,82159,1692809,-5/65/10/46,0/157/51/3,0/0/0/0,458/300/-201,0/0,-1478/892/-10998,-206/114/602,-1711/-59/-498,# dh
r,82160,1692835,-5/66/10/46,0/211/50/1,0/0/0/0,459/300/-193,0/0,-1390/770/-11034,-248/135/568,-1712/-50/-497,# dh
r,82161,1692856,-5/67/10/46,0/223/72/-3,0/0/0/0,461/300/-188,0/0,-1382/650/-11032,-231/127/554,-1713/-45/-496,# dh
r,82162,1692876,-5/67/10/46,0/210/73/2,0/0/0/0,462/300/-184,0/0,-1402/594/-11000,-209/112/556,-1713/-40/-495,# dh
r,82163,1692896,-5/67/11/46,0/263/56/-3,0/0/0/0,463/300/-179,0/0,-1408/630/-11010,-220/115/579,-1714/-34/-494,# dh
r,82164,1692916,-5/68/11/46,0/259/43/2,0/0/0/0,465/300/-173,0/0,-1372/570/-11050,-228/123/562,-1715/-28/-493,# dh
r,82165,1692936,-5/68/11/46,0/250/55/-5,0/0/0/0,466/301/-168,0/0,-1386/438/-11054,-213/113/550,-1715/-22/-492,# dh
r,82166,1692956,-5/69/11/46,0/267/56/4,0/0/0/0,468/301/-162,0/0,-1404/394/-11104,-210/106/551,-1716/-15/-491,# dh
r,82167,1692975,-5/70/11/46,0/282/86/-2,0/0/0/0,469/301/-155,0/0,-1382/400/-11190,-241/122/568,-1716/-8/-490,# dh
r,82168,1692995,-5/70/11/46,0/310/83/2,0/0/0/0,470/301/-149,0/0,-1310/300/-11250,-242/127/533,-1717/-1/-489,# dh
r,82169,1693016,-5/71/11/46,0/326/67/-2,0/0/0/0,472/301/-142,0/0,-1300/170/-11290,-236/124/517,-1718/6/-488,# dh
r,82170,1693036,-5/71/11/46,0/332/52/2,0/0/0/0,474/301/-135,0/0,-1280/206/-11362,-259/138/518,-1718/14/-487,# dh
r,82171,1693056,-5/72/12/46,0/343/74/-2,0/0/0/0,474/301/-127,0/0,-1266/218/-11282,-245/126/531,-1719/22/-486,# dh
r,82172,1693077,-5/73/12/46,0/365/98/2,0/0/0/0,476/302/-120,0/0,-1210/142/-11190,-224/116/504,-1720/30/-485,# dh
r,82173,1693102,-5/74/12/46,0/377/62/-2,0/0/0/0,477/302/-112,0/0,-1156/112/-11196,-227/117/498,-1720/39/-484,# dh
r,82174,1693122,-5/74/12/46,0/383/80/2,0/0/0/0,479/302/-103,0/0,-1150/38/-11254,-220/112/497,-1721/48/-482,# dh
r,82175,1693142,-5/75/12/46,0/396/83/-2,0/0/0/0,480/302/-95,0/0,-1142/-28/-11384,-246/127/490,-1722/58/-481,# dh
r,82176,1693171,-5/76/12/46,0/398/85/2,0/0/0/0,480/302/-86,0/0,-1098/-146/-11448,-253/130/466,-1722/67/-480,# dh
r,82177,1693191,-5/77/13/46,0/399/64/-1,0/0/0/0,482/302/-76,0/0,-1054/-214/-11552,-266/140/449,-1723/78/-478,# dh
r,82178,1693211,-5/77/13/46,0/425/96/0,0/0/0/0,483/302/-67,0/0,-1070/-302/-11600,-249/123/456,-1724/88/-477,# dh
r,82179,1693231,-5/78/13/46,0/430/71/-2,0/0/0/0,484/302/-58,0/0,-1020/-294/-11690,-265/133/445,-1724/98/-476,# dh
r,82180,1693251,-5/79/13/46,0/425/73/1,0/0/0/0,484/302/-48,0/0,-1010/-276/-11660,-261/124/455,-1725/108/-474,# dh
r,82181,1693271,-5/80/13/46,0/425/106/-1,0/0/0/0,485/302/-39,0/0,-1002/-268/-11754,-284/135/456,-1726/119/-473,# dh
r,82182,1693290,-5/81/14/46,0/454/70/1,0/0/0/0,485/302/-29,0/0,-1012/-280/-11812,-280/124/467,-1726/129/-471,# dh
r,82183,1693311,-5/82/14/46,0/463/75/-1,0/0/0/0,485/302/-19,0/0,-939/-280/-11942,-307/137/454,-1727/140/-470,# dh
r,82184,1693331,-5/83/14/46,0/444/83/1,0/0/0/0,485/302/-8,0/0,-938/-260/-11948,-322/134/466,-1727/151/-468,# dh
r,82185,1693350,-5/84/14/46,0/446/112/-1,0/0/0/0,485/302/1,0/0,-892/-272/-11994,-337/144/465,-1728/162/-467,# dh
r,82186,1693371,-5/85/15/46,0/458/116/1,0/0/0/0,485/302/11,0/0,-893/-322/-11990,-314/127/473,-1728/174/-465,# dh
r,82187,1693391,-5/85/15/46,0/452/115/-1,0/0/0/0,485/302/22,0/0,-858/-380/-12072,-321/131/466,-1729/185/-464,# dh
r,82188,1693410,-5/86/15/46,0/474/123/1,0/0/0/0,484/302/32,0/0,-830/-350/-12118,-345/136/481,-1729/196/-463,# dh
r,82189,1693425,-5/87/15/46,0/475/105/-1,0/0/0/0,484/302/43,0/0,-774/-376/-12160,-367/150/473,-1730/208/-461,# dh
r,82190,1693451,-5/88/15/46,0/491/123/1,0/0/0/0,483/302/53,0/0,-780/-466/-12120,-345/133/475,-1730/219/-459,# dh
r,82191,1693471,-5/89/16/46,0/469/118/-1,0/0/0/0,481/302/64,0/0,-762/-532/-12182,-338/128/462,-1731/231/-458,# dh
r,82192,1693491,-5/90/16/46,0/472/107/3,0/0/0/0,480/302/74,0/0,-822/-502/-12198,-328/111/496,-1731/242/-456,# dh
r,82193,1693511,-5/91/16/46,0/482/135/-2,0/0/0/0,479/302/85,0/0,-768/-430/-12264,-357/126/495,-1731/254/-455,# dh
r,82194,1693530,-5/92/16/46,0/499/134/2,0/0/0/0,477/302/96,0/0,-798/-473/-12278,-348/113/510,-1732/266/-453,# dh
r,82195,1693551,-5/93/17/46,0/465/124/-1,0/0/0/0,475/301/106,0/0,-766/-524/-12390,-362/122/497,-1732/277/-452,# dh
r,82196,1693571,-5/94/17/46,0/476/130/2,0/0/0/0,474/301/117,0/0,-818/-492/-12446,-369/114/529,-1732/289/-450,# dh
r,82197,1693591,-5/95/17/46,0/490/113/-1,0/0/0/0,472/301/127,0/0,-826/-421/-12522,-398/126/540,-1732/301/-449,# dh
r,82198,1693611,-5/96/17/46,0/480/97/2,0/0/0/0,469/301/137,0/0,-839/-438/-12522,-399/122/541,-1733/312/-447,# dh
r,82199,1693634,-5/98/18/46,0/487/78/1,0/0/0/0,464/300/159,0/0,-766/-498/-12516,-387/111/535,-1733/336/-444,# dh
r,82200,1693654,-5/99/18/46,0/476/94/0,0/0/0/0,462/300/169,0/0,-708/-462/-12572,-403/117/550,-1733/348/-442,# dh
r,82201,1693674,-5/100/18/46,0/465/119/1,0/0/0/0,459/300/179,0/0,-728/-392/-12576,-419/118/574,-1733/359/-440,# dh
r,82202,1693693,-5/101/18/46,0/472/100/-1,0/0/0/0,456/300/188,0/0,-736/-502/-12678,-446/139/543,-1733/371/-439,# dh
r,82203,1693714,-5/102/19/46,0/471/120/1,0/0/0/0,453/299/198,0/0,-726/-634/-12670,-428/123/531,-1733/382/-437,# dh
r,82204,1693734,-5/102/19/46,0/453/96/-1,0/0/0/0,450/299/207,0/0,-652/-658/-12696,-435/129/521,-1733/393/-435,# dh
r,82205,1693754,-5/103/19/46,0/442/119/2,0/0/0/0,447/299/217,0/0,-694/-602/-12698,-429/116/557,-1733/404/-434,# dh
r,82206,1693774,-5/104/19/46,0/453/65/-1,0/0/0/0,443/298/226,0/0,-696/-564/-12764,-461/131/561,-1732/414/-432,# dh
r,82207,1693793,-5/105/19/46,0/427/67/1,0/0/0/0,440/298/235,0/0,-704/-552/-12752,-447/114/570,-1732/425/-430,# dh
r,82208,1693814,-5/106/20/46,0/432/112/-1,0/0/0/0,436/298/243,0/0,-662/-492/-12806,-482/134/575,-1732/436/-429,# dh
r,82209,1693833,-5/107/20/46,0/424/114/1,0/0/0/0,433/297/252,0/0,-696/-471/-12738,-485/115/597,-1732/446/-427,# dh
r,82210,1693854,-5/108/20/46,0/431/61/0,0/0/0/0,430/297/260,0/0,-650/-508/-12740,-487/130/574,-1731/456/-425,# dh
r,82211,1693878,-5/109/20/46,0/417/88/2,0/0/0/0,426/296/268,0/0,-688/-610/-12732,-461/110/564,-1731/466/-423,# dh
r,82212,1693904,-5/109/20/46,0/421/55/-1,0/0/0/0,422/296/276,0/0,-608/-562/-12846,-509/139/555,-1730/475/-422,# dh
r,82213,1693924,-5/110/20/46,0/401/66/2,0/0/0/0,419/296/284,0/0,-636/-550/-12816,-496/123/581,-1730/485/-420,# dh
r,82214,1693944,-5/111/20/46,0/386/65/0,0/0/0/0,414/295/292,0/0,-590/-508/-12848,-547/153/582,-1729/494/-418,# dh
r,82215,1693964,-5/112/21/47,0/399/60/4,0/0/0/0,411/295/299,0/0,-624/-496/-12762,-536/140/601,-1729/503/-416,# dh
r,82216,1693984,-5/112/21/47,0/373/59/11,0/0/0/0,408/294/306,0/0,-584/-486/-12808,-571/156/594,-1728/512/-414,# dh
r,82217,1694004,-5/113/21/47,0/361/69/10,0/0/0/0,403/294/313,0/0,-584/-480/-12778,-570/148/610,-1727/520/-412,# dh
r,82218,1694024,-5/114/21/47,0/362/55/18,0/0/0/0,400/293/319,0/0,-574/-500/-12830,-602/166/611,-1727/528/-410,# dh
r,82219,1694044,-5/115/21/47,0/348/34/24,0/0/0/0,397/293/325,0/0,-520/-554/-12864,-632/187/593,-1726/536/-408,# dh
r,82220,1694064,-5/115/21/47,0/343/28/26,0/0/0/0,393/292/332,0/0,-492/-604/-12810,-625/184/575,-1725/543/-406,# dh
r,82221,1694085,-5/116/21/47,0/340/11/27,0/0/0/0,390/292/337,0/0,-482/-576/-12862,-656/200/571,-1724/550/-404,# dh
r,82222,1694111,-5/117/21/47,0/308/5/52,0/0/0/0,387/291/343,0/0,-528/-530/-12820,-645/186/594,-1723/556/-401,# dh
