r,sequence,timestamp,endpoint,deg,deg/sec,mA,grip/rotation,torque,force,ori,#
m,0,0,313.7260720527317/-474.95208713573174/-240.7408276726735,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,1,1,313.8074313603995/-474.8682585859289/-240.7255848164476,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,2,2,313.9347591634036/-474.7370669901921/-240.70176979419045,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,3,3,314.10811916772406/-474.5584732515732/-240.66902731539344,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,4,4,314.32757507934105/-474.3324382731246/-240.62700208954772,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,5,5,314.5931906042341/-474.05892295789727/-240.57533882614422,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,6,6,314.90503342294454/-473.7378868205689/-240.51365071253758,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,7,7,315.2631915110087/-473.36928228646326/-240.44138997701347,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,8,8,315.6677591849187/-472.953059805642/-240.35795591695265,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,9,9,316.11882544142657/-472.48918231660866/-240.26267291470356,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,10,10,316.6164719576234/-471.9776299337489/-240.15476235644627,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,11,11,317.16077671483623/-471.41838882383234/-240.03341896525464,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,12,12,317.7517969586666/-470.81147663860344/-239.89771178586014,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,13,13,318.38958129208/-470.15692411145307/-239.7466584225604,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,14,14,319.0741552446042/-469.4547937462807/-239.57921115155247,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,15,15,319.80550498749926/-468.7052022350264/-239.39421093998894,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,16,16,320.58360538939843/-467.90828042658603/-239.19047481800354,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,17,17,321.40836788340016/-467.0642345556057/-238.96670873341088,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,18,18,322.27967161292423/-466.1733092358741/-238.72156220700325,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,19,19,323.1973557291244/-465.235797758929/-238.4536348431633,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,20,20,324.16117463497494/-464.25209658521175/-238.1614207331767,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,21,21,325.17086311921497/-463.22262545093736/-237.84339255715437,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,22,22,326.2260577065897/-462.1479169429861/-237.4979345140312,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,23,23,327.32633295161605/-461.02857481676836/-237.1233750230676,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,24,24,328.4712134210944/-459.86525977167105/-236.71800986423054,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,25,25,329.6600921555375/-458.6587823124292/-236.28004957915857,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,26,26,330.8923325283096/-457.40998655025606/-235.80768694696835,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,27,27,332.1671780829743/-456.1198502711851/-235.29905946854728,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,28,28,333.48377879061394/-454.78945564502305/-234.7522614804204,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,29,29,334.8412340161248/-453.419941435943/-234.165372885537,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,30,30,336.2384793705091/-452.01262956243613/-233.5364283707066,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,31,31,337.6744097931917/-450.5688871144975/-232.86345246460914,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,32,32,339.14779338823723/-449.09021616198663/-232.14445783754854,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,33,33,340.657275817965/-447.57824907888437/-231.37744571223004,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,34,34,342.2014577932253/-446.0346673343698/-230.56041904888724,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,35,35,343.7787666810013/-444.4613423263885/-229.6913903697321,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,36,36,345.38757933008526/-442.86020056204575/-228.7683757661176,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,37,37,347.0261585556614/-441.23328565064367/-227.78942292990888,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,38,38,348.6926311285263/-439.58278090668955/-226.75261725324492,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,39,39,350.3850869008664/-437.9109081067687/-225.65606086365676,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,40,40,352.1014552235476/-436.2200568973208/-224.49793643102723,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,41,41,353.8396084337736/-434.51267642104216/-223.27645571912365,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,42,42,355.5973287524789/-432.7913029398661/-221.98990128547015,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,43,43,357.37226534410786/-431.05860134107405/-220.6366602360417,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,44,44,359.16203906975426/-429.3172636039191/-219.21514965042905,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,45,45,360.9641452111225/-427.57010118584896/-217.72394050035837,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,46,46,362.77602387211243/-425.8199779871513/-216.16167162884602,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,47,47,364.59505735862865/-424.06980748924474/-214.52707798981024,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,48,48,366.4185221907163/-422.3225938819137/-212.81907062552847,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,49,49,368.24367434912364/-420.58135817699355/-211.03660403523006,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,50,50,370.0676842092254/-418.84918743078356/-209.1788615744814,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,51,51,371.88767547396236/-417.1292046768417/-207.24515150039076,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,52,52,373.70075153001176/-415.4245411749266/-205.23486766957888,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,53,53,375.50397011123/-413.73834627642344/-203.14759794304007,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
