r,sequence,timestamp,deg,endpoint
m,0,0,26.0/-54.467/38.12/-5.0,-123.827/-415.072/-188.269
m,1,10,26.0/-54.464/38.133/-5.0,-123.823/-415.07/-188.284
m,2,20,26.0/-54.455/38.135/-5.0,-123.798/-415.058/-188.329
m,3,30,26.0/-54.449/38.131/-5.0,-123.776/-415.047/-188.363
m,4,40,26.0/-54.45/38.126/-5.0,-123.777/-415.048/-188.358
m,5,50,26.0/-54.457/38.125/-5.522,-123.181/-414.46/-185.537
m,6,60,26.0/-54.461/38.125/-5.515,-123.202/-414.474/-185.553
m,7,70,26.0/-54.457/38.122/-5.509,-123.195/-414.474/-185.607
m,8,80,26.0/-54.446/38.116/-5.509,-123.161/-414.458/-185.663
m,9,90,26.0/-54.437/38.109/-5.516,-123.125/-414.436/-185.671
m,10,100,26.0/-54.439/38.107/-5.529,-123.112/-414.422/-185.597
m,11,110,26.0/-54.451/38.109/-5.543,-123.132/-414.423/-185.461
m,12,120,26.0/-54.465/38.112/-5.553,-123.163/-414.432/-185.327
m,13,130,26.0/-54.472/38.111/-5.558,-123.176/-414.435/-185.269
m,14,140,26.0/-54.466/38.106/-5.557,-123.157/-414.427/-185.308
m,15,150,26.0/-54.451/38.102/-5.552,-123.117/-414.411/-185.411
m,16,160,26.0/-54.437/38.102/-5.547,-123.085/-414.398/-185.508
m,17,170,26.0/-54.432/38.106/-5.542,-123.077/-414.397/-185.557
m,18,180,26.0/-54.434/38.11/-5.541,-123.085/-414.402/-185.559
m,19,190,26.0/-54.436/38.107/-5.541,-123.091/-414.405/-185.545
m,20,200,26.0/-54.437/38.096/-5.542,-123.087/-414.402/-185.533
m,21,210,26.0/-54.437/38.083/-5.544,-123.078/-414.396/-185.528
m,22,220,26.0/-54.437/38.076/-5.545,-123.074/-414.394/-185.523
m,23,230,26.0/-54.437/38.08/-5.545,-123.076/-414.395/-185.521
m,24,240,26.0/-54.438/38.088/-5.544,-123.083/-414.399/-185.522
m,25,250,26.0/-54.434/38.093/-5.543,-123.076/-414.396/-185.548
m,26,260,26.0/-54.424/38.091/-5.541,-123.048/-414.384/-185.606
m,27,270,26.0/-54.413/38.085/-5.539,-123.014/-414.368/-185.676
m,28,280,26.0/-54.403/38.084/-5.537,-122.988/-414.356/-185.736
m,29,290,26.536/-54.401/38.09/-5.536,-119.107/-415.488/-185.75
m,30,300,26.535/-54.402/38.099/-5.538,-119.117/-415.489/-185.734
m,31,310,26.527/-54.402/38.101/-5.541,-119.174/-415.468/-185.715
m,32,320,26.505/-54.393/38.094/-5.544,-119.3/-415.403/-185.75
m,33,330,26.483/-54.379/38.081/-5.543,-119.415/-415.335/-185.832
m,34,340,26.473/-54.366/38.076/-5.535,-119.455/-415.304/-185.94
m,35,350,26.487/-54.365/38.083/-5.522,-119.371/-415.348/-186.013
m,36,360,26.509/-54.367/38.103/-5.509,-119.235/-415.419/-186.072
m,37,370,26.527/-54.368/38.121/-5.501,-119.133/-415.47/-186.103
m,38,380,26.517/-54.362/38.124/-5.502,-119.187/-415.44/-186.129
m,39,390,26.484/-54.352/38.108/-5.511,-119.377/-415.342/-186.136
m,40,400,26.439/-54.337/38.085/-5.521,-119.638/-415.209/-186.161
m,41,410,26.406/-54.328/38.072/-5.526,-119.839/-415.12/-186.184
m,42,420,26.406/-54.325/38.074/-5.521,-119.833/-415.122/-186.223
m,43,430,26.422/-54.0/38.083/-5.512,-118.784/-414.695/-187.921
m,44,440,26.424/-54.0/38.088/-5.506,-118.777/-414.708/-187.951
m,45,450,26.399/-54.0/38.079/-5.509,-118.951/-414.651/-187.939
m,46,460,26.356/-54.0/38.064/-5.519,-119.245/-414.546/-187.889
m,47,470,26.32/-54.0/38.052/-5.53,-119.485/-414.457/-187.832
m,48,480,26.312/-54.0/38.055/-5.534,-119.54/-414.435/-187.808
m,49,490,26.329/-54.0/38.065/-5.529,-119.431/-414.478/-187.833
m,50,500,26.344/-53.0/38.074/-5.518,-116.355/-413.05/-192.936
m,51,510,26.335/-53.0/38.066/-5.51,-116.431/-413.037/-192.982
m,52,520,26.293/-53.0/38.043/-5.51,-116.723/-412.947/-192.985
m,53,530,26.235/-53.0/38.013/-5.519,-117.114/-412.813/-192.942
m,54,540,26.187/-53.0/37.988/-5.532,-117.44/-412.693/-192.878
m,55,550,26.164/-52.0/37.974/-5.542,-114.523/-411.13/-197.813
m,56,560,26.166/-52.0/37.973/-5.545,-114.51/-411.129/-197.796
m,57,570,26.175/-52.0/37.976/-5.541,-114.45/-411.152/-197.817
m,58,580,26.176/-51.0/37.983/-5.534,-111.317/-409.621/-202.784
m,59,590,26.166/-51.0/37.99/-5.0,-111.864/-410.145/-205.675
m,60,600,26.153/-51.0/37.998/-5.0,-111.961/-410.121/-205.674
m,61,610,26.142/-50.0/37.999/-5.0,-108.782/-408.499/-210.551
m,62,620,26.128/-50.0/37.993/-5.0,-108.875/-408.472/-210.552
m,63,630,26.106/-50.0/37.973/-4.0,-109.874/-409.329/-215.999
m,64,640,26.074/-49.0/37.952/-4.0,-106.675/-407.588/-220.833
m,65,650,26.042/-49.0/37.94/-4.0,-106.895/-407.527/-220.834
m,66,660,26.024/-49.0/37.942/-4.0,-107.024/-407.494/-220.834
m,67,670,26.024/-48.0/37.957/-4.0,-103.531/-405.786/-225.598
m,68,680,26.033/-48.0/37.976/-4.0,-103.471/-405.806/-225.597
m,69,690,26.038/-47.0/37.988/-4.0,-99.868/-404.07/-230.293
m,70,700,26.029/-47.0/37.985/-4.0,-99.93/-404.054/-230.293
m,71,710,26.01/-46.0/37.972/-4.0,-96.408/-402.239/-234.92
m,72,720,25.992/-46.0/37.96/-4.0,-96.53/-402.207/-234.921
m,73,730,25.981/-45.0/37.955/-4.0,-92.888/-400.373/-239.476
m,74,740,25.971/-44.0/37.955/-4.0,-89.164/-398.509/-243.958
m,75,750,25.952/-44.0/37.952/-4.0,-89.293/-398.48/-243.958
m,76,760,25.92/-43.0/37.943/-4.0,-85.647/-396.551/-248.366
m,77,770,25.884/-43.0/37.929/-4.0,-85.896/-396.493/-248.366
m,78,780,25.858/-42.0/37.921/-4.0,-82.139/-394.546/-252.698
m,79,790,25.85/-41.0/37.923/-4.0,-78.191/-392.596/-256.953
m,80,800,25.851/-41.0/37.934/-4.0,-78.186/-392.599/-256.952
m,81,810,25.841/-41.0/37.941/-4.0,-78.254/-392.587/-256.952
m,82,820,25.807/-41.0/37.935/-4.0,-78.49/-392.539/-256.952
m,83,830,25.752/-41.0/37.915/-4.0,-78.858/-392.46/-256.953
m,84,840,25.7/-41.0/37.891/-4.0,-79.207/-392.384/-256.953
m,85,850,25.671/-41.0/37.876/-5.0,-79.313/-391.816/-251.394
m,86,860,25.668/-41.0/37.873/-5.0,-79.335/-391.811/-251.394
m,87,870,25.67/-41.0/37.875/-5.0,-79.324/-391.813/-251.394
m,88,880,25.652/-41.0/37.871/-5.0,-79.44/-391.788/-251.394
m,89,890,25.608/-41.0/37.854/-5.0,-79.734/-391.724/-251.395
m,90,900,25.554/-41.0/37.831/-5.511,-80.065/-391.34/-248.558
m,91,910,25.518/-41.0/37.815/-5.512,-80.304/-391.285/-248.552
m,92,920,25.516/-41.0/37.818/-5.502,-80.32/-391.289/-248.609
m,93,930,25.536/-41.0/37.833/-5.483,-80.19/-391.332/-248.711
m,94,940,25.549/-41.0/37.848/-5.466,-80.109/-391.365/-248.809
m,95,950,25.531/-41.0/37.849/-5.457,-80.232/-391.345/-248.857
