r,sequence,timestamp,deg,endpoint
m,0,0,-2.658/-31.733/12.0/-15.0,-180.796/-301.036/-236.73
m,1,10,-2.781/-31.738/12.0/-15.0,-181.465/-300.645/-236.715
m,2,20,-2.867/-31.744/12.0/-15.0,-181.937/-300.372/-236.699
m,3,30,-2.915/-31.749/12.0/-15.0,-182.214/-300.217/-236.683
m,4,40,-2.926/-31.755/12.0/-15.0,-182.295/-300.181/-236.666
m,5,50,-2.9/-31.761/12.0/-15.0,-182.182/-300.264/-236.649
m,6,60,-2.867/-31.765/12.0/-15.0,-182.028/-300.367/-236.635
m,7,70,-2.787/-31.763/12.0/-15.0,-181.6/-300.621/-236.641
m,8,80,-2.645/-31.761/12.0/-15.0,-180.842/-301.073/-236.648
m,9,90,-2.416/-31.769/12.0/-14.0,-181.561/-303.11/-241.713
m,10,100,-2.101/-31.798/12.0/-14.0,-180.009/-304.101/-241.628
m,11,110,-1.701/-31.86/12.0/-14.0,-178.143/-305.342/-241.446
m,12,120,-1.208/-31.963/12.0/-13.0,-177.827/-308.118/-246.245
m,13,130,-0.635/-32.0/12.0/-13.0,-174.894/-309.88/-246.135
m,14,140,0.016/-32.0/12.0/-12.0,-173.226/-313.056/-251.258
m,15,150,0.758/-32.0/12.0/-11.0,-171.015/-316.411/-256.401
m,16,160,1.583/-32.0/12.0/-11.0,-166.442/-318.841/-256.401
m,17,170,2.491/-32.0/12.0/-10.0,-163.2/-322.537/-261.562
m,18,180,3.492/-32.0/12.0/-10.0,-157.541/-325.338/-261.562
m,19,190,4.573/-32.0/12.0/-9.929,-151.504/-328.331/-261.929
m,20,200,5.695/-32.0/12.0/-8.72,-147.205/-332.549/-268.189
m,21,210,6.852/-32.0/12.0/-7.435,-142.754/-336.745/-274.866
m,22,220,8.056/-32.0/12.0/-6.128,-137.98/-340.871/-281.678
m,23,230,9.299/-32.0/12.0/-4.879,-132.786/-344.829/-288.203
m,24,240,10.557/-32.0/12.0/-3.786,-127.15/-348.495/-293.924
m,25,250,11.788/-32.0/12.0/-2.914,-121.197/-351.766/-298.49
m,26,260,13.009/-32.0/12.0/-2.284,-114.813/-354.694/-301.796
m,27,270,14.236/-32.0/12.0/-1.876,-107.927/-357.342/-303.933
m,28,280,15.533/-32.0/12.0/-1.646,-100.222/-359.85/-305.141
m,29,290,16.763/-32.0/12.0/-1.547,-92.65/-361.987/-305.658
m,30,300,17.834/-32.0/12.0/-1.53,-85.898/-363.668/-305.747
m,31,310,18.0/-32.0/12.0/-1.55,-84.81/-363.901/-305.646
m,32,320,18.0/-32.0/13.0/-1.574,-84.905/-363.928/-305.469
m,33,330,19.0/-33.0/13.0/-1.576,-83.549/-367.079/-302.037
m,34,340,20.0/-33.0/13.0/-1.571,-77.139/-368.485/-302.065
m,35,350,20.0/-33.0/13.0/-1.558,-77.161/-368.495/-302.133
m,36,360,20.393/-33.0/14.0/-1.547,-74.783/-369.075/-302.142
m,37,370,20.531/-33.0/14.0/-1.544,-73.898/-369.256/-302.155
m,38,380,20.732/-33.0/15.0/-1.541,-72.745/-369.565/-302.122
m,39,390,20.806/-33.0/15.0/-1.55,-72.252/-369.652/-302.076
m,40,400,20.926/-33.0/16.0/-1.556,-71.605/-369.85/-302.0
m,41,410,21.042/-33.0/16.0/-1.562,-70.843/-369.99/-301.965
m,42,420,21.044/-33.0/16.947/-1.574,-70.944/-370.033/-301.859
m,43,430,21.27/-33.0/17.028/-1.57,-69.504/-370.317/-301.879
m,44,440,21.581/-33.0/17.143/-1.562,-67.52/-370.701/-301.92
m,45,450,21.933/-33.0/17.274/-2.0,-64.667/-370.799/-299.558
m,46,460,22.282/-33.0/17.402/-2.0,-62.43/-371.195/-299.552
m,47,470,22.581/-33.0/17.509/-2.0,-60.512/-371.523/-299.546
m,48,480,22.786/-32.973/17.578/-2.0,-59.06/-371.687/-299.638
m,49,490,22.856/-32.962/17.594/-2.0,-58.559/-371.739/-299.672
m,50,500,23.0/-32.974/17.587/-2.0,-57.682/-371.908/-299.632
m,51,510,23.0/-32.966/17.591/-3.0,-56.379/-371.09/-294.279
m,52,520,23.0/-32.957/17.59/-3.0,-56.336/-371.072/-294.31
m,53,530,24.0/-32.942/17.613/-3.0,-49.785/-371.969/-294.36
m,54,540,24.0/-32.864/17.683/-3.0,-49.438/-371.815/-294.622
m,55,550,24.0/-32.743/17.787/-3.0,-48.896/-371.573/-295.028
m,56,560,25.0/-32.597/17.911/-3.0,-41.751/-372.066/-295.519
m,57,570,25.0/-32.444/18.037/-3.0,-41.068/-371.748/-296.029
m,58,580,26.0/-32.306/18.147/-3.0,-33.96/-372.108/-296.489
m,59,590,26.0/-32.251/18.185/-3.0,-33.713/-371.988/-296.672
m,60,600,26.0/-32.249/18.166/-3.0,-33.702/-371.982/-296.678
m,61,610,27.0/-32.141/18.249/-3.0,-26.725/-372.269/-297.038
m,62,620,27.0/-32.0/18.368/-3.0,-26.103/-371.952/-297.504
