r,sequence,timestamp,deg,endpoint
m,0,0,51.533/-30.529/30.845/-9.421,435.647/464.116/-186.206
m,1,10,50.2/-30.63/30.75/-9.511,446.439/453.228/-187.844
m,2,20,49.084/-30.696/30.663/-9.595,455.336/443.92/-189.061
m,3,30,48.173/-30.731/30.584/-9.674,462.536/436.193/-189.877
m,4,40,47.453/-30.735/30.513/-9.746,468.214/430.021/-190.314
m,5,50,46.914/-30.711/30.45/-9.814,472.521/425.354/-190.39
m,6,60,46.543/-30.659/30.395/-9.876,475.591/422.126/-190.128
m,7,70,46.328/-30.584/30.349/-9.934,477.538/420.257/-189.546
m,8,80,46.256/-30.485/30.31/-9.988,478.464/419.655/-188.665
m,9,90,46.317/-30.365/30.28/-10.037,478.459/420.218/-187.505
m,10,100,46.496/-30.226/30.258/-10.083,477.603/421.84/-186.085
m,11,110,46.784/-30.069/30.244/-10.126,475.972/424.406/-184.426
m,12,120,47.166/-29.897/30.239/-10.165,473.635/427.802/-182.547
m,13,130,47.632/-29.712/30.242/-10.202,470.664/431.908/-180.469
m,14,140,48.169/-29.514/30.254/-10.237,467.126/436.607/-178.211
m,15,150,48.764/-29.307/30.274/-10.269,463.095/441.78/-175.794
m,16,160,49.407/-29.092/30.304/-10.299,458.643/447.309/-173.237
m,17,170,50.084/-28.87/30.342/-10.328,453.85/453.082/-170.561
m,18,180,50.784/-28.644/30.389/-10.356,448.798/458.985/-167.786
m,19,190,51.495/-28.416/30.444/-10.383,443.578/464.913/-164.932
m,20,200,52.203/-28.187/30.509/-10.409,438.282/470.761/-162.021
m,21,210,52.899/-27.96/30.583/-10.435,433.01/476.431/-159.072
m,22,220,53.568/-27.735/30.666/-10.461,427.868/481.829/-156.106
m,23,230,54.199/-27.516/30.758/-10.488,422.966/486.867/-153.144
m,24,240,54.781/-27.303/30.859/-10.515,418.416/491.457/-150.206
m,25,250,55.301/-27.099/30.969/-10.543,414.324/495.529/-147.315
m,26,260,55.755/-26.906/31.089/-10.572,410.75/499.051/-144.49
m,27,270,56.139/-26.725/31.218/-10.603,407.742/502.002/-141.753
m,28,280,56.449/-26.559/31.357/-10.636,405.347/504.358/-139.125
m,29,290,56.68/-26.408/31.505/-10.671,403.61/506.098/-136.626
m,30,300,56.829/-26.276/31.663/-10.709,402.574/507.194/-134.278
m,31,310,56.893/-26.164/31.831/-10.749,402.262/507.634/-132.102
m,32,320,56.879/-26.073/32.008/-10.793,402.621/507.458/-130.119
m,33,330,56.795/-26.006/32.195/-10.84,403.578/506.72/-128.349
m,34,340,56.649/-25.964/32.392/-10.89,405.057/505.471/-126.814
m,35,350,56.449/-25.95/32.599/-10.945,406.981/503.76/-125.534
m,36,360,56.204/-25.965/32.816/-11.004,409.271/501.638/-124.53
