r,sequence,timestamp,deg,endpoint
m,0,0,10.0/-49.423/51.124/-37.325,-238.24/-300.402/-46.733
m,1,10,10.13/-49.41/51.159/-37.112,-237.508/-301.666/-47.75
m,2,20,10.35/-49.398/51.186/-36.91,-236.28/-303.251/-48.711
m,3,30,10.56/-49.388/51.205/-36.719,-235.078/-304.747/-49.619
m,4,40,10.759/-49.379/51.215/-36.538,-233.903/-306.157/-50.475
m,5,50,10.95/-49.371/51.217/-36.367,-232.754/-307.483/-51.281
m,6,60,11.131/-49.364/51.212/-36.206,-231.632/-308.731/-52.039
m,7,70,11.303/-49.358/51.198/-36.054,-230.535/-309.902/-52.753
m,8,80,11.466/-49.353/51.178/-35.911,-229.463/-311.0/-53.423
m,9,90,11.622/-49.348/51.149/-35.777,-228.416/-312.029/-54.053
m,10,100,12.0/-49.343/51.114/-35.65,-226.131/-313.903/-54.645
m,11,110,12.0/-49.339/51.071/-35.532,-225.896/-314.246/-55.201
m,12,120,13.0/-49.334/51.022/-35.421,-220.121/-318.451/-55.724
m,13,130,13.0/-49.329/50.965/-35.317,-219.85/-318.733/-56.216
m,14,140,14.0/-49.324/50.902/-35.22,-213.964/-322.772/-56.679
m,15,150,14.0/-49.318/50.833/-35.129,-213.661/-322.997/-57.116
m,16,160,14.0/-49.311/50.758/-35.0,-213.304/-323.336/-57.734
m,17,170,14.0/-49.304/50.676/-34.966,-213.013/-323.377/-57.923
m,18,180,14.0/-49.295/50.588/-34.0,-211.897/-326.245/-62.404
m,19,190,14.0/-49.285/50.495/-33.0,-210.762/-329.139/-67.103
m,20,200,14.0/-49.274/50.396/-33.0,-210.457/-329.063/-67.153
m,21,210,14.0/-49.261/50.292/-32.0,-209.326/-331.874/-71.922
m,22,220,14.0/-49.246/50.182/-31.0,-208.212/-334.604/-76.751
m,23,230,14.0/-49.229/50.068/-30.0,-207.116/-337.252/-81.64
m,24,240,14.0/-49.21/49.948/-30.0,-206.765/-337.164/-81.729
m,25,250,14.0/-49.189/49.823/-29.0,-205.681/-339.728/-86.69
m,26,260,14.0/-49.165/49.694/-28.0,-204.618/-342.21/-91.712
m,27,270,14.0/-49.139/49.561/-27.0,-203.578/-344.608/-96.792
m,28,280,14.0/-49.109/49.423/-27.0,-203.191/-344.512/-96.934
m,29,290,15.0/-49.077/49.281/-26.0,-196.085/-350.301/-102.088
m,30,300,15.0/-49.042/49.135/-25.0,-195.048/-352.512/-107.301
m,31,310,15.0/-49.003/48.985/-25.0,-194.636/-352.402/-107.491
m,32,320,15.0/-48.96/48.832/-24.0,-193.621/-354.528/-112.78
m,33,330,15.0/-48.914/48.675/-24.0,-193.189/-354.412/-113.005
m,34,340,15.0/-48.864/48.515/-24.0,-192.743/-354.292/-113.249
