r,sequence,timestamp,deg,endpoint
m,0,0,55.0/-31.2/36.0/-22.8,125.758/-334.71/-192.915
m,1,10,55.0/-31.2/36.0/-22.8,125.759/-334.709/-192.917
m,2,20,55.0/-31.199/35.999/-22.799,125.764/-334.707/-192.923
m,3,30,55.001/-31.198/35.999/-22.797,125.772/-334.703/-192.934
m,4,40,55.001/-31.197/35.998/-22.795,125.783/-334.698/-192.948
m,5,50,55.002/-31.195/35.996/-22.793,125.798/-334.692/-192.967
m,6,60,55.003/-31.193/35.994/-22.79,125.815/-334.684/-192.99
m,7,70,55.004/-31.191/35.992/-22.786,125.836/-334.675/-193.018
m,8,80,55.005/-31.188/35.99/-22.782,125.859/-334.665/-193.049
m,9,90,55.006/-31.386/35.988/-22.777,125.497/-335.207/-192.374
m,10,100,55.008/-31.383/35.985/-22.771,125.526/-335.195/-192.413
m,11,110,55.009/-31.379/35.982/-22.766,125.558/-335.181/-192.455
m,12,120,55.011/-31.173/35.978/-22.759,125.985/-334.609/-193.214
m,13,130,55.013/-31.169/35.974/-22.752,126.024/-334.591/-193.266
m,14,140,55.015/-31.164/35.97/-22.744,126.066/-334.573/-193.321
m,15,150,55.017/-31.362/35.966/-22.736,125.716/-335.114/-192.665
m,16,160,55.019/-31.356/35.961/-22.728,125.762/-335.095/-192.727
m,17,170,55.022/-31.351/35.956/-22.719,125.812/-335.074/-192.793
m,18,180,55.025/-31.141/35.951/-22.709,126.263/-334.485/-193.583
m,19,190,55.028/-31.134/35.945/-22.699,126.32/-334.459/-193.658
m,20,200,55.025/-31.127/35.94/-22.688,126.346/-334.446/-193.738
m,21,210,55.027/-31.325/35.935/-22.676,126.002/-334.991/-193.096
m,22,220,55.023/-31.317/35.929/-22.665,126.022/-334.98/-193.183
m,23,230,55.025/-31.31/35.923/-22.652,126.081/-334.955/-193.272
m,24,240,55.028/-31.094/35.916/-22.639,126.551/-334.35/-194.095
m,25,250,55.03/-31.086/35.908/-22.626,126.616/-334.32/-194.194
m,26,260,55.032/-31.077/35.901/-23.403,125.074/-333.579/-190.243
m,27,270,55.023/-31.276/35.896/-23.598,124.249/-333.947/-188.546
m,28,280,55.0/-31.268/35.887/-23.583,124.171/-333.973/-188.65
m,29,290,54.039/-31.258/35.879/-22.779,120.205/-336.739/-192.798
m,30,300,54.0/-31.038/35.868/-22.975,120.034/-336.017/-192.563
m,31,310,54.0/-31.026/35.861/-23.748,118.485/-335.238/-188.656
m,32,320,54.0/-31.015/35.852/-23.732,118.552/-335.208/-188.775
m,33,330,54.034/-31.216/35.846/-24.501,116.765/-334.887/-184.156
m,34,340,54.0/-31.206/35.837/-24.698,116.179/-334.707/-183.194
m,35,350,53.038/-31.194/35.827/-24.681,110.617/-336.583/-183.321
m,36,360,53.0/-30.967/35.814/-23.88,112.524/-336.883/-188.183
m,37,370,53.0/-30.953/35.806/-24.862,110.5/-335.807/-183.25
m,38,380,53.0/-30.94/35.796/-24.844,110.578/-335.774/-183.384
m,39,390,53.0/-31.146/35.787/-25.606,108.558/-335.44/-178.819
m,40,400,52.0/-31.132/35.779/-25.807,102.293/-336.998/-177.86
m,41,410,52.0/-31.12/35.765/-25.788,102.376/-336.966/-177.994
m,42,420,52.0/-31.107/35.754/-25.991,101.977/-336.673/-177.021
m,43,430,52.0/-31.092/35.746/-26.748,100.349/-335.705/-173.297
m,44,440,51.0/-31.078/35.734/-26.728,94.565/-337.376/-173.446
m,45,450,51.0/-31.064/35.723/-26.933,94.157/-337.059/-172.475
m,46,460,51.0/-31.049/35.711/-26.913,94.248/-337.027/-172.624
m,47,470,50.0/-31.034/35.699/-27.892,86.217/-337.247/-167.833
m,48,480,50.0/-31.017/35.69/-27.872,86.311/-337.22/-167.996
m,49,490,50.0/-31.004/35.674/-28.081,85.89/-336.87/-167.01
m,50,500,49.0/-30.988/35.661/-28.829,78.351/-337.178/-163.403
m,51,510,49.0/-30.97/35.652/-29.039,77.916/-336.811/-162.439
m,52,520,48.0/-30.956/35.635/-29.018,72.132/-338.087/-162.586
m,53,530,48.0/-30.937/35.626/-29.761,70.473/-336.886/-159.049
m,54,540,48.0/-30.92/35.612/-29.975,70.031/-336.489/-158.074
m,55,550,47.8/-30.665/35.597/-29.953,69.411/-336.212/-159.081
m,56,560,47.0/-30.647/35.583/-30.93,62.472/-335.492/-154.454
m,57,570,47.0/-30.387/35.567/-30.907,63.037/-334.983/-155.477
m,58,580,46.8/-30.366/35.553/-31.126,61.41/-334.768/-154.502
m,59,590,46.0/-30.345/35.538/-31.86,55.037/-334.262/-151.09
m,60,600,45.8/-30.324/35.523/-32.081,53.405/-333.993/-150.118
m,61,610,45.0/-30.303/35.508/-32.812,47.038/-333.307/-146.759
m,62,620,45.0/-30.033/35.491/-33.035,47.014/-332.373/-146.663
m,63,630,44.8/-30.01/35.476/-33.763,44.125/-331.1/-143.366
m,64,640,44.0/-29.237/35.463/-33.988,40.362/-329.875/-145.035
m,65,650,44.0/-29.214/35.447/-33.964,40.499/-329.846/-145.22
m,66,660,43.8/-28.445/35.435/-34.686,38.93/-327.236/-144.582
m,67,670,43.0/-28.427/35.411/-34.66,34.512/-327.718/-144.753
m,68,680,43.0/-28.405/35.395/-34.633,34.659/-327.696/-144.944
m,69,690,42.146/-29.129/35.366/-35.348,26.694/-327.874/-139.168
m,70,700,42.15/-29.105/35.348/-35.319,26.872/-327.856/-139.376
m,71,710,42.0/-28.82/35.328/-36.028,24.765/-325.942/-137.167
m,72,720,41.224/-28.062/35.307/-36.26,21.174/-324.506/-138.749
m,73,730,41.16/-28.032/35.298/-36.231,20.967/-324.526/-138.98
m,74,740,41.0/-28.007/35.28/-36.934,18.312/-323.0/-135.93
m,75,750,41.0/-26.987/35.254/-36.902,20.312/-321.405/-139.564
m,76,760,40.245/-26.962/35.236/-37.869,13.578/-319.46/-135.392
m,77,770,40.0/-26.665/35.213/-37.837,12.898/-319.085/-136.539
m,78,780,40.0/-26.637/35.194/-38.077,12.346/-318.47/-135.576
m,79,790,39.277/-26.334/35.171/-38.77,7.061/-316.528/-133.598
m,80,800,39.0/-25.581/35.159/-39.013,6.269/-314.863/-135.098
m,81,810,39.0/-25.553/35.139/-38.981,6.462/-314.852/-135.32
