r,sequence,timestamp,deg,endpoint
m,0,0,18.29/-32.184/22.53/-9.528,609.348/145.616/-250.0
m,1,10,18.208/-32.415/22.564/-9.703,608.774/143.473/-252.298
m,2,20,18.131/-32.617/22.598/-9.868,608.283/141.473/-254.288
m,3,30,18.058/-32.793/22.632/-10.023,607.873/139.61/-255.985
m,4,40,17.99/-32.943/22.666/-10.17,607.546/137.876/-257.404
m,5,50,17.925/-33.069/22.699/-10.307,607.3/136.265/-258.558
m,6,60,17.863/-33.171/22.732/-10.436,607.133/134.767/-259.462
m,7,70,17.804/-33.251/22.765/-10.556,607.044/133.377/-260.127
m,8,80,17.747/-33.31/22.798/-10.668,607.03/132.085/-260.569
m,9,90,17.693/-33.35/22.83/-10.772,607.088/130.885/-260.799
m,10,100,17.64/-33.371/22.863/-10.868,607.215/129.768/-260.832
m,11,110,17.588/-33.374/22.895/-10.958,607.407/128.727/-260.679
m,12,120,17.536/-33.362/22.927/-11.04,607.661/127.754/-260.354
m,13,130,17.485/-33.334/22.959/-11.115,607.973/126.841/-259.87
m,14,140,17.433/-33.293/22.991/-11.183,608.338/125.979/-259.238
m,15,150,17.381/-33.239/23.023/-11.245,608.754/125.162/-258.472
m,16,160,17.328/-33.173/23.054/-11.301,609.214/124.381/-257.585
m,17,170,17.273/-33.098/23.086/-11.352,609.716/123.629/-256.588
m,18,180,17.216/-33.013/23.117/-11.396,610.255/122.896/-255.495
m,19,190,17.157/-32.92/23.148/-11.436,610.826/122.176/-254.318
m,20,200,17.095/-32.821/23.179/-11.47,611.425/121.463/-253.069
m,21,210,17.031/-32.716/23.21/-11.5,612.046/120.758/-251.762
m,22,220,16.965/-32.607/23.241/-11.525,612.681/120.065/-250.408
m,23,230,16.899/-32.494/23.271/-11.546,613.326/119.388/-249.021
m,24,240,16.832/-32.38/23.302/-11.563,613.973/118.731/-247.613
m,25,250,16.766/-32.265/23.332/-11.576,614.616/118.098/-246.196
m,26,260,16.701/-32.15/23.362/-11.586,615.25/117.494/-244.785
m,27,270,16.637/-32.037/23.392/-11.592,615.868/116.922/-243.391
m,28,280,16.576/-31.927/23.422/-11.596,616.465/116.388/-242.027
m,29,290,16.519/-31.821/23.452/-11.597,617.035/115.895/-240.707
m,30,300,16.465/-31.719/23.482/-11.596,617.573/115.448/-239.442
m,31,310,16.415/-31.625/23.512/-11.592,618.072/115.051/-238.248
m,32,320,16.37/-31.537/23.541/-11.586,618.528/114.709/-237.135
m,33,330,16.332/-31.459/23.571/-11.579,618.935/114.428/-236.117
m,34,340,16.299/-31.39/23.6/-11.571,619.288/114.21/-235.208
m,35,350,16.274/-31.332/23.63/-11.561,619.581/114.061/-234.421
m,36,360,16.256/-31.287/23.659/-11.551,619.81/113.987/-233.767
m,37,370,16.247/-31.255/23.688/-11.54,619.968/113.99/-233.262
m,38,380,16.247/-31.238/23.717/-11.529,620.05/114.076/-232.916
m,39,390,16.256/-31.236/23.747/-11.517,620.052/114.246/-232.744
m,40,400,16.274/-31.251/23.776/-11.506,619.973/114.492/-232.752
m,41,410,16.3/-31.283/23.805/-11.496,619.811/114.801/-232.947
m,42,420,16.333/-31.333/23.833/-11.486,619.565/115.161/-233.336
m,43,430,16.372/-31.401/23.862/-11.477,619.236/115.559/-233.927
m,44,440,16.416/-31.489/23.891/-11.469,618.821/115.983/-234.724
m,45,450,16.464/-31.595/23.92/-11.463,618.319/116.422/-235.736
m,46,460,16.516/-31.722/23.948/-11.459,617.73/116.861/-236.969
m,47,470,16.57/-31.87/23.977/-11.457,617.05/117.289/-238.428
m,48,480,16.626/-32.04/24.006/-11.457,616.278/117.692/-240.12
m,49,490,16.682/-32.231/24.034/-11.459,615.412/118.058/-242.051
m,50,500,16.738/-32.446/24.063/-11.465,614.449/118.374/-244.228
m,51,510,16.793/-32.684/24.091/-11.473,613.387/118.627/-246.655
m,52,520,16.846/-32.946/24.12/-11.485,612.221/118.803/-249.338
m,53,530,16.896/-33.233/24.148/-11.501,610.948/118.891/-252.282
m,54,540,16.942/-33.545/24.177/-11.52,609.564/118.876/-255.493
m,55,550,16.983/-33.883/24.205/-11.544,608.065/118.746/-258.976
m,56,560,17.018/-34.247/24.234/-11.572,606.445/118.487/-262.734
m,57,570,17.046/-34.639/24.262/-11.604,604.699/118.086/-266.772
m,58,580,17.068/-35.029/24.291/-11.642,602.956/117.571/-270.771
m,59,590,17.08/-35.266/24.319/-11.685,601.907/117.145/-273.133
m,60,600,17.083/-35.169/24.348/-11.733,602.393/117.055/-271.942
m,61,610,17.076/-34.559/24.376/-11.787,605.199/117.531/-265.262
m,62,620,17.058/-33.254/24.405/-11.847,610.914/118.738/-251.066
m,63,630,17.028/-31.154/24.433/-11.913,619.426/120.625/-228.06
m,64,640,16.985/-28.482/24.462/-11.985,629.079/122.663/-198.39
m,65,650,16.928/-25.54/24.49/-12.065,638.18/124.315/-165.252
m,66,660,16.856/-22.63/24.519/-12.151,645.6/125.221/-132.062
m,67,670,16.768/-20.001/24.547/-12.245,650.962/125.256/-101.769
m,68,680,16.664/-17.678/24.576/-12.346,654.648/124.529/-74.814
m,69,690,16.542/-15.631/24.604/-12.455,657.09/123.163/-50.952
m,70,700,16.401/-13.83/24.633/-12.572,658.629/121.253/-29.903
m,71,710,16.242/-12.246/24.662/-12.698,659.529/118.869/-11.357
m,72,720,16.062/-10.848/24.691/-12.832,659.986/116.063/5.011
m,73,730,15.861/-9.608/24.719/-12.975,660.143/112.867/19.537
m,74,740,15.638/-8.495/24.748/-13.127,660.095/109.301/32.561
m,75,750,15.392/-7.48/24.777/-13.288,659.899/105.372/44.428
m,76,760,15.122/-6.538/24.806/-13.459,659.588/101.088/55.428
m,77,770,14.831/-5.661/24.835/-13.64,659.184/96.479/65.638
m,78,780,14.519/-4.848/24.864/-13.828,658.709/91.581/75.086
m,79,790,14.19/-4.097/24.894/-14.025,658.183/86.427/83.796
m,80,800,13.844/-3.405/24.923/-14.23,657.62/81.051/91.795
m,81,810,13.485/-2.771/24.952/-14.442,657.033/75.484/99.112
m,82,820,13.113/-2.191/24.982/-14.66,656.433/69.756/105.772
m,83,830,12.731/-1.665/25.011/-14.884,655.828/63.897/111.803
m,84,840,12.341/-1.19/25.041/-15.115,655.226/57.935/117.232
m,85,850,11.944/-0.764/25.07/-15.35,654.63/51.896/122.086
m,86,860,11.543/-0.384/25.1/-15.59,654.046/45.806/126.393
m,87,870,11.14/-0.05/25.13/-15.834,653.475/39.693/130.179
m,88,880,10.737/0.243/25.16/-16.082,652.919/33.579/133.471
m,89,890,10.335/0.495/25.19/-16.333,652.381/27.491/136.294
m,90,900,9.936/0.709/25.22/-16.586,651.86/21.452/138.676
m,91,910,9.543/0.886/25.251/-16.842,651.358/15.485/140.642
m,92,920,9.157/1.03/25.281/-17.1,650.874/9.616/142.217
m,93,930,8.781/1.141/25.312/-17.358,650.408/3.866/143.428
m,94,940,8.416/1.223/25.342/-17.617,649.961/-1.741/144.299
m,95,950,8.069/1.278/25.373/-17.877,649.533/-7.134/144.856
m,96,960,7.761/1.306/25.404/-18.136,649.13/-12.057/145.124
m,97,970,7.52/1.312/25.435/-18.394,648.766/-16.207/145.128
m,98,980,7.373/1.296/25.466/-18.651,648.459/-19.281/144.892
m,99,990,7.346/1.261/25.497/-18.906,648.23/-20.976/144.441
m,100,1000,7.452/1.209/25.529/-19.159,648.09/-21.142/143.8
m,101,1010,7.651/1.142/25.561/-19.408,648.019/-20.237/142.993
m,102,1020,7.889/1.062/25.592/-19.655,647.99/-18.871/142.044
m,103,1030,8.112/0.971/25.624/-19.898,647.98/-17.653/140.979
m,104,1040,8.276/0.872/25.656/-20.136,647.97/-17.071/139.821
m,105,1050,8.38/0.767/25.689/-20.369,647.958/-17.132/138.595
m,106,1060,8.435/0.657/25.721/-20.598,647.941/-17.723/137.325
m,107,1070,8.45/0.545/25.753/-20.82,647.917/-18.731/136.036
m,108,1080,8.435/0.433/25.786/-21.036,647.882/-20.041/134.751
m,109,1090,8.401/0.323/25.819/-21.245,647.835/-21.539/133.494
m,110,1100,8.356/0.217/25.852/-21.447,647.774/-23.114/132.291
m,111,1110,8.311/0.118/25.885/-21.641,647.698/-24.65/131.165
m,112,1120,8.275/0.027/25.919/-21.827,647.61/-26.035/130.14
m,113,1130,8.258/-0.054/25.953/-22.003,647.512/-27.174/129.236
m,114,1140,8.259/-0.125/25.986/-22.171,647.405/-28.052/128.453
m,115,1150,8.278/-0.186/26.02/-22.328,647.295/-28.675/127.788
m,116,1160,8.315/-0.238/26.055/-22.476,647.182/-29.047/127.235
m,117,1170,8.369/-0.281/26.089/-22.612,647.068/-29.172/126.791
m,118,1180,8.439/-0.315/26.124/-22.737,646.957/-29.055/126.451
m,119,1190,8.524/-0.342/26.158/-22.851,646.848/-28.702/126.212
m,120,1200,8.625/-0.361/26.193/-22.952,646.744/-28.116/126.069
m,121,1210,8.74/-0.373/26.229/-23.04,646.644/-27.303/126.018
m,122,1220,8.868/-0.378/26.264/-23.115,646.549/-26.267/126.056
m,123,1230,9.009/-0.376/26.3/-23.176,646.46/-25.013/126.177
m,124,1240,9.163/-0.369/26.336/-23.223,646.376/-23.546/126.378
m,125,1250,9.328/-0.356/26.372/-23.254,646.298/-21.87/126.655
m,126,1260,9.505/-0.338/26.408/-23.271,646.224/-19.989/127.003
m,127,1270,9.692/-0.316/26.445/-23.272,646.155/-17.909/127.419
m,128,1280,9.888/-0.289/26.482/-23.256,646.088/-15.633/127.899
m,129,1290,10.094/-0.259/26.519/-23.224,646.024/-13.167/128.438
m,130,1300,10.308/-0.225/26.556/-23.174,645.962/-10.514/129.032
m,131,1310,10.529/-0.188/26.594/-23.106,645.899/-7.68/129.677
m,132,1320,10.758/-0.149/26.632/-23.021,645.835/-4.668/130.368
m,133,1330,10.993/-0.108/26.67/-22.916,645.768/-1.483/131.103
m,134,1340,11.235/-0.065/26.708/-22.792,645.696/1.871/131.875
m,135,1350,11.481/-0.021/26.747/-22.648,645.619/5.39/132.682
m,136,1360,11.732/0.024/26.786/-22.484,645.533/9.068/133.519
m,137,1370,11.986/0.07/26.825/-22.299,645.438/12.903/134.38
m,138,1380,12.244/0.115/26.864/-22.092,645.332/16.89/135.262
m,139,1390,12.504/0.16/26.904/-21.864,645.212/21.024/136.161
m,140,1400,12.767/0.205/26.944/-21.614,645.077/25.302/137.071
m,141,1410,13.03/0.248/26.984/-21.341,644.924/29.72/137.988
m,142,1420,13.294/0.289/27.025/-21.044,644.752/34.272/138.907
m,143,1430,13.558/0.328/27.066/-20.724,644.558/38.956/139.822
m,144,1440,13.822/0.364/27.107/-20.379,644.341/43.767/140.73
