r,sequence,timestamp,deg,endpoint
m,0,0,65.0/-38.971/47.055/-36.846,122.339/-343.583/-97.676
m,1,10,65.0/-38.925/46.993/-36.651,123.1/-343.488/-98.717
m,2,20,65.0/-38.885/46.932/-36.473,123.8/-343.393/-99.663
m,3,30,65.0/-38.851/46.873/-36.309,124.441/-343.299/-100.516
m,4,40,65.0/-38.823/46.815/-36.161,125.026/-343.206/-101.28
m,5,50,65.0/-38.8/46.76/-36.026,125.557/-343.116/-101.957
m,6,60,65.0/-38.783/46.705/-35.905,126.034/-343.028/-102.55
m,7,70,65.0/-38.771/46.653/-35.798,126.461/-342.943/-103.061
m,8,80,65.0/-38.764/46.603/-35.704,126.839/-342.86/-103.494
m,9,90,65.0/-38.762/46.554/-35.622,127.169/-342.78/-103.85
m,10,100,65.0/-38.764/46.507/-35.553,127.454/-342.703/-104.134
m,11,110,65.0/-38.77/46.462/-35.495,127.696/-342.63/-104.347
m,12,120,65.0/-38.78/46.419/-35.449,127.895/-342.559/-104.493
m,13,130,65.0/-38.794/46.378/-35.413,128.053/-342.492/-104.574
m,14,140,65.0/-38.811/46.339/-35.388,128.173/-342.428/-104.594
m,15,150,65.0/-38.831/46.302/-35.373,128.256/-342.366/-104.555
m,16,160,65.0/-38.855/46.267/-35.367,128.303/-342.308/-104.461
m,17,170,65.0/-38.881/46.234/-35.371,128.316/-342.253/-104.314
m,18,180,66.0/-38.91/46.203/-35.383,134.249/-339.909/-104.117
m,19,190,66.0/-38.941/46.174/-35.404,134.198/-339.86/-103.873
m,20,200,66.0/-38.974/46.148/-35.432,134.117/-339.814/-103.586
m,21,210,67.0/-39.009/46.124/-35.0,141.41/-337.727/-105.377
m,22,220,67.0/-39.045/46.102/-35.0,141.411/-337.724/-105.206
m,23,230,68.0/-39.083/46.082/-34.0,150.424/-335.876/-109.598
m,24,240,68.0/-39.122/46.064/-34.0,150.417/-335.894/-109.418
m,25,250,69.0/-39.162/46.049/-33.0,159.323/-333.828/-113.859
m,26,260,70.0/-39.202/46.036/-32.0,168.123/-331.536/-118.352
