r,sequence,timestamp,deg,endpoint
m,0,0,-3.0/-13.976/18.558/-7.0,-108.971/-312.34/-320.174
m,1,10,-3.0/-13.957/18.572/-7.0,-108.873/-312.346/-320.205
m,2,20,-2.999/-13.936/18.586/-7.0,-108.762/-312.353/-320.241
m,3,30,-2.997/-13.935/18.594/-6.999,-108.748/-312.357/-320.247
m,4,40,-2.994/-13.965/18.592/-6.998,-108.898/-312.354/-320.203
m,5,50,-2.991/-14.016/18.584/-6.997,-109.161/-312.346/-320.125
m,6,60,-2.987/-14.054/18.572/-6.996,-109.346/-312.344/-320.069
m,7,70,-2.982/-14.06/18.563/-6.995,-109.346/-312.352/-320.067
m,8,80,-2.977/-14.044/18.559/-6.993,-109.224/-312.369/-320.102
m,9,90,-2.971/-14.035/18.563/-6.991,-109.14/-312.384/-320.128
m,10,100,-2.964/-14.06/18.577/-6.989,-109.249/-312.392/-320.099
m,11,110,-2.957/-14.115/18.599/-6.987,-109.532/-312.39/-320.023
m,12,120,-2.948/-14.185/18.626/-6.984,-109.896/-312.386/-319.924
m,13,130,-2.94/-14.235/18.656/-6.982,-110.148/-312.388/-319.859
m,14,140,-2.931/-14.26/18.686/-6.979,-110.259/-312.4/-319.834
m,15,150,-2.921/-14.267/18.714/-6.972,-110.258/-312.422/-319.864
m,16,160,-2.909/-14.278/18.735/-6.968,-110.267/-312.443/-319.869
m,17,170,-2.898/-14.29/18.755/-6.964,-110.283/-312.464/-319.873
m,18,180,-2.885/-14.301/18.78/-6.959,-110.296/-312.486/-319.879
m,19,190,-2.874/-14.293/18.805/-6.955,-110.2/-312.513/-319.92
m,20,200,-2.861/-14.277/18.83/-6.95,-110.056/-312.545/-319.973
m,21,210,-2.839/-14.262/18.856/-6.945,-109.869/-312.593/-320.028
m,22,220,-2.824/-14.27/18.874/-6.94,-109.845/-312.623/-320.043
m,23,230,-2.81/-14.299/18.881/-6.934,-109.929/-312.646/-320.027
m,24,240,-2.796/-14.354/18.877/-6.929,-110.153/-312.662/-319.967
m,25,250,-1.779/-14.546/18.937/-6.923,-105.698/-314.537/-319.683
m,26,260,-1.762/-14.572/18.941/-6.917,-105.747/-314.569/-319.674
m,27,270,-0.755/-14.723/19.006/-6.91,-101.087/-316.37/-319.459
m,28,280,-0.738/-14.714/19.031/-6.904,-100.955/-316.407/-319.511
m,29,290,-0.705/-14.704/19.073/-6.897,-100.748/-316.468/-319.568
m,30,300,-1.671/-14.579/19.05/-6.89,-105.347/-314.751/-319.817
m,31,310,-0.649/-14.775/19.123/-6.883,-100.861/-316.571/-319.529
m,32,320,-0.627/-14.827/19.135/-6.875,-101.036/-316.612/-319.482
m,33,330,0.37/-15.93/19.107/-6.867,-101.617/-318.367/-317.587
m,34,340,0.414/-16.089/18.314/-6.86,-101.722/-318.453/-317.317
m,35,350,0.438/-16.092/18.373/-6.851,-101.648/-318.501/-317.357
m,36,360,0.492/-15.366/17.679/-6.843,-96.851/-318.565/-318.675
m,37,370,0.519/-15.445/17.705/-6.835,-97.156/-318.619/-318.586
m,38,380,0.565/-15.514/17.714/-6.826,-97.292/-318.706/-318.513
m,39,390,0.582/-16.311/18.477/-6.817,-102.114/-318.792/-317.152
m,40,400,1.0/-16.276/18.529/-6.808,-99.626/-319.531/-317.268
m,41,410,1.64/-16.37/18.611/-6.799,-96.625/-320.647/-317.147
m,42,420,1.675/-16.54/17.822/-6.789,-96.846/-320.725/-316.869
m,43,430,2.0/-17.448/17.765/-6.779,-99.991/-321.448/-315.202
m,44,440,2.728/-17.535/17.809/-6.769,-96.403/-322.724/-315.088
m,45,450,2.842/-17.696/16.982/-6.759,-96.102/-322.938/-314.832
m,46,460,3.0/-16.842/17.189/-6.749,-90.652/-322.97/-316.523
m,47,470,4.111/-16.946/17.04/-6.739,-84.845/-324.707/-316.387
m,48,480,4.185/-16.73/17.954/-6.728,-83.831/-324.78/-316.858
m,49,490,5.475/-17.68/17.633/-6.717,-81.501/-327.072/-315.096
m,50,500,5.575/-16.74/17.881/-6.706,-75.935/-326.733/-316.959
m,51,510,6.853/-16.939/16.849/-6.695,-69.051/-328.403/-316.643
m,52,520,6.883/-16.056/17.135/-6.683,-64.203/-327.882/-318.332
m,53,530,6.823/-16.039/17.193/-6.672,-64.487/-327.817/-318.427
m,54,540,7.845/-15.878/18.091/-6.66,-58.319/-328.879/-318.799
m,55,550,7.94/-16.779/17.966/-6.648,-62.641/-329.662/-317.211
m,56,560,9.16/-16.675/17.942/-6.636,-55.02/-330.835/-317.472
m,57,570,9.493/-16.773/17.029/-6.623,-53.051/-331.148/-317.35
