r,sequence,timestamp,deg,endpoint
m,0,0,5.538/0.0/44.395/-25.386,587.119/-80.907/202.257
m,1,10,5.79/0.0/44.416/-25.216,587.6/-77.446/202.615
m,2,20,6.02/0.0/44.435/-25.048,588.032/-74.218/202.963
m,3,30,6.229/0.0/44.454/-24.884,588.418/-71.222/203.301
m,4,40,6.418/0.0/44.471/-24.723,588.763/-68.457/203.627
m,5,50,6.585/0.0/44.487/-24.567,589.07/-65.919/203.942
m,6,60,6.734/0.0/44.503/-24.416,589.342/-63.609/204.243
m,7,70,6.863/0.0/44.517/-24.27,589.581/-61.524/204.531
m,8,80,6.973/0.0/44.531/-24.131,589.79/-59.662/204.803
m,9,90,7.065/0.0/44.543/-23.998,589.972/-58.021/205.06
m,10,100,7.14/0.0/44.555/-23.873,590.127/-56.6/205.301
m,11,110,7.197/0.0/44.565/-23.757,590.258/-55.397/205.524
m,12,120,7.238/0.0/44.575/-23.648,590.365/-54.409/205.729
m,13,130,7.263/0.0/44.583/-23.549,590.451/-53.635/205.915
m,14,140,7.272/0.0/44.591/-23.46,590.516/-53.072/206.081
m,15,150,7.267/0.0/44.597/-23.382,590.56/-52.72/206.227
m,16,160,7.246/0.0/44.602/-23.314,590.584/-52.575/206.351
m,17,170,7.212/0.0/44.607/-23.259,590.588/-52.636/206.453
m,18,180,7.164/0.0/44.61/-23.216,590.571/-52.9/206.532
m,19,190,7.104/0.0/44.612/-23.185,590.535/-53.366/206.587
m,20,200,7.031/0.0/44.613/-23.169,590.477/-54.03/206.617
m,21,210,6.946/0.0/44.614/-23.166,590.398/-54.892/206.621
m,22,220,6.85/0.0/44.613/-23.179,590.297/-55.949/206.599
m,23,230,6.743/0.0/44.611/-23.207,590.172/-57.198/206.549
m,24,240,6.625/0.0/44.608/-23.251,590.022/-58.637/206.47
m,25,250,6.498/0.0/44.604/-23.311,589.845/-60.264/206.361
m,26,260,6.362/0.0/44.599/-23.389,589.641/-62.076/206.221
m,27,270,6.217/0.0/44.592/-23.485,589.407/-64.071/206.049
m,28,280,6.064/0.0/44.585/-23.599,589.141/-66.247/205.843
m,29,290,5.903/0.0/44.577/-23.733,588.84/-68.6/205.602
m,30,300,5.734/0.0/44.567/-23.886,588.504/-71.128/205.325
m,31,310,5.56/0.0/44.557/-24.06,588.128/-73.828/205.011
m,32,320,5.379/0.0/44.545/-24.254,587.711/-76.697/204.656
m,33,330,5.192/0.0/44.532/-24.47,587.25/-79.733/204.261
m,34,340,5.001/0.0/44.518/-24.709,586.741/-82.931/203.822
m,35,350,4.805/0.0/44.503/-24.97,586.182/-86.29/203.338
m,36,360,4.605/0.0/44.487/-25.254,585.571/-89.804/202.808
m,37,370,4.401/0.0/44.47/-25.561,584.905/-93.461/202.232
m,38,380,4.194/0.0/44.452/-25.887,584.184/-97.249/201.611
m,39,390,3.985/0.0/44.432/-26.233,583.409/-101.154/200.947
m,40,400,3.773/0.0/44.412/-26.597,582.578/-105.163/200.241
m,41,410,3.559/0.0/44.39/-26.977,581.694/-109.263/199.494
m,42,420,3.344/0.0/44.367/-27.372,580.754/-113.442/198.709
m,43,430,3.128/0.0/44.343/-27.78,579.762/-117.686/197.887
m,44,440,2.911/0.0/44.318/-28.2,578.718/-121.982/197.029
m,45,450,2.694/0.0/44.292/-28.63,577.624/-126.319/196.137
m,46,460,2.477/0.0/44.264/-29.069,576.482/-130.682/195.215
m,47,470,2.261/0.0/44.235/-29.516,575.294/-135.06/194.262
m,48,480,2.047/0.0/44.206/-29.97,574.064/-139.44/193.283
m,49,490,1.833/0.0/44.175/-30.427,572.794/-143.811/192.28
m,50,500,1.622/0.0/44.143/-30.889,571.488/-148.16/191.254
m,51,510,1.413/0.0/44.109/-31.351,570.151/-152.475/190.209
m,52,520,1.207/0.0/44.075/-31.815,568.786/-156.746/189.148
m,53,530,1.005/0.0/44.039/-32.277,567.4/-160.961/188.074
m,54,540,0.806/0.0/44.002/-32.737,565.995/-165.11/186.99
m,55,550,0.611/0.0/43.964/-33.195,564.577/-169.185/185.896
