r,sequence,timestamp,deg,endpoint
m,0,0,19.8/42.6/2.0/-32.911,211.776/-209.282/-148.559
m,1,10,19.8/42.599/2.0/-32.91,211.775/-209.285/-148.562
m,2,20,19.799/42.598/2.0/-32.908,211.775/-209.293/-148.572
m,3,30,19.798/42.595/2.001/-32.905,211.776/-209.306/-148.59
m,4,40,19.796/42.591/2.001/-32.901,211.778/-209.325/-148.615
m,5,50,19.793/42.587/2.002/-32.894,211.781/-209.349/-148.647
m,6,60,19.79/42.581/2.003/-32.887,211.784/-209.379/-148.687
m,7,70,19.787/42.574/2.004/-32.878,211.789/-209.414/-148.734
m,8,80,19.782/42.566/2.005/-32.868,211.793/-209.454/-148.788
m,9,90,19.778/42.557/2.006/-32.857,211.798/-209.5/-148.848
m,10,100,19.773/42.547/2.008/-32.845,211.802/-209.55/-148.915
m,11,110,19.767/42.536/2.009/-32.831,211.807/-209.606/-148.988
m,12,120,19.761/42.524/2.011/-32.816,211.813/-209.666/-149.069
m,13,130,19.754/42.511/2.013/-32.8,211.82/-209.733/-149.158
m,14,140,19.747/42.497/2.015/-32.782,211.828/-209.804/-149.253
m,15,150,19.739/42.482/2.017/-32.763,211.836/-209.88/-149.355
m,16,160,19.731/42.466/2.02/-32.743,211.845/-209.961/-149.463
m,17,170,19.722/42.448/2.022/-32.722,211.853/-210.048/-149.578
m,18,180,19.713/42.43/2.025/-32.699,211.862/-210.139/-149.7
m,19,190,19.703/42.411/2.028/-32.676,211.871/-210.235/-149.828
m,20,200,19.693/42.391/2.031/-32.651,211.881/-210.335/-149.963
m,21,210,19.682/42.37/2.034/-32.624,211.891/-210.441/-150.104
m,22,220,19.671/42.349/2.037/-32.597,211.901/-210.551/-150.252
m,23,230,19.659/42.326/2.041/-32.569,211.912/-210.667/-150.407
m,24,240,18.859/42.302/2.048/-32.538,208.999/-213.686/-150.577
m,25,250,18.847/42.277/2.052/-32.507,209.011/-213.807/-150.745
m,26,260,18.048/42.252/2.061/-32.475,206.063/-216.785/-150.93
m,27,270,18.037/42.226/2.065/-32.442,206.078/-216.912/-151.111
m,28,280,18.025/42.198/2.07/-32.407,206.093/-217.044/-151.299
m,29,290,18.013/42.17/2.075/-32.372,206.109/-217.18/-151.493
m,30,300,18.0/42.141/2.08/-32.335,206.125/-217.32/-151.694
m,31,310,17.206/42.111/2.092/-32.296,203.151/-220.258/-151.916
m,32,320,17.194/42.08/2.098/-32.257,203.17/-220.403/-152.13
m,33,330,17.181/42.048/2.104/-33.0,200.042/-219.059/-149.708
m,34,340,16.391/42.016/2.118/-32.957,197.064/-221.914/-149.951
m,35,350,16.379/41.982/2.125/-32.914,197.091/-222.07/-150.186
m,36,360,16.367/41.948/2.132/-32.09,200.23/-223.755/-153.066
m,37,370,15.581/41.913/2.148/-32.045,197.201/-226.602/-153.33
m,38,380,15.569/41.877/2.156/-31.999,197.227/-226.763/-153.584
m,39,390,15.558/41.84/2.164/-32.729,194.179/-225.375/-151.208
m,40,400,14.777/41.803/2.182/-32.679,191.153/-228.139/-151.496
m,41,410,14.766/41.765/2.191/-32.629,191.189/-228.31/-151.77
m,42,420,14.755/41.725/2.2/-32.578,191.224/-228.485/-152.049
m,43,430,13.979/41.686/2.221/-32.525,188.176/-231.2/-152.357
m,44,440,13.969/41.645/2.231/-33.242,185.22/-229.717/-150.044
m,45,450,13.198/41.605/2.253/-33.186,182.177/-232.35/-150.368
m,46,460,13.189/41.562/2.264/-33.129,182.227/-232.535/-150.675
m,47,470,12.421/40.753/2.288/-32.305,180.071/-237.292/-155.297
m,48,480,12.414/40.71/2.3/-32.247,180.119/-237.473/-155.613
m,49,490,12.404/39.903/2.311/-32.953,175.266/-236.388/-154.922
m,50,500,11.643/39.862/2.337/-32.891,172.172/-238.874/-155.274
m,51,510,11.637/39.818/2.35/-33.59,169.423/-237.269/-152.971
m,52,520,10.88/39.776/2.377/-33.525,166.341/-239.677/-153.339
m,53,530,10.875/39.731/2.391/-33.46,166.411/-239.878/-153.686
m,54,540,10.12/38.931/2.417/-32.636,163.998/-244.463/-158.269
m,55,550,10.117/38.886/2.432/-33.325,161.364/-242.811/-155.967
m,56,560,10.114/38.841/2.447/-33.257,161.441/-243.018/-156.33
m,57,570,11.0/38.798/2.478/-33.938,162.539/-238.86/-154.098
m,58,580,10.0/38.0/2.49/-33.866,156.449/-242.224/-155.948
m,59,590,10.0/37.958/2.522/-33.792,156.52/-242.445/-156.357
m,60,600,10.0/37.164/2.534/-33.717,154.606/-243.016/-158.183
m,61,610,9.0/37.119/2.55/-33.642,150.435/-245.899/-158.572
m,62,620,9.0/37.076/2.584/-34.308,147.97/-244.184/-156.343
m,63,630,8.0/36.288/2.596/-34.229,141.778/-247.248/-158.122
m,64,640,8.0/36.247/2.63/-34.148,141.85/-247.495/-158.558
m,65,650,7.0/35.462/2.642/-33.329,137.958/-252.44/-163.012
m,66,660,7.0/35.422/2.676/-33.984,135.646/-250.679/-160.754
m,67,670,7.0/34.642/2.688/-33.901,133.699/-251.179/-162.484
m,68,680,6.226/34.598/2.707/-34.55,128.096/-251.151/-160.213
m,69,690,6.0/33.827/2.734/-34.463,125.151/-252.138/-161.921
m,70,700,5.298/33.055/2.746/-34.375,120.104/-254.11/-163.578
m,71,710,5.0/33.019/2.781/-33.558,121.013/-257.096/-166.773
m,72,720,4.386/32.252/2.792/-33.47,116.245/-258.803/-168.427
m,73,730,4.0/31.493/2.818/-34.104,110.406/-257.893/-167.299
m,74,740,3.471/30.733/2.829/-34.012,106.018/-259.312/-168.88
m,75,750,3.0/30.701/2.864/-34.638,102.004/-258.298/-166.583
m,76,760,3.0/29.946/2.874/-34.543,100.03/-258.705/-168.12
m,77,770,2.574/29.195/2.885/-34.446,96.113/-259.837/-169.632
m,78,780,2.0/29.167/2.919/-33.635,95.416/-263.258/-172.913
m,79,790,2.0/28.421/2.929/-33.538,93.376/-263.627/-174.419
m,80,800,1.699/28.389/2.95/-33.441,92.078/-264.411/-174.887
m,81,810,1.0/27.655/2.973/-34.05,85.068/-263.693/-173.555
m,82,820,1.0/26.919/2.983/-33.948,83.046/-264.045/-174.997
m,83,830,0.826/26.89/3.004/-33.846,82.34/-264.613/-175.481
m,84,840,0.831/26.16/3.014/-33.042,81.956/-267.087/-179.754
m,85,850,0.837/25.433/3.024/-32.94,79.901/-267.419/-181.163
m,86,860,0.854/25.408/3.046/-32.837,80.079/-267.704/-181.651
