r,sequence,timestamp,deg,endpoint
m,0,0,25.601/-41.662/28.493/-20.666,560.996/143.566/-314.161
m,1,10,25.313/-41.443/28.319/-20.658,562.6/141.213/-312.885
m,2,20,25.027/-41.227/28.152/-20.652,564.185/138.856/-311.583
m,3,30,24.744/-41.012/27.993/-20.648,565.752/136.497/-310.254
m,4,40,24.463/-40.798/27.842/-20.645,567.301/134.136/-308.899
m,5,50,24.184/-40.587/27.698/-20.644,568.833/131.773/-307.518
m,6,60,23.907/-40.377/27.562/-20.645,570.346/129.408/-306.112
m,7,70,23.632/-40.169/27.433/-20.648,571.841/127.041/-304.681
m,8,80,23.359/-39.962/27.311/-20.652,573.319/124.674/-303.225
m,9,90,23.089/-39.757/27.196/-20.658,574.778/122.306/-301.745
m,10,100,22.82/-39.554/27.089/-20.666,576.219/119.938/-300.241
m,11,110,22.554/-39.352/26.988/-20.675,577.643/117.57/-298.714
m,12,120,22.29/-39.151/26.894/-20.686,579.048/115.202/-297.164
m,13,130,22.028/-38.952/26.806/-20.698,580.436/112.835/-295.591
m,14,140,21.768/-38.755/26.725/-20.712,581.805/110.469/-293.995
m,15,150,21.511/-38.558/26.651/-20.727,583.157/108.105/-292.378
m,16,160,21.255/-38.364/26.583/-20.744,584.49/105.742/-290.739
m,17,170,21.002/-38.17/26.521/-20.762,585.806/103.381/-289.078
m,18,180,20.75/-37.978/26.465/-20.782,587.104/101.023/-287.397
m,19,190,20.501/-37.787/26.415/-20.803,588.383/98.667/-285.694
m,20,200,20.254/-37.598/26.371/-20.825,589.645/96.314/-283.972
m,21,210,20.009/-37.409/26.333/-20.848,590.888/93.965/-282.23
m,22,220,19.766/-37.222/26.301/-20.873,592.113/91.619/-280.468
m,23,230,19.525/-37.037/26.274/-20.899,593.321/89.277/-278.687
m,24,240,19.286/-36.852/26.252/-20.927,594.51/86.939/-276.887
m,25,250,19.049/-36.668/26.236/-20.955,595.681/84.606/-275.068
m,26,260,18.814/-36.486/26.225/-20.985,596.834/82.278/-273.231
m,27,270,18.582/-36.304/26.219/-21.016,597.969/79.954/-271.377
m,28,280,18.351/-36.124/26.218/-21.048,599.085/77.636/-269.504
m,29,290,18.123/-35.945/26.223/-21.081,600.184/75.324/-267.615
m,30,300,17.896/-35.767/26.231/-21.115,601.264/73.018/-265.709
m,31,310,17.671/-35.589/26.245/-21.15,602.327/70.718/-263.786
m,32,320,17.449/-35.413/26.263/-21.186,603.371/68.424/-261.848
m,33,330,17.228/-35.237/26.286/-21.223,604.397/66.138/-259.893
m,34,340,17.01/-35.063/26.312/-21.261,605.405/63.858/-257.923
m,35,350,16.793/-34.889/26.344/-21.3,606.395/61.586/-255.938
m,36,360,16.579/-34.716/26.379/-21.34,607.367/59.322/-253.938
m,37,370,16.367/-34.544/26.418/-21.381,608.321/57.066/-251.924
m,38,380,16.156/-34.373/26.461/-21.422,609.257/54.818/-249.895
m,39,390,15.948/-34.202/26.508/-21.464,610.175/52.579/-247.853
m,40,400,15.741/-34.032/26.559/-21.507,611.075/50.348/-245.797
m,41,410,15.537/-33.863/26.613/-21.551,611.957/48.127/-243.729
m,42,420,15.334/-33.695/26.671/-21.596,612.821/45.915/-241.647
m,43,430,15.133/-33.527/26.732/-21.641,613.668/43.713/-239.553
m,44,440,14.935/-33.359/26.796/-21.686,614.497/41.521/-237.448
m,45,450,14.738/-33.193/26.863/-21.733,615.308/39.339/-235.33
m,46,460,14.543/-33.027/26.934/-21.78,616.101/37.168/-233.201
m,47,470,14.35/-32.861/27.007/-21.827,616.877/35.007/-231.061
m,48,480,14.16/-32.696/27.083/-21.875,617.636/32.858/-228.91
m,49,490,13.971/-32.531/27.162/-21.924,618.377/30.72/-226.749
m,50,500,13.784/-32.367/27.243/-21.973,619.101/28.594/-224.578
m,51,510,13.598/-32.203/27.327/-22.022,619.808/26.479/-222.397
m,52,520,13.415/-32.04/27.413/-22.072,620.498/24.377/-220.207
m,53,530,13.234/-31.877/27.502/-22.122,621.171/22.287/-218.008
m,54,540,13.054/-31.714/27.592/-22.173,621.828/20.21/-215.8
m,55,550,12.877/-31.552/27.685/-22.224,622.467/18.146/-213.584
m,56,560,12.701/-31.389/27.779/-22.275,623.09/16.095/-211.36
m,57,570,12.528/-31.227/27.876/-22.327,623.697/14.058/-209.128
m,58,580,12.356/-31.066/27.974/-22.378,624.288/12.034/-206.888
m,59,590,12.186/-30.904/28.074/-22.43,624.862/10.024/-204.642
m,60,600,12.018/-30.743/28.175/-22.482,625.421/8.028/-202.388
m,61,610,11.851/-30.582/28.278/-22.535,625.964/6.047/-200.127
m,62,620,11.687/-30.421/28.382/-22.587,626.491/4.08/-197.86
m,63,630,11.524/-30.26/28.487/-22.64,627.003/2.129/-195.587
m,64,640,11.364/-30.099/28.593/-22.693,627.5/0.192/-193.308
m,65,650,11.205/-29.938/28.701/-22.745,627.981/-1.73/-191.023
m,66,660,11.048/-29.777/28.809/-22.798,628.448/-3.636/-188.732
m,67,670,10.893/-29.616/28.919/-22.851,628.901/-5.527/-186.437
m,68,680,10.739/-29.455/29.029/-22.904,629.338/-7.401/-184.136
m,69,690,10.588/-29.294/29.14/-22.957,629.762/-9.26/-181.83
m,70,700,10.438/-29.133/29.251/-23.01,630.172/-11.102/-179.52
m,71,710,10.29/-28.971/29.363/-23.063,630.568/-12.928/-177.206
m,72,720,10.144/-28.81/29.475/-23.116,630.95/-14.738/-174.887
m,73,730,9.999/-28.648/29.587/-23.168,631.319/-16.53/-172.565
m,74,740,9.857/-28.486/29.7/-23.221,631.675/-18.305/-170.239
m,75,750,9.716/-28.324/29.813/-23.273,632.018/-20.064/-167.91
m,76,760,9.577/-28.161/29.925/-23.325,632.348/-21.804/-165.578
m,77,770,9.44/-27.999/30.038/-23.377,632.666/-23.527/-163.243
m,78,780,9.304/-27.835/30.15/-23.429,632.972/-25.233/-160.905
m,79,790,9.17/-27.672/30.263/-23.481,633.267/-26.92/-158.564
m,80,800,9.038/-27.508/30.374/-23.532,633.549/-28.59/-156.222
m,81,810,8.908/-27.344/30.486/-23.583,633.821/-30.241/-153.877
m,82,820,8.78/-27.179/30.596/-23.633,634.081/-31.873/-151.53
m,83,830,8.653/-27.014/30.706/-23.684,634.331/-33.487/-149.182
m,84,840,8.528/-26.848/30.815/-23.734,634.57/-35.082/-146.832
m,85,850,8.405/-26.682/30.924/-23.783,634.799/-36.659/-144.482
m,86,860,8.283/-26.515/31.031/-23.832,635.018/-38.216/-142.13
m,87,870,8.163/-26.347/31.137/-23.881,635.227/-39.754/-139.777
m,88,880,8.045/-26.179/31.243/-23.929,635.428/-41.272/-137.424
m,89,890,7.928/-26.011/31.347/-23.977,635.619/-42.771/-135.07
m,90,900,7.814/-25.841/31.449/-24.024,635.802/-44.251/-132.716
m,91,910,7.701/-25.671/31.55/-24.071,635.976/-45.71/-130.361
m,92,920,7.589/-25.501/31.65/-24.117,636.142/-47.149/-128.007
m,93,930,7.48/-25.329/31.748/-24.163,636.301/-48.569/-125.653
m,94,940,7.372/-25.157/31.844/-24.207,636.452/-49.968/-123.3
m,95,950,7.265/-24.984/31.938/-24.252,636.596/-51.347/-120.947
m,96,960,7.16/-24.81/32.03/-24.296,636.733/-52.705/-118.595
m,97,970,7.057/-24.635/32.121/-24.339,636.864/-54.042/-116.244
m,98,980,6.956/-24.459/32.209/-24.381,636.989/-55.359/-113.893
m,99,990,6.856/-24.283/32.295/-24.422,637.108/-56.655/-111.544
m,100,1000,6.758/-24.105/32.379/-24.463,637.221/-57.93/-109.197
m,101,1010,6.662/-23.926/32.46/-24.503,637.33/-59.183/-106.851
m,102,1020,6.567/-23.747/32.539/-24.543,637.433/-60.416/-104.506
m,103,1030,6.474/-23.566/32.615/-24.581,637.532/-61.627/-102.163
m,104,1040,6.382/-23.385/32.689/-24.619,637.628/-62.817/-99.823
m,105,1050,6.292/-23.202/32.759/-24.655,637.719/-63.985/-97.484
m,106,1060,6.204/-23.018/32.827/-24.691,637.807/-65.131/-95.147
m,107,1070,6.117/-22.833/32.892/-24.726,637.892/-66.256/-92.813
m,108,1080,6.032/-22.647/32.954/-24.76,637.974/-67.359/-90.481
m,109,1090,5.948/-22.46/33.012/-24.793,638.054/-68.439/-88.152
m,110,1100,5.866/-22.271/33.067/-24.826,638.131/-69.498/-85.825
m,111,1110,5.786/-22.081/33.119/-24.857,638.207/-70.534/-83.501
m,112,1120,5.707/-21.89/33.168/-24.887,638.281/-71.549/-81.18
m,113,1130,5.63/-21.698/33.213/-24.916,638.354/-72.541/-78.862
m,114,1140,5.554/-21.505/33.255/-24.944,638.425/-73.512/-76.549
m,115,1150,5.48/-21.311/33.294/-24.971,638.494/-74.461/-74.24
m,116,1160,5.407/-21.116/33.329/-24.997,638.562/-75.388/-71.935
m,117,1170,5.336/-20.919/33.362/-25.023,638.628/-76.294/-69.636
m,118,1180,5.266/-20.722/33.391/-25.047,638.693/-77.178/-67.342
m,119,1190,5.198/-20.525/33.417/-25.071,638.756/-78.041/-65.054
m,120,1200,5.132/-20.326/33.44/-25.093,638.817/-78.883/-62.773
m,121,1210,5.067/-20.127/33.46/-25.115,638.878/-79.704/-60.498
m,122,1220,5.004/-19.927/33.478/-25.136,638.937/-80.504/-58.231
m,123,1230,4.942/-19.727/33.492/-25.155,638.994/-81.283/-55.971
m,124,1240,4.881/-19.526/33.503/-25.174,639.05/-82.041/-53.719
m,125,1250,4.822/-19.325/33.512/-25.193,639.105/-82.778/-51.475
m,126,1260,4.765/-19.123/33.517/-25.21,639.159/-83.495/-49.241
m,127,1270,4.709/-18.921/33.52/-25.226,639.212/-84.192/-47.015
m,128,1280,4.654/-18.719/33.52/-25.242,639.263/-84.868/-44.8
m,129,1290,4.601/-18.517/33.518/-25.257,639.314/-85.525/-42.594
m,130,1300,4.55/-18.314/33.512/-25.271,639.363/-86.161/-40.399
m,131,1310,4.5/-18.111/33.505/-25.284,639.411/-86.777/-38.215
m,132,1320,4.451/-17.909/33.494/-25.297,639.459/-87.373/-36.043
m,133,1330,4.404/-17.706/33.481/-25.309,639.506/-87.949/-33.882
