deg,endpoint
29.0/40.0/41.5/64.0,0.127/0.399/0.377
28.999/40.0/41.5/64.0,0.127/0.399/0.377
29.004/40.0/41.5/64.0,0.127/0.399/0.377
28.99/40.001/41.5/64.0,0.127/0.399/0.377
28.954/40.003/41.5/64.0,0.127/0.399/0.377
28.446/39.957/41.5/64.0,0.131/0.398/0.376
28.509/40.356/41.501/64.0,0.128/0.397/0.378
28.5/40.503/41.499/64.0,0.127/0.396/0.379
28.5/40.51/41.474/63.999,0.127/0.396/0.379
28.5/40.448/41.764/64.004,0.127/0.396/0.379
28.5/40.917/42.021/63.989,0.124/0.394/0.382
28.5/40.986/42.004/63.969,0.123/0.394/0.382
28.502/41.173/41.959/63.446,0.123/0.393/0.386
28.489/41.553/42.337/63.51,0.12/0.391/0.387
28.515/41.477/42.505/63.499,0.12/0.391/0.387
27.869/42.02/42.478/63.499,0.121/0.388/0.39
27.467/42.241/42.77/63.503,0.122/0.386/0.391
27.491/42.488/42.928/63.491,0.12/0.385/0.392
27.482/43.028/44.026/63.487,0.114/0.382/0.395
26.988/43.699/44.117/62.798,0.114/0.378/0.402
26.667/43.98/44.577/62.455,0.114/0.375/0.405
26.545/44.457/44.44/62.53,0.112/0.373/0.407
25.418/44.489/45.577/61.961,0.117/0.368/0.41
25.528/44.504/45.485/62.017,0.116/0.369/0.41
25.499/44.499/45.455/61.985,0.117/0.369/0.41
25.501/44.5/46.005/61.996,0.115/0.368/0.41
25.368/44.506/45.952/61.447,0.117/0.367/0.412
24.958/44.462/46.309/61.52,0.119/0.366/0.412
24.996/44.907/46.487/61.48,0.115/0.364/0.414
24.959/45.514/47.077/61.396,0.11/0.361/0.417
24.288/45.647/47.703/60.384,0.113/0.356/0.422
23.62/46.395/48.353/60.556,0.11/0.352/0.425
23.495/46.503/48.987/60.014,0.109/0.35/0.428
23.266/46.587/49.517/59.458,0.109/0.347/0.43
22.456/47.32/49.72/59.548,0.108/0.343/0.433
22.086/47.514/50.418/59.112,0.107/0.34/0.436
22.018/47.501/51.061/58.478,0.106/0.337/0.438
21.815/47.499/51.499/58.551,0.106/0.337/0.438
21.467/47.501/51.847/58.158,0.108/0.334/0.439
21.498/47.499/51.993/57.99,0.107/0.334/0.44
21.433/47.482/52.624/57.907,0.106/0.333/0.44
20.684/47.711/53.244/57.424,0.107/0.329/0.443
20.532/48.399/53.903/57.597,0.101/0.326/0.444
19.988/49.037/54.552/56.465,0.098/0.319/0.451
19.845/49.54/55.76/56.52,0.091/0.317/0.452
19.519/49.503/55.994/56.538,0.093/0.316/0.451
19.023/49.481/56.417/56.053,0.094/0.313/0.453
18.856/50.102/57.612/55.391,0.087/0.308/0.457
17.943/50.73/58.45/54.994,0.085/0.303/0.46
17.614/51.374/59.403/54.662,0.079/0.299/0.462
17.495/52.014/60.015/53.993,0.072/0.294/0.466
16.84/52.654/60.613/54.077,0.069/0.292/0.467
16.152/53.294/61.635/53.394,0.064/0.286/0.47
16.025/53.934/62.032/52.974,0.058/0.282/0.472
15.478/54.575/62.061/52.995,0.055/0.28/0.474
15.293/55.215/62.573/53.004,0.05/0.279/0.474
15.022/55.855/62.4/52.99,0.046/0.277/0.476
14.502/56.495/63.492/53.002,0.041/0.274/0.475
14.39/57.136/64.129/52.333,0.033/0.27/0.478
13.987/57.775/64.716/51.952,0.028/0.267/0.479
13.613/58.419/65.88/52.042,0.021/0.265/0.478
12.991/59.068/65.986/51.471,0.017/0.261/0.481
12.811/59.509/66.007/51.514,0.015/0.26/0.481
12.52/59.802/65.999/51.498,0.014/0.26/0.481
12.013/60.478/66.0/51.5,0.01/0.258/0.482
11.909/61.119/66.0/51.5,0.006/0.257/0.483
11.483/61.758/66.0/51.501,0.002/0.256/0.483
11.138/62.398/66.0/51.497,-0.002/0.255/0.484
10.493/63.039/66.0/51.493,-0.004/0.254/0.485
10.332/63.678/66.008/51.666,-0.008/0.254/0.484
10.017/64.323/65.957/52.043,-0.011/0.254/0.484
9.525/64.953/66.453/51.992,-0.016/0.253/0.483
9.424/65.518/67.099/51.919,-0.022/0.252/0.482
9.001/65.688/67.727/51.433,-0.024/0.249/0.482
8.583/66.387/68.428/51.566,-0.029/0.249/0.48
8.475/67.021/68.509/51.001,-0.036/0.246/0.482
7.428/67.66/69.168/51.599,-0.037/0.248/0.478
7.198/68.305/69.838/51.189,-0.044/0.246/0.478
7.019/68.933/70.015/50.961,-0.049/0.244/0.478
6.477/69.515/70.049/51.551,-0.05/0.247/0.476
6.285/69.685/70.785/51.287,-0.053/0.245/0.474
6.022/70.306/70.955/50.905,-0.059/0.244/0.475
5.499/71.502/71.5/51.499,-0.066/0.245/0.471
5.379/71.58/71.027/51.062,-0.066/0.244/0.473
5.008/72.284/71.869/51.562,-0.07/0.245/0.469
4.554/72.957/71.961/51.491,-0.074/0.245/0.468
4.458/73.028/72.472/51.483,-0.076/0.245/0.467
3.985/73.765/72.128/51.736,-0.078/0.246/0.466
3.655/73.968/72.54/51.688,-0.079/0.247/0.465
3.494/74.492/72.502/51.488,-0.083/0.246/0.465
3.389/74.601/72.64/52.079,-0.082/0.248/0.463
2.953/74.996/72.729/51.664,-0.085/0.247/0.463
3.005/75.429/72.898/51.918,-0.088/0.248/0.462
3.0/75.528/72.994/52.033,-0.089/0.248/0.461
3.0/76.018/72.965/52.394,-0.091/0.249/0.46
3.0/76.329/73.337/51.901,-0.096/0.247/0.459
3.0/76.505/73.506/52.474,-0.096/0.249/0.457
3.0/76.481/73.503/52.406,-0.096/0.249/0.457
3.0/76.745/73.504/51.904,-0.1/0.247/0.458
3.0/77.024/73.484/52.407,-0.1/0.249/0.457
3.0/77.001/73.475/52.491,-0.099/0.249/0.457
3.0/76.999/73.137/52.661,-0.098/0.25/0.457
3.0/77.0/73.235/53.022,-0.097/0.251/0.456
3.0/77.0/72.986/53.032,-0.097/0.251/0.457
3.0/77.0/72.991/52.53,-0.099/0.249/0.458
3.0/77.0/73.048/53.068,-0.097/0.251/0.457
