r,sequence,timestamp,deg,endpoint
m,0,0,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,1,10,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,2,20,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,3,30,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,4,40,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,5,50,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,6,60,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,7,70,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,8,80,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,9,90,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,10,100,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,11,110,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,12,120,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,13,130,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,14,140,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,15,150,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,16,160,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,17,170,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,18,180,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,19,190,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,20,200,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,21,210,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,22,220,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,23,230,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,24,240,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,25,250,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,26,260,4.75/-36.0/20.2/-64.35,-126.989/-149.549/-21.769
m,27,270,4.75/-35.968/20.2/-64.35,-126.977/-149.548/-21.847
m,28,280,4.771/-35.151/20.2/-64.35,-126.599/-149.566/-23.825
m,29,290,5.302/-34.894/20.2/-64.35,-125.099/-150.723/-24.448
m,30,300,5.448/-34.108/20.2/-64.35,-124.366/-151.01/-26.346
m,31,310,5.408/-34.0/20.2/-64.35,-124.424/-150.917/-26.605
m,32,320,4.853/-33.97/20.2/-64.35,-125.867/-149.703/-26.676
m,33,330,4.7/-34.293/20.2/-64.35,-126.412/-149.379/-25.9
m,34,340,4.741/-34.379/20.2/-64.35,-126.344/-149.473/-25.69
m,35,350,5.297/-34.356/20.2/-64.35,-124.876/-150.692/-25.747
m,36,360,5.45/-34.055/20.2/-64.35,-124.337/-151.012/-26.472
m,37,370,5.409/-33.973/20.2/-64.35,-124.408/-150.918/-26.671
m,38,380,4.853/-33.995/20.2/-64.35,-125.878/-149.704/-26.617
m,39,390,4.7/-34.295/20.2/-64.35,-126.414/-149.379/-25.894
m,40,400,4.741/-34.366/20.2/-64.35,-126.338/-149.473/-25.723
m,41,410,5.297/-34.069/20.2/-64.35,-124.746/-150.68/-26.439
m,42,420,5.45/-33.956/20.2/-64.35,-124.291/-151.007/-26.712
m,43,430,5.43/-33.432/20.2/-64.35,-124.096/-150.939/-27.973
m,44,440,5.404/-33.299/20.2/-64.35,-124.098/-150.878/-28.293
m,45,450,5.43/-33.343/20.2/-64.35,-124.053/-150.935/-28.186
m,46,460,6.247/-33.877/20.2/-64.35,-122.142/-152.718/-26.9
m,47,470,6.474/-33.488/20.2/-64.35,-121.352/-153.179/-27.839
m,48,480,6.412/-33.0/20.2/-64.35,-121.277/-153.02/-29.011
m,49,490,5.558/-32.398/20.2/-64.35,-123.234/-151.165/-30.455
m,50,500,5.323/-32.28/20.2/-64.35,-123.79/-150.652/-30.737
m,51,510,5.375/-32.341/20.2/-64.35,-123.685/-150.768/-30.592
m,52,520,5.945/-32.868/20.2/-64.35,-122.453/-152.02/-29.329
m,53,530,6.101/-32.203/20.2/-64.35,-121.69/-152.316/-30.924
m,54,540,6.08/-31.935/20.2/-64.35,-121.601/-152.256/-31.564
m,55,550,6.075/-31.409/20.2/-64.35,-121.321/-152.214/-32.821
m,56,560,6.599/-31.293/20.2/-64.35,-119.857/-153.31/-33.096
m,57,570,6.747/-31.323/20.2/-64.35,-119.479/-153.62/-33.025
m,58,580,6.708/-31.348/20.2/-64.35,-119.598/-153.539/-32.967
m,59,590,6.173/-31.0/20.2/-64.35,-120.824/-152.396/-33.796
m,60,600,6.551/-30.799/20.2/-64.35,-119.697/-153.176/-34.273
m,61,610,7.0/-30.652/20.2/-64.35,-118.406/-154.098/-34.625
m,62,620,7.573/-30.671/20.2/-64.35,-116.871/-155.275/-34.578
m,63,630,7.78/-30.0/20.2/-64.35,-115.897/-155.642/-36.173
m,64,640,7.722/-29.853/20.2/-64.35,-115.963/-155.512/-36.521
m,65,650,7.186/-29.616/20.2/-64.35,-117.263/-154.4/-37.084
m,66,660,7.847/-29.359/20.2/-64.35,-115.307/-155.72/-37.69
m,67,670,8.115/-29.306/20.2/-64.35,-114.544/-156.252/-37.815
m,68,680,8.63/-29.0/20.2/-64.35,-112.932/-157.245/-38.539
m,69,690,8.46/-28.422/20.2/-64.35,-113.007/-156.851/-39.902
m,70,700,8.351/-28.288/20.2/-64.35,-113.213/-156.622/-40.218
m,71,710,8.337/-28.32/20.2/-64.35,-113.272/-156.598/-40.142
m,72,720,9.0/-28.347/20.2/-64.35,-111.472/-157.901/-40.078
m,73,730,9.0/-28.0/20.2/-64.35,-111.229/-157.863/-40.894
m,74,740,9.346/-27.503/20.2/-64.35,-109.919/-158.473/-42.06
m,75,750,9.384/-27.276/20.2/-64.35,-109.649/-158.519/-42.591
m,76,760,9.0/-27.306/20.2/-64.35,-110.731/-157.784/-42.52
m,77,770,9.204/-27.0/20.2/-64.35,-109.943/-158.14/-43.236
m,78,780,10.0/-26.79/20.2/-64.35,-107.578/-159.625/-43.726
m,79,790,10.222/-26.357/20.2/-64.35,-106.628/-159.981/-44.736
m,80,800,10.43/-26.285/20.2/-64.35,-105.991/-160.358/-44.903
m,81,810,10.393/-26.033/20.2/-64.35,-105.9/-160.253/-45.487
m,82,820,10.355/-25.953/20.2/-64.35,-105.943/-160.172/-45.674
m,83,830,11.0/-25.435/20.2/-64.35,-103.724/-161.274/-46.874
m,84,840,11.0/-25.3/20.2/-64.35,-103.615/-161.253/-47.186
m,85,850,11.048/-25.323/20.2/-64.35,-103.498/-161.343/-47.135
m,86,860,11.029/-25.0/20.2/-64.329,-103.274/-161.36/-47.93
m,87,870,11.004/-24.503/20.2/-63.798,-102.517/-163.871/-50.367
m,88,880,12.0/-24.277/20.2/-63.652,-99.33/-166.311/-51.25
m,89,890,12.0/-24.0/20.2/-63.651,-99.085/-166.263/-51.889
m,90,900,12.074/-23.484/20.2/-63.144,-97.95/-168.781/-54.336
m,91,910,12.055/-22.982/20.2/-63.004,-97.406/-169.336/-55.837
m,92,920,12.303/-22.911/20.2/-63.043,-96.641/-169.548/-55.897
m,93,930,13.0/-22.416/20.2/-63.598,-94.667/-167.894/-55.635
m,94,940,13.0/-22.005/20.2/-63.75,-94.436/-167.057/-56.188
m,95,950,13.05/-21.948/20.2/-63.73,-94.213/-167.227/-56.368
m,96,960,13.028/-21.981/20.2/-63.704,-94.284/-167.321/-56.355
m,97,970,14.0/-21.979/20.2/-63.698,-91.421/-168.928/-56.377
m,98,980,14.0/-21.451/20.2/-63.699,-90.912/-168.797/-57.567
m,99,990,14.0/-21.312/20.315/-63.7,-91.336/-168.897/-57.866
m,100,1000,14.0/-21.555/23.255/-63.679,-105.829/-172.616/-57.425
m,101,1010,15.0/-21.0/24.067/-63.148,-105.425/-177.885/-60.336
m,102,1020,15.0/-20.118/23.958/-63.002,-103.772/-178.198/-62.938
m,103,1030,15.0/-19.9/23.823/-63.022,-102.921/-177.869/-63.397
m,104,1040,15.0/-19.919/23.789/-63.025,-102.785/-177.813/-63.328
m,105,1050,16.0/-19.146/23.793/-62.5,-98.031/-181.822/-66.622
m,106,1060,16.0/-18.93/23.799/-62.353,-97.582/-182.453/-67.549
m,107,1070,16.0/-18.958/23.8/-62.372,-97.65/-182.376/-67.43
m,108,1080,16.0/-18.962/23.8/-62.396,-97.692/-182.263/-67.358
m,109,1090,16.0/-18.154/23.8/-62.402,-96.774/-181.969/-69.367
m,110,1100,17.0/-17.927/23.8/-62.401,-93.318/-183.553/-69.935
m,111,1110,17.0/-17.925/23.8/-62.4,-93.313/-183.556/-69.945
m,112,1120,17.0/-17.145/23.8/-62.4,-92.39/-183.276/-71.884
m,113,1130,17.0/-16.929/23.8/-62.4,-92.13/-183.196/-72.419
m,114,1140,18.0/-16.958/23.8/-62.379,-88.916/-184.883/-72.4
m,115,1150,18.0/-16.951/23.8/-61.848,-87.94/-187.321/-73.794
m,116,1160,18.0/-15.846/23.8/-61.702,-86.288/-187.543/-76.893
m,117,1170,19.0/-15.254/23.8/-61.722,-82.283/-188.67/-78.283
m,118,1180,19.0/-15.194/23.8/-61.746,-82.253/-188.533/-78.365
m,119,1190,19.0/-14.724/23.8/-61.752,-81.653/-188.295/-79.488
m,120,1200,20.0/-14.583/23.8/-61.751,-78.168/-189.627/-79.832
m,121,1210,20.0/-14.073/23.8/-61.75,-77.494/-189.387/-81.061
m,122,1220,20.0/-13.949/23.8/-61.729,-77.283/-189.421/-81.415
m,123,1230,20.0/-13.942/23.8/-61.198,-76.155/-191.782/-82.828
m,124,1240,21.0/-13.148/23.8/-61.052,-71.389/-193.309/-85.107
m,125,1250,21.0/-12.896/23.8/-61.072,-71.082/-193.088/-85.652
m,126,1260,21.0/-12.109/23.8/-61.096,-70.026/-192.555/-87.442
m,127,1270,22.0/-11.908/23.8/-61.081,-66.336/-193.696/-87.95
m,128,1280,22.0/-11.641/23.8/-60.55,-64.701/-195.832/-89.99
m,129,1290,22.0/-11.068/23.8/-60.402,-63.508/-196.123/-91.716
m,130,1300,22.0/-10.94/23.8/-60.421,-63.364/-195.963/-91.96
m,131,1310,23.0/-10.939/23.8/-60.425,-59.942/-197.023/-91.951
m,132,1320,23.0/-10.149/23.8/-59.9,-57.453/-198.728/-95.183
m,133,1330,23.0/-9.928/23.8/-59.753,-56.746/-199.201/-96.086
m,134,1340,23.0/-9.925/23.8/-59.772,-56.788/-199.121/-96.041
m,135,1350,24.0/-9.134/23.8/-59.775,-52.09/-199.523/-97.819
m,136,1360,24.0/-8.621/23.8/-59.25,-49.902/-201.313/-100.404
m,137,1370,24.0/-8.264/23.8/-59.103,-48.938/-201.658/-101.601
m,138,1380,24.0/-7.701/23.8/-59.122,-48.07/-201.174/-102.79
m,139,1390,25.0/-7.566/23.8/-59.146,-44.399/-201.783/-103.019
