r,sequence,timestamp,deg,endpoint
m,0,0,77.337/-42.298/44.5/-1.455,257.459/-313.379/-265.556
m,1,10,77.058/-42.291/44.5/-1.607,255.912/-314.625/-264.732
m,2,20,76.781/-42.285/44.5/-1.739,254.364/-315.855/-264.026
m,3,30,76.504/-42.279/44.5/-1.849,252.819/-317.07/-263.438
m,4,40,76.228/-42.273/44.5/-1.938,251.275/-318.271/-262.967
m,5,50,75.953/-42.266/44.5/-2.0,249.736/-319.455/-262.652
m,6,60,75.679/-42.259/44.5/-2.0,248.21/-320.618/-262.681
m,7,70,75.405/-42.254/44.5/-2.0,246.682/-321.776/-262.705
m,8,80,75.132/-42.248/44.5/-2.0,245.153/-322.921/-262.731
m,9,90,74.859/-42.242/44.5/-2.0,243.622/-324.057/-262.756
m,10,100,74.588/-42.239/44.5/-2.0,242.087/-325.194/-262.77
m,11,110,74.317/-42.235/44.5/-2.0,240.553/-326.317/-262.787
m,12,120,74.047/-42.228/44.5/-2.0,239.021/-327.416/-262.819
m,13,130,73.778/-42.216/44.5/-2.0,237.494/-328.485/-262.869
m,14,140,73.502/-42.2/44.5/-2.0,235.934/-329.549/-262.941
m,15,150,73.214/-42.177/44.5/-2.0,234.303/-330.635/-263.037
m,16,160,72.932/-42.152/44.5/-2.0,232.708/-331.671/-263.148
m,17,170,72.672/-42.126/44.5/-2.0,231.234/-332.613/-263.258
m,18,180,72.439/-42.103/44.5/-2.0,229.912/-333.448/-263.359
m,19,190,72.253/-42.084/44.5/-2.0,228.857/-334.108/-263.442
m,20,200,72.118/-42.067/44.5/-2.0,228.09/-334.574/-263.516
m,21,210,72.032/-42.055/44.5/-2.0,227.605/-334.864/-263.568
m,22,220,72.0/-42.048/44.5/-2.0,227.427/-334.961/-263.597
m,23,230,72.0/-42.042/44.5/-2.0,227.437/-334.933/-263.625
m,24,240,72.016/-42.037/44.5/-2.0,227.537/-334.847/-263.647
m,25,250,72.049/-42.026/44.5/-2.0,227.747/-334.669/-263.692
m,26,260,72.07/-42.011/44.5/-2.0,227.891/-334.517/-263.76
m,27,270,72.072/-41.992/44.5/-2.0,227.927/-334.428/-263.842
m,28,280,72.067/-41.973/44.5/-2.0,227.928/-334.364/-263.922
m,29,290,72.057/-41.958/44.5/-2.0,227.888/-334.339/-263.989
m,30,300,72.04/-41.945/44.5/-2.0,227.808/-334.35/-264.044
m,31,310,72.029/-41.934/44.5/-2.0,227.762/-334.342/-264.093
m,32,320,72.02/-41.921/44.5/-2.0,227.727/-334.323/-264.149
m,33,330,72.013/-41.909/44.5/-2.0,227.702/-334.3/-264.199
m,34,340,72.009/-41.9/44.5/-2.0,227.693/-334.273/-264.241
m,35,350,72.009/-41.892/44.5/-2.0,227.703/-334.24/-264.273
m,36,360,72.014/-41.888/44.5/-2.0,227.738/-334.201/-264.293
m,37,370,72.023/-41.883/44.5/-2.0,227.794/-334.149/-264.311
m,38,380,72.023/-41.876/44.5/-2.0,227.805/-334.116/-264.342
m,39,390,72.016/-41.866/44.5/-2.0,227.778/-334.1/-264.386
m,40,400,72.003/-41.854/44.5/-2.0,227.722/-334.097/-264.438
m,41,410,71.998/-41.844/44.5/-2.0,227.706/-334.073/-264.481
m,42,420,71.979/-41.83/44.5/-2.0,227.617/-334.085/-264.543
m,43,430,71.963/-41.815/44.5/-2.0,227.545/-334.086/-264.604
m,44,440,71.941/-41.799/44.5/-2.0,227.442/-334.1/-264.675
m,45,450,71.9/-41.779/44.5/-2.006,227.227/-334.177/-264.73
m,46,460,71.844/-41.752/44.5/-2.006,226.94/-334.281/-264.844
m,47,470,71.775/-41.0/44.5/-1.996,227.633/-331.23/-268.117
m,48,480,71.691/-41.0/44.5/-1.979,227.15/-331.561/-268.212
m,49,490,71.584/-41.0/44.5/-1.96,226.535/-331.98/-268.316
m,50,500,71.448/-41.0/44.5/-1.949,225.752/-332.512/-268.382
m,51,510,71.313/-41.0/44.5/-1.953,224.966/-333.044/-268.359
m,52,520,71.175/-41.0/44.5/-1.987,224.152/-333.595/-268.169
m,53,530,71.045/-41.0/44.5/-2.045,223.38/-334.116/-267.843
m,54,540,70.904/-41.0/44.5/-2.128,222.533/-334.685/-267.382
m,55,550,70.757/-41.0/44.5/-2.237,221.641/-335.282/-266.777
m,56,560,70.589/-41.0/44.5/-2.379,220.607/-335.967/-265.985
m,57,570,70.389/-41.0/44.5/-2.542,219.376/-336.775/-265.077
m,58,580,70.175/-41.0/44.5/-2.693,218.063/-337.627/-264.233
m,59,590,69.944/-41.0/44.5/-2.84,216.645/-338.538/-263.417
m,60,600,69.677/-41.0/44.5/-2.976,215.017/-339.571/-262.659
m,61,610,69.363/-41.0/44.5/-3.106,213.1/-340.773/-261.938
m,62,620,69.0/-41.0/44.5/-3.243,210.88/-342.145/-261.173
m,63,630,68.621/-41.0/44.5/-3.392,208.546/-343.564/-260.344
m,64,640,68.0/-41.0/44.5/-3.561,204.739/-345.834/-259.406
m,65,650,67.703/-41.0/44.5/-3.739,202.861/-346.923/-258.416
m,66,660,67.0/-41.0/44.5/-3.951,198.489/-349.421/-257.237
m,67,670,66.607/-41.0/44.5/-4.161,195.98/-350.808/-256.068
