r,sequence,timestamp,deg,endpoint
m,0,0,87.0/3.41/1.125/-2.125,320.444/4.303/-357.517
m,1,10,86.648/3.41/1.125/-2.282,320.427/2.27/-356.642
m,2,20,86.298/3.41/1.125/-2.439,320.394/0.243/-355.769
m,3,30,85.948/3.41/1.125/-2.596,320.347/-1.78/-354.899
m,4,40,85.599/3.41/1.125/-2.752,320.284/-3.796/-354.031
m,5,50,85.251/3.41/1.125/-2.907,320.207/-5.804/-353.166
m,6,60,84.904/3.41/1.125/-3.062,320.115/-7.805/-352.303
m,7,70,84.558/3.411/1.125/-3.217,320.009/-9.799/-351.442
m,8,80,84.213/3.411/1.125/-3.25,319.932/-11.738/-351.26
m,9,90,84.0/3.411/1.125/-3.25,319.886/-12.927/-351.26
m,10,100,84.0/3.411/1.125/-3.25,319.886/-12.93/-351.26
m,11,110,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,12,120,84.0/3.41/1.125/-3.25,319.886/-12.936/-351.26
m,13,130,84.0/3.41/1.125/-3.25,319.886/-12.936/-351.26
m,14,140,84.0/3.41/1.125/-3.25,319.886/-12.935/-351.26
m,15,150,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,16,160,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,17,170,84.0/3.41/1.125/-3.25,319.886/-12.935/-351.26
m,18,180,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,19,190,84.0/3.41/1.125/-3.25,319.886/-12.933/-351.26
m,20,200,84.0/3.41/1.125/-3.25,319.886/-12.932/-351.26
m,21,210,84.0/3.41/1.125/-3.25,319.886/-12.932/-351.26
m,22,220,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,23,230,84.0/3.41/1.125/-3.25,319.886/-12.936/-351.26
m,24,240,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,25,250,84.0/3.41/1.125/-3.25,319.885/-12.938/-351.26
m,26,260,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,27,270,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,28,280,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,29,290,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,30,300,84.0/3.41/1.125/-3.25,319.886/-12.936/-351.26
m,31,310,84.0/3.41/1.125/-3.25,319.886/-12.933/-351.26
m,32,320,84.0/3.411/1.125/-3.25,319.886/-12.931/-351.26
m,33,330,84.0/3.411/1.125/-3.25,319.886/-12.93/-351.26
m,34,340,84.0/3.411/1.125/-3.25,319.886/-12.931/-351.26
m,35,350,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,36,360,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,37,370,84.0/3.409/1.125/-3.25,319.885/-12.938/-351.26
m,38,380,84.0/3.41/1.125/-3.25,319.886/-12.936/-351.26
m,39,390,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,40,400,84.0/3.41/1.125/-3.25,319.886/-12.932/-351.26
m,41,410,84.0/3.41/1.125/-3.25,319.886/-12.932/-351.26
m,42,420,84.0/3.41/1.125/-3.25,319.886/-12.933/-351.26
m,43,430,84.0/3.41/1.125/-3.25,319.886/-12.934/-351.26
m,44,440,84.0/3.41/1.125/-3.25,319.886/-12.935/-351.26
m,45,450,84.0/3.41/1.125/-3.25,319.886/-12.936/-351.26
m,46,460,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,47,470,84.0/3.409/1.125/-3.25,319.885/-12.939/-351.26
m,48,480,84.0/3.409/1.125/-3.25,319.885/-12.94/-351.26
m,49,490,84.0/3.409/1.125/-3.25,319.885/-12.94/-351.26
m,50,500,84.0/3.409/1.125/-3.25,319.885/-12.939/-351.26
m,51,510,84.0/3.41/1.125/-3.25,319.885/-12.938/-351.26
m,52,520,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,53,530,84.0/3.41/1.125/-3.25,319.885/-12.937/-351.26
m,54,540,83.0/3.409/1.125/-3.25,319.611/-18.52/-351.26
m,55,550,83.0/3.409/1.125/-3.25,319.611/-18.521/-351.26
m,56,560,82.0/3.409/1.125/-3.25,319.239/-24.096/-351.26
m,57,570,82.0/3.409/1.125/-3.25,319.239/-24.094/-351.26
m,58,580,82.0/3.41/1.125/-3.25,319.239/-24.093/-351.26
m,59,590,83.0/3.41/1.125/-3.25,319.611/-18.518/-351.26
m,60,600,83.0/3.41/1.125/-3.25,319.611/-18.518/-351.26
m,61,610,82.0/3.41/1.125/-3.25,319.239/-24.093/-351.26
m,62,620,82.0/3.41/1.125/-3.25,319.239/-24.092/-351.26
m,63,630,81.0/3.41/1.125/-3.25,318.77/-29.658/-351.26
m,64,640,81.0/3.41/1.125/-3.25,318.771/-29.656/-351.26
m,65,650,81.0/3.411/1.125/-3.0,318.863/-29.557/-352.65
m,66,660,81.0/3.411/1.125/-3.0,318.863/-29.558/-352.65
m,67,670,81.0/3.41/1.125/-3.0,318.863/-29.561/-352.65
m,68,680,80.0/3.41/1.125/-3.0,318.298/-35.125/-352.65
m,69,690,80.0/3.409/1.125/-3.0,318.297/-35.127/-352.65
m,70,700,79.0/3.409/1.125/-3.0,317.636/-40.678/-352.65
m,71,710,79.0/3.409/1.125/-3.0,317.635/-40.679/-352.65
m,72,720,79.0/3.409/1.125/-3.0,317.635/-40.679/-352.65
m,73,730,78.0/3.409/1.125/-3.0,316.877/-46.216/-352.65
m,74,740,78.0/3.409/1.125/-3.0,316.877/-46.216/-352.65
m,75,750,77.0/3.409/1.125/-3.0,316.023/-51.737/-352.65
m,76,760,77.0/3.409/1.125/-3.0,316.023/-51.736/-352.65
m,77,770,77.0/3.41/1.125/-3.0,316.023/-51.735/-352.65
m,78,780,76.0/3.409/1.125/-3.0,315.072/-57.244/-352.65
m,79,790,76.0/3.409/1.125/-3.0,315.071/-57.246/-352.65
m,80,800,75.0/3.409/1.125/-3.0,314.024/-62.738/-352.65
m,81,810,75.0/3.409/1.125/-3.25,313.922/-62.824/-351.26
m,82,820,74.0/3.409/1.125/-3.25,312.778/-68.291/-351.26
m,83,830,74.0/3.41/1.125/-3.25,312.779/-68.289/-351.26
m,84,840,73.0/3.41/1.125/-3.25,311.54/-73.735/-351.26
m,85,850,73.0/3.41/1.125/-3.25,311.54/-73.735/-351.26
m,86,860,72.0/3.41/1.125/-3.25,310.206/-79.161/-351.26
m,87,870,72.0/3.41/1.125/-3.25,310.205/-79.163/-351.26
m,88,880,71.0/3.41/1.125/-3.25,308.776/-84.564/-351.26
m,89,890,71.0/3.41/1.125/-3.25,308.777/-84.563/-351.26
m,90,900,71.0/3.41/1.125/-3.25,308.777/-84.563/-351.26
m,91,910,70.0/3.41/1.125/-3.25,307.254/-89.94/-351.26
m,92,920,70.0/3.409/1.125/-3.25,307.253/-89.942/-351.26
m,93,930,69.0/3.409/1.125/-2.5,305.951/-95.059/-355.431
m,94,940,69.0/3.409/1.125/-2.5,305.95/-95.059/-355.431
m,95,950,68.0/3.409/1.125/-1.75,304.513/-100.135/-359.604
m,96,960,68.0/3.409/1.125/-1.75,304.514/-100.133/-359.603
m,97,970,67.0/3.409/1.125/-1.75,302.72/-105.432/-359.603
m,98,980,67.0/3.409/1.125/-1.75,302.72/-105.432/-359.603
m,99,990,66.0/3.409/1.125/-2.5,300.557/-110.939/-355.431
m,100,1000,66.0/3.401/1.125/-2.5,300.537/-110.984/-355.434
m,101,1010,65.0/3.401/1.125/-2.5,298.554/-116.212/-355.434
m,102,1020,64.0/3.401/1.125/-1.75,296.765/-121.176/-359.606
m,103,1030,64.0/3.401/1.125/-1.75,296.765/-121.176/-359.606
m,104,1040,63.0/3.401/1.125/-1.75,294.605/-126.337/-359.606
m,105,1050,63.0/3.401/1.125/-1.75,294.605/-126.337/-359.606
m,106,1060,62.0/3.402/1.125/-2.5,292.064/-131.676/-355.433
m,107,1070,62.0/3.402/1.125/-2.5,292.066/-131.673/-355.433
m,108,1080,61.0/3.403/1.125/-2.5,289.725/-136.747/-355.433
m,109,1090,61.0/3.403/1.125/-1.75,290.022/-136.532/-359.606
m,110,1100,61.0/3.403/1.125/-1.75,290.021/-136.533/-359.606
m,111,1110,60.0/3.402/1.125/-1.75,287.592/-141.577/-359.606
m,112,1120,60.0/3.402/1.125/-1.75,287.59/-141.581/-359.606
m,113,1130,59.0/3.401/1.125/-1.75,285.075/-146.58/-359.606
m,114,1140,59.0/3.401/1.125/-1.75,285.075/-146.579/-359.606
m,115,1150,58.0/3.401/1.125/-2.5,282.167/-151.73/-355.434
m,116,1160,57.0/3.402/1.125/-2.5,279.476/-156.631/-355.433
m,117,1170,57.0/3.402/1.125/-2.5,279.476/-156.631/-355.433
m,118,1180,57.0/3.402/1.125/-2.5,279.476/-156.63/-355.433
m,119,1190,57.0/3.402/1.125/-3.0,279.244/-156.742/-352.653
m,120,1200,56.0/3.402/1.125/-3.0,276.467/-161.59/-352.653
m,121,1210,56.0/3.402/1.125/-3.0,276.467/-161.589/-352.653
m,122,1220,55.0/3.402/1.125/-2.5,273.841/-166.286/-355.433
m,123,1230,55.0/3.402/1.125/-2.5,273.84/-166.288/-355.433
m,124,1240,54.0/3.401/1.125/-2.5,270.894/-171.044/-355.434
m,125,1250,54.0/3.401/1.125/-2.5,270.894/-171.045/-355.434
m,126,1260,53.0/3.401/1.125/-2.5,267.867/-175.747/-355.434
m,127,1270,53.0/3.401/1.125/-2.5,267.868/-175.746/-355.434
m,128,1280,53.0/3.401/1.125/-3.0,267.628/-175.841/-352.653
m,129,1290,52.0/3.401/1.125/-3.0,264.519/-180.484/-352.653
m,130,1300,52.0/3.402/1.125/-3.0,264.52/-180.484/-352.653
m,131,1310,51.0/3.402/1.125/-2.5,261.574/-184.984/-355.433
m,132,1320,51.0/3.402/1.125/-2.5,261.576/-184.982/-355.433
m,133,1330,50.0/3.403/1.125/-2.5,258.309/-189.517/-355.433
m,134,1340,50.0/3.403/1.125/-2.5,258.309/-189.518/-355.433
m,135,1350,49.0/3.402/1.125/-2.5,254.96/-193.999/-355.433
m,136,1360,49.0/3.401/1.125/-2.5,254.957/-194.002/-355.434
m,137,1370,49.0/3.401/1.125/-2.5,254.955/-194.005/-355.434
m,138,1380,48.0/3.401/1.125/-2.5,251.531/-198.424/-355.434
m,139,1390,47.0/3.402/1.125/-1.75,248.372/-202.645/-359.606
m,140,1400,47.0/3.402/1.125/-1.75,248.374/-202.642/-359.606
m,141,1410,47.0/3.403/1.125/-1.75,248.375/-202.641/-359.606
m,142,1420,46.0/3.402/1.125/-1.75,244.799/-206.946/-359.606
m,143,1430,46.0/3.402/1.125/-1.75,244.797/-206.948/-359.606
m,144,1440,45.0/3.402/1.125/-1.75,241.146/-211.191/-359.606
m,145,1450,45.0/3.401/1.125/-2.5,240.802/-211.316/-355.434
m,146,1460,44.0/3.401/1.125/-2.5,237.076/-215.487/-355.434
m,147,1470,44.0/3.401/1.125/-2.5,237.074/-215.489/-355.434
m,148,1480,43.0/3.4/1.125/-1.75,233.623/-219.484/-359.607
m,149,1490,43.0/3.4/1.125/-1.75,233.622/-219.485/-359.607
m,150,1500,42.0/3.4/1.125/-1.75,229.757/-223.528/-359.607
m,151,1510,42.0/3.401/1.125/-1.75,229.759/-223.526/-359.607
m,152,1520,42.0/3.401/1.125/-1.75,229.761/-223.524/-359.607
m,153,1530,41.0/3.401/1.125/-1.75,225.825/-227.5/-359.606
m,154,1540,41.0/3.401/1.125/-1.75,225.823/-227.501/-359.607
m,155,1550,40.0/3.4/1.125/-2.5,221.463/-231.503/-355.434
m,156,1560,40.0/3.4/1.125/-2.5,221.462/-231.504/-355.434
m,157,1570,39.0/3.4/1.125/-2.5,217.388/-235.334/-355.434
m,158,1580,39.0/3.4/1.125/-2.5,217.39/-235.332/-355.434
m,159,1590,38.0/3.4/1.125/-2.5,213.25/-239.09/-355.434
m,160,1600,38.0/3.4/1.125/-2.5,213.25/-239.09/-355.434
m,161,1610,37.0/3.4/1.125/-2.5,209.044/-242.776/-355.434
m,162,1620,37.0/3.4/1.125/-3.0,208.787/-242.802/-352.653
m,163,1630,36.0/3.401/1.125/-3.0,204.521/-246.406/-352.653
m,164,1640,35.0/3.402/1.125/-2.0,200.695/-249.882/-358.215
m,165,1650,35.0/3.403/1.125/-2.0,200.7/-249.878/-358.215
m,166,1660,33.0/3.403/1.125/-2.0,191.857/-256.73/-358.215
m,167,1670,33.0/3.402/1.125/-2.0,191.852/-256.734/-358.215
m,168,1680,32.0/3.401/1.125/-1.75,187.454/-260.027/-359.607
m,169,1690,32.0/3.399/1.125/-1.75,187.448/-260.031/-359.607
m,170,1700,32.0/3.399/1.125/-1.75,187.444/-260.033/-359.607
m,171,1710,31.0/3.399/1.125/-1.75,182.876/-263.266/-359.607
m,172,1720,31.0/3.399/1.125/-1.75,182.876/-263.265/-359.607
m,173,1730,30.0/3.399/1.125/-1.0,178.59/-266.339/-363.782
m,174,1740,30.0/3.398/1.125/-1.0,178.589/-266.34/-363.782
m,175,1750,29.0/3.399/1.125/-1.0,173.915/-269.415/-363.782
m,176,1760,29.0/3.399/1.125/-1.0,173.918/-269.414/-363.782
m,177,1770,28.0/3.4/1.125/-1.0,169.193/-272.406/-363.781
m,178,1780,28.0/3.4/1.125/-1.0,169.193/-272.406/-363.781
m,179,1790,27.0/3.399/1.125/-1.0,164.408/-275.32/-363.782
m,180,1800,27.0/3.398/1.125/-1.0,164.403/-275.322/-363.782
m,181,1810,26.0/3.397/1.125/-1.0,159.569/-278.151/-363.782
m,182,1820,26.0/3.397/1.125/-1.0,159.57/-278.151/-363.782
m,183,1830,25.0/3.398/1.125/-1.0,154.696/-280.891/-363.782
m,184,1840,24.0/3.399/1.125/-1.0,149.777/-283.545/-363.782
m,185,1850,24.0/3.401/1.125/-1.0,149.784/-283.542/-363.781
m,186,1860,24.0/3.401/1.125/-1.0,149.783/-283.542/-363.781
m,187,1870,23.0/3.4/1.125/-1.0,144.81/-286.114/-363.781
m,188,1880,23.0/3.4/1.125/-1.0,144.811/-286.114/-363.781
m,189,1890,22.0/3.401/1.125/-1.0,139.797/-288.597/-363.781
m,190,1900,22.0/3.401/1.125/-1.0,139.799/-288.596/-363.781
m,191,1910,21.0/3.4/1.125/-1.0,134.733/-290.995/-363.782
m,192,1920,20.029/3.398/1.125/-1.0,129.775/-293.239/-363.782
m,193,1930,20.0/3.397/1.125/-1.0,129.615/-293.309/-363.783
m,194,1940,19.0/3.396/1.125/-1.0,124.475/-295.527/-363.783
m,195,1950,19.0/3.397/1.125/-1.0,124.477/-295.526/-363.783
m,196,1960,18.0/3.397/1.125/-1.0,119.304/-297.653/-363.782
m,197,1970,18.0/3.398/1.125/-1.0,119.308/-297.651/-363.782
m,198,1980,17.0/3.396/1.125/-1.0,114.086/-299.691/-363.783
m,199,1990,16.75/3.396/1.125/-1.0,112.773/-300.187/-363.783
m,200,2000,16.0/3.375/1.125/-1.0,108.708/-301.674/-363.791
m,201,2010,15.0/3.375/1.125/-1.0,103.426/-303.525/-363.791
m,202,2020,15.0/3.375/1.125/-1.0,103.426/-303.525/-363.791
m,203,2030,14.0/3.375/1.125/-1.0,98.113/-305.284/-363.791
m,204,2040,14.0/3.375/1.125/-1.0,98.113/-305.284/-363.791
m,205,2050,13.0/3.375/1.125/-1.0,92.77/-306.95/-363.791
m,206,2060,12.75/3.375/1.125/-1.0,91.43/-307.351/-363.791
m,207,2070,12.0/3.375/1.125/-1.0,87.399/-308.522/-363.791
m,208,2080,12.0/3.375/1.125/-1.0,87.399/-308.522/-363.791
m,209,2090,11.0/3.375/1.125/-1.0,82.001/-310.0/-363.791
m,210,2100,11.0/3.375/1.125/-1.0,82.001/-310.0/-363.791
m,211,2110,11.0/3.375/1.125/-1.0,82.001/-310.0/-363.791
m,212,2120,10.0/3.375/1.125/-1.0,76.579/-311.384/-363.791
m,213,2130,10.0/3.375/1.125/-1.0,76.579/-311.384/-363.791
m,214,2140,9.0/3.375/1.125/-1.0,71.133/-312.673/-363.791
m,215,2150,9.0/3.375/1.125/-1.0,71.133/-312.673/-363.791
m,216,2160,9.0/3.375/1.125/-1.0,71.133/-312.673/-363.791
m,217,2170,8.0/3.375/1.125/-1.0,65.665/-313.867/-363.791
m,218,2180,8.0/3.375/1.125/-1.0,65.665/-313.867/-363.791
m,219,2190,7.0/3.375/1.125/-1.0,60.177/-314.965/-363.791
m,220,2200,7.0/3.375/1.125/-1.0,60.177/-314.965/-363.791
m,221,2210,6.0/3.375/1.125/-1.0,54.671/-315.967/-363.791
m,222,2220,6.0/3.375/1.125/-1.0,54.671/-315.967/-363.791
m,223,2230,5.0/3.375/1.125/-1.0,49.148/-316.873/-363.791
m,224,2240,5.0/3.375/1.125/-1.0,49.148/-316.873/-363.791
m,225,2250,5.0/3.375/1.125/-1.0,49.148/-316.873/-363.791
m,226,2260,4.0/3.375/1.125/-1.0,43.611/-317.683/-363.791
m,227,2270,4.0/3.375/1.125/-1.0,43.611/-317.683/-363.791
m,228,2280,3.0/3.375/1.125/-1.0,38.06/-318.396/-363.791
m,229,2290,3.0/3.375/1.125/-1.0,38.06/-318.396/-363.791
m,230,2300,2.0/3.375/1.125/-1.0,32.497/-319.011/-363.791
m,231,2310,2.0/3.375/1.125/-1.0,32.497/-319.011/-363.791
m,232,2320,2.0/3.375/1.125/-1.0,32.497/-319.011/-363.791
m,233,2330,1.0/3.375/1.125/-1.0,26.925/-319.53/-363.791
m,234,2340,1.0/3.375/1.125/-1.0,26.925/-319.53/-363.791
m,235,2350,0.85/3.375/1.125/-1.0,26.089/-319.599/-363.791
m,236,2360,0.853/3.375/1.125/-1.0,26.107/-319.598/-363.791
m,237,2370,0.855/3.375/1.125/-1.0,26.118/-319.597/-363.791
m,238,2380,0.857/3.375/1.125/-1.0,26.125/-319.596/-363.791
m,239,2390,0.856/3.375/1.125/-1.0,26.121/-319.597/-363.791
m,240,2400,0.852/3.375/1.125/-1.0,26.102/-319.598/-363.791
m,241,2410,0.849/3.375/1.125/-1.0,26.081/-319.6/-363.791
m,242,2420,0.848/3.375/1.125/-1.0,26.079/-319.6/-363.791
m,243,2430,0.85/3.375/1.125/-1.0,26.09/-319.599/-363.791
m,244,2440,0.851/3.375/1.125/-1.0,26.093/-319.599/-363.791
m,245,2450,0.849/3.375/1.125/-1.0,26.084/-319.6/-363.791
m,246,2460,0.847/3.375/1.125/-1.0,26.069/-319.601/-363.791
m,247,2470,0.845/3.375/1.125/-1.0,26.062/-319.602/-363.791
m,248,2480,0.847/3.375/1.125/-1.0,26.072/-319.601/-363.791
m,249,2490,0.85/3.375/1.127/-1.0,26.09/-319.599/-363.791
m,250,2500,0.853/3.375/1.125/-1.0,26.105/-319.598/-363.791
m,251,2510,0.853/3.375/1.125/-1.0,26.107/-319.598/-363.791
m,252,2520,0.851/3.375/1.125/-1.0,26.096/-319.599/-363.791
m,253,2530,0.848/3.375/1.125/-1.0,26.079/-319.6/-363.791
m,254,2540,0.847/3.375/1.125/-1.75,25.743/-319.505/-359.616
