deg,endpoint
102.0/0.0/0.0/-10.0,-88.095/681.72/0.0
101.911/0.0/0.022/-10.015,-86.948/681.859/0.123
101.822/0.0/0.045/-10.03,-85.811/681.995/0.245
101.734/0.0/0.066/-10.044,-84.685/682.128/0.365
101.647/0.0/0.088/-10.059,-83.57/682.258/0.485
101.561/0.0/0.11/-10.073,-82.465/682.384/0.603
101.476/0.0/0.131/-10.087,-81.371/682.508/0.72
101.392/0.0/0.152/-10.101,-80.288/682.629/0.836
101.308/0.0/0.173/-10.115,-79.215/682.746/0.951
101.226/0.0/0.194/-10.129,-78.152/682.861/1.064
101.144/0.0/0.214/-10.143,-77.1/682.973/1.177
101.063/0.0/0.234/-10.156,-76.058/683.082/1.288
100.982/0.0/0.254/-10.17,-75.027/683.188/1.398
100.903/0.0/0.274/-10.183,-74.006/683.292/1.508
100.824/0.0/0.294/-10.196,-72.995/683.393/1.616
100.747/0.0/0.313/-10.209,-71.995/683.492/1.722
100.67/0.0/0.333/-10.222,-71.004/683.588/1.828
100.593/0.0/0.352/-10.234,-70.024/683.682/1.933
100.518/0.0/0.371/-10.247,-69.053/683.773/2.036
100.443/0.0/0.389/-10.259,-68.093/683.862/2.139
100.369/0.0/0.408/-10.272,-67.143/683.949/2.24
100.296/0.0/0.426/-10.284,-66.202/684.033/2.34
100.224/0.0/0.444/-10.296,-65.272/684.115/2.44
100.153/0.0/0.462/-10.308,-64.351/684.195/2.538
100.082/0.0/0.48/-10.32,-63.44/684.273/2.635
100.012/0.0/0.497/-10.331,-62.539/684.349/2.731
99.943/0.0/0.514/-10.343,-61.648/684.423/2.826
99.874/0.0/0.531/-10.354,-60.766/684.494/2.92
99.807/0.0/0.548/-10.366,-59.894/684.564/3.013
99.74/0.0/0.565/-10.377,-59.032/684.632/3.105
99.673/0.0/0.582/-10.388,-58.179/684.698/3.195
99.608/0.0/0.598/-10.399,-57.335/684.763/3.285
99.543/0.0/0.614/-10.409,-56.501/684.825/3.374
99.479/0.0/0.63/-10.42,-55.676/684.886/3.462
99.416/0.0/0.646/-10.431,-54.861/684.945/3.548
99.353/0.0/0.662/-10.441,-54.055/685.002/3.634
99.291/0.0/0.677/-10.451,-53.258/685.058/3.719
99.23/0.0/0.692/-10.462,-52.47/685.112/3.803
