r,sequence,timestamp,deg,endpoint
m,0,0,-0.9/-35.005/23.809/-26.475,581.744/-151.815/-267.867
m,1,10,-0.9/-34.417/23.86/-26.469,584.525/-151.828/-261.611
m,2,20,-0.9/-33.943/23.911/-26.463,586.726/-151.833/-256.503
m,3,30,-0.9/-33.577/23.962/-26.457,588.413/-151.831/-252.477
m,4,40,-0.9/-33.309/24.014/-26.452,589.641/-151.822/-249.465
m,5,50,-0.9/-33.133/24.065/-26.446,590.459/-151.808/-247.394
m,6,60,-0.9/-33.041/24.117/-26.441,590.91/-151.789/-246.188
m,7,70,-0.9/-33.025/24.168/-26.436,591.031/-151.766/-245.77
m,8,80,-0.9/-33.078/24.22/-26.431,590.857/-151.739/-246.062
m,9,90,-0.9/-33.191/24.271/-26.426,590.42/-151.708/-246.984
m,10,100,-0.9/-33.358/24.322/-26.422,589.751/-151.675/-248.455
m,11,110,-0.9/-33.57/24.373/-26.418,588.879/-151.64/-250.395
m,12,120,-0.9/-33.82/24.424/-26.413,587.833/-151.602/-252.723
m,13,130,-0.9/-34.1/24.475/-26.409,586.643/-151.564/-255.359
m,14,140,-0.9/-34.403/24.526/-26.406,585.338/-151.524/-258.221
m,15,150,-0.9/-34.721/24.576/-26.402,583.951/-151.484/-261.23
m,16,160,-0.9/-35.046/24.626/-26.398,582.514/-151.443/-264.308
m,17,170,-0.9/-35.371/24.675/-26.395,581.062/-151.404/-267.374
m,18,180,-0.9/-35.687/24.725/-26.392,579.631/-151.365/-270.352
m,19,190,-0.9/-35.988/24.773/-26.389,578.26/-151.328/-273.165
m,20,200,-0.9/-36.265/24.821/-26.386,576.987/-151.294/-275.737
m,21,210,-0.9/-36.511/24.869/-26.383,575.852/-151.262/-277.991
m,22,220,-0.9/-36.718/24.916/-26.38,574.897/-151.234/-279.853
m,23,230,-0.9/-36.879/24.962/-26.378,574.162/-151.21/-281.248
m,24,240,-0.9/-36.986/25.008/-26.376,573.69/-151.192/-282.1
m,25,250,-0.9/-37.032/25.053/-26.374,573.52/-151.178/-282.335
m,26,260,-0.9/-37.007/25.097/-26.372,573.69/-151.171/-281.875
m,27,270,-0.9/-36.906/25.141/-26.37,574.237/-151.17/-280.644
m,28,280,-0.9/-36.72/25.184/-26.368,575.192/-151.176/-278.561
m,29,290,-0.9/-36.441/25.226/-26.366,576.584/-151.19/-275.547
m,30,300,-0.9/-36.065/25.267/-26.365,578.425/-151.212/-271.533
m,31,310,-0.9/-35.591/25.307/-26.364,580.691/-151.241/-266.524
m,32,320,-0.9/-35.022/25.346/-26.362,583.341/-151.276/-260.536
m,33,330,-0.9/-34.363/25.384/-26.361,586.334/-151.318/-253.588
